HD     simbad_parallax simbad_parallax_source MV     B_V   simbad_SpType
78647  05.99           2007A&A...474..653V    -03.90 +1.66 K4Ib
80007  28.82           2007A&A...474..653V    -01.02 +0.00 A1III-
80441  23.44           2007A&A...474..653V    +02.97 +0.38 F3Vs+F3Vs
80773  03.81           2007A&A...474..653V    -00.28 +0.00 A0V
81025  07.74           2007A&A...474..653V    +00.75 +0.75 G2III
81728  04.26           2007A&A...474..653V    -00.31 +0.05 A0V
81797  18.09           2007A&A...474..653V    -01.73 +1.44 K3IIIa
82434  53.15           2007A&A...474..653V    +02.23 +0.36 F3VFe-0.7
82984  03.93           2007A&A...474..653V    -01.91 -0.12 B5III
83183  02.46           2007A&A...474..653V    -03.97 +0.01 B5II
83520  13.98           2007A&A...474..653V    +01.18 +0.15 A2/3V
84367  09.61           2007A&A...474..653V    -00.30 +0.51 A7V+G8III
84722  11.81           2007A&A...474..653V    +01.81 +0.43 A7Vn
85235  06.41           2007A&A...474..653V    -01.38 +0.03 A3IV
85558  11.75           2007A&A...474..653V    +00.40 +0.04 A0/1V
87543  01.99           2007A&A...474..653V    -02.37 -0.04 B3/5Vne
87783  13.57           2007A&A...474..653V    +00.74 +0.88 K1III+(G)
88842  09.55           2007A&A...474..653V    +00.68 +0.14 A3IV/V
89263  12.24           2007A&A...474..653V    +01.66 +0.20 A5V
89715  12.45           2007A&A...474..653V    +01.15 +0.05 A1V
89828  06.05           2007A&A...474..653V    +00.42 +0.07 A1V
90508  43.65           2007A&A...474..653V    +04.64 +0.60 F9-V
91106  02.87           2007A&A...474..653V    -01.51 +1.38 K4III
91636  07.61           2007A&A...474..653V    +00.08 +0.05 A2V
91881  24.24           2007A&A...474..653V    +03.21 +0.48 F5V
93497  27.84           2007A&A...474..653V    -00.09 +0.90 G6III
93742  11.63           2007A&A...474..653V    +01.94 +0.22 A2/3III/IV
95689  26.54           2007A&A...474..653V    -01.09 +1.07 G9III+A7.5
97411  06.50           2007A&A...474..653V    +00.19 -0.01 A0V
98096  19.23           2007A&A...474..653V    +02.73 +0.40 F3V
