designation,HD,HIP,ra,declination,parallax,parallax_error,pm,pmra,pmdec,ruwe,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,teff_gspphot,teff_gspphot_lower,teff_gspphot_upper,logg_gspphot,logg_gspphot_lower,logg_gspphot_upper,mh_gspphot,mh_gspphot_lower,mh_gspphot_upper,distance_gspphot,distance_gspphot_lower,distance_gspphot_upper,Mg,Mg_error,MRp,MRp_error,Bp_minus_Rp
Gaia DR3 4188996885011268608,\N,\N,299.349,-12.566252961830063,56.17389569688285,0.043293245,525.78094,-89.60091241085726,-518.0900140487562,1.9614018,13.530215,15.637254,12.19258,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,12.277887717653057,0.0016735550291295,10.940252717653058,0.0016735550291295,3.444674
Gaia DR3 91490916598591616,\N,\N,26.3197,16.61649538028337,49.30073472237458,0.036847018,75.711075,-69.05368053944763,31.044422225624345,1.4613491,14.488392,16.5938,13.152354,2957.7344,2955.5596,2958.2346,5.1546,5.1508,5.1554,-0.3984,-0.4015,-0.3856,20.1748,20.1461,20.2229,12.952658957795418,0.001622943315322,11.616620957795416,0.001622943315322,3.441446
Gaia DR3 1695191332232990720,\N,\N,226.703,70.46161913358111,193.9412326077981,0.6277344,1585.0024,-1194.1792240272916,1042.1942136101118,1.3111067,20.199528,21.771992,18.33195,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,21.63787875736748,0.0070284831747962,19.77030075736748,0.0070284831747962,3.440042
Gaia DR3 3037592156694079744,\N,\N,118.307,-10.206478244802568,43.53394638488109,0.0351347,377.0399,144.47045956062607,-348.2633395422937,1.1945539,14.765156,16.866327,13.426712,2959.9321,2957.801,2961.925,5.1322,5.1122,5.1488,-0.4632,-0.4911,-0.4252,23.0532,22.9682,23.2132,12.959296190311704,0.0017525185416653,11.620852190311702,0.0017525185416653,3.439615
Gaia DR3 2954555801611979648,\N,\N,79.6525,-28.69991906819153,54.86558695010845,0.022321705,434.49832,-37.70063680939158,432.8596332914596,1.1978287,14.219103,16.323477,12.883977,2955.5806,2951.728,2957.7249,5.1213,5.0899,5.1293,-0.4285,-0.4853,-0.4123,18.2033,18.1539,18.2779,12.915603148138,0.0008834493880343,11.580477148138002,0.0008834493880343,3.4395
Gaia DR3 3023121827755777280,\N,\N,85.5522,-5.461181586870268,77.083787648867,0.022624217,969.559,-157.22783315036816,956.725741983858,1.1164893,13.475401,15.577138,12.139018,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,12.91021623169366,0.0006373307009361,11.57383323169366,0.0006373307009361,3.43812
Gaia DR3 5846275093531511936,\N,\N,215.571,-70.3954746504146,77.7699306076477,0.022123115,897.18207,-793.5687892333838,-418.5502224387199,1.1866372,13.560653,15.661355,12.227021,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,13.014711557220709,0.0006177160601215,11.68107955722071,0.0006177160601215,3.434334
Gaia DR3 1672538231604762624,\N,\N,208.205,66.81589796096681,61.47241127480902,0.020653227,723.7742,-472.049284685656,-548.6515660837613,1.1445798,13.886975,15.9857645,12.553315,2961.9526,2955.4265,2963.1465,5.1274,5.1066,5.1308,-0.3188,-0.3527,-0.314,16.2253,16.1947,16.2727,12.83037624396814,0.0007295616579101,11.49671624396814,0.0007295616579101,3.4324495
Gaia DR3 2872988394066393344,\N,\N,355.095,34.55437676255151,53.88088030786356,0.03388913,542.59955,535.055656397677,90.1650447519478,1.4297097,13.969325,16.061594,12.63088,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,12.626498413143048,0.0013657779913929,11.288053413143048,0.0013657779913929,3.430714
Gaia DR3 3730621070186855424,\N,\N,194.847,7.7318999006532785,55.07702212551903,0.03529923,677.91486,-677.9148742189906,0.0244541046412717,1.2514207,14.080833,16.17695,12.746416,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,12.785685255108865,0.0013917113082584,11.451268255108864,0.0013917113082584,3.430534
