designation,HD,HIP,ra,declination,parallax,parallax_error,pm,pmra,pmdec,ruwe,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,teff_gspphot,teff_gspphot_lower,teff_gspphot_upper,logg_gspphot,logg_gspphot_lower,logg_gspphot_upper,mh_gspphot,mh_gspphot_lower,mh_gspphot_upper,distance_gspphot,distance_gspphot_lower,distance_gspphot_upper,Mg,Mg_error,MRp,MRp_error,Bp_minus_Rp
Gaia DR3 2312821266302222720,\N,\N,0.66788,-34.23105221038914,67.52906109014079,0.028565476,777.27,152.21202068711423,-762.2205527349851,0.9682949,14.880702,15.114378,14.485158,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,14.028155557115234,0.0009185548517507,13.632611557115233,0.0009185548517507,0.62922
Gaia DR3 3242153305741855744,\N,\N,78.5136,8.002844237563085,46.58883911407414,0.046113044,377.29416,-221.45884548380403,-305.4617134205661,1.030782,15.768331,16.005846,15.384538,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,14.109740444854005,0.0021492966420364,13.725947444854004,0.0021492966420364,0.621308
Gaia DR3 1405343643196929536,\N,\N,248.757,43.29208824427913,68.9911960837904,0.016140647,377.14383,226.1120750365478,-301.84563644337607,0.9618807,14.716221,14.947363,14.326541,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,13.910189371354749,0.000508020910801,13.520509371354745,0.000508020910801,0.620822
Gaia DR3 5669427512997660800,\N,\N,153.005,-18.72596658051428,55.289779758512445,0.035718627,522.5134,-522.3524845656138,-12.967992268421652,0.9347316,15.330509,15.568557,14.953291,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,14.043733299860689,0.0014028275056476,13.66651529986069,0.0014028275056476,0.615266
Gaia DR3 3117320802840630400,\N,\N,97.6603,-2.098121696921362,46.72301326202107,0.028012648,205.90935,-113.1358216865242,-172.04343663628762,1.0475922,15.213439,15.422677,14.816267,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,13.561093217703744,0.0013019001834662,13.16392121770374,0.0013019001834662,0.60641
Gaia DR3 5593584059914156800,64379A,\N,118.064,-34.70437853685907,54.563099523190026,0.06649618,310.2791,-198.09607031167096,238.81180023957108,0.95217216,4.940166,5.172527,4.573806,6421.102,6419.9917,6422.3496,4.1547,4.1525,4.1573,-0.8309,-0.8441,-0.8187,18.3141,18.2774,18.3401,3.624661164875512,0.0026463799336324,3.258301164875512,0.0026463799336324,0.598721
Gaia DR3 5867776696271127424,\N,\N,212.997,-59.346097245987806,69.44139909126426,0.027122809,99.18564,79.2837388222029,-59.59764837818484,0.9649993,14.551776,14.763685,14.177938,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,13.759868311669845,0.0008481458492752,13.386030311669844,0.0008481458492752,0.585747
Gaia DR3 1058284412796260480,\N,\N,177.718,68.52092072445353,58.51304045965208,0.021830898,47.24521,23.395906689235,-41.04559835046552,0.98832947,15.127092,15.340309,14.7589855,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,13.963355327721766,0.0008101646147444,13.595248827721766,0.0008101646147444,0.5813235
Gaia DR3 6558209044297239424,\N,\N,329.409,-51.01052234722859,67.3023587798894,0.019673504,400.1393,-46.204223202653566,-397.46274084033706,1.0203202,14.51622,14.718405,14.137174,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,13.656371427147995,0.0006347544592166,13.277325427147996,0.0006347544592166,0.581231
Gaia DR3 2150504594853811456,\N,\N,277.582,54.79216972194683,58.70115957870829,0.025382891,392.52292,-267.03648999508414,287.69036427173023,1.0477571,15.451032,15.67017,15.090512,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,14.294265401779835,0.0009389635794434,13.933745401779836,0.0009389635794434,0.579658
