designation, HIP, HD, ra, declination, parallax, parallax_error, pm, pmra, pmdec, ruwe, phot_g_mean_mag, phot_bp_mean_mag, phot_rp_mean_mag, teff_gspphot, teff_gspphot_lower, teff_gspphot_upper, logg_gspphot, logg_gspphot_lower, logg_gspphot_upper, mh_gspphot, mh_gspphot_lower, mh_gspphot_upper, distance_gspphot, distance_gspphot_lower, distance_gspphot_upper, Mg, Mg_error, MRp, MRp_error, Bp_minus_Rp, Vmag, RAdeg, DEdeg, RAhms, DEdms, Plx, e_Plx, distance_Plx, pmRA, pmDE, BTmag, VTmag, MV, MV_error, MVt, MVt_error, B_minus_V, BT_minus_VT
"Gaia DR3 115311458058061440",14150,"18803",45.60960164514362,26.608490327814263,47.181000059147735,0.021921754,287.56955,233.0667803130318,-168.45212977584015,0.8499111,6.4558463,6.7972026,5.9398403,5435.6226,5433.239,5438.001,4.3607,4.3594,4.3619,-0.4832,-0.4951,-0.4728,21.175,21.1644,21.1855,4.824682010255984,0.0010089334127085792,4.308676010255985,0.0010089334127085792,0.8573623,6.62,45.60780944,26.60964871,3,26,47.25,0.89,21.164,234.19,-168.25,7.506,6.697,4.9920090642264086,0.04090664661863208,5.0690090642264085,0.04090664661863208,0.696,0.809
"Gaia DR3 1155276250492687616",74190,\N,227.39562087412435,3.1689590731574753,68.45044122753534,0.019924864,770.80707,-602.1219360871316,481.24076352495507,1.0353637,10.37806,11.712266,9.23603,3166.075,3164.047,3177.0474,4.0886,4.082,4.1227,-0.8098,-0.8169,-0.7711,14.6035,14.5896,14.6199,9.554941259579135,0.0006320820273097993,8.412911259579136,0.0006320820273097993,2.476236,11.46,227.39976594,3.1656499,15,3,68.99,2.63,14.4949,-601.06,482.52,\N,\N,10.653930724732973,0.08281984830890288,\N,\N,1.511,\N
"Gaia DR3 116037204451525376",13642,"18143",43.91406593452299,26.872356008845212,44.43239202208633,0.02064069,327.70007,264.5963519966766,-193.3289980225065,1.034352,7.3450565,7.7950444,6.7294264,5059.663,5058.4214,5062.3022,4.4771,4.4765,4.4794,0.3453,0.3403,0.3558,22.384,22.3523,22.4036,5.583554970776615,0.0010087391210040764,4.967924870776614,0.0010087391210040764,1.065618,7.52,43.91202372,26.87368205,2,26,43.71,1.26,22.8781,262.72,-191.44,8.732,7.646,5.722904032448263,0.06261298246992597,5.848904032448265,0.06261298246992597,0.953,1.086
"Gaia DR3 1175938925836488448",70475,\N,216.23573184749154,8.888339518893313,76.78255940783944,0.04487608,570.87573,547.7841798597909,160.72202829528786,1.6540773,11.102701,12.4818735,9.946034,3125.8486,3114.6067,3280.0005,4.3363,4.2769,4.7998,-0.8357,-0.9159,-0.3114,13.0434,12.8768,13.1407,10.529013922221328,0.001269131706658655,9.372346922221325,0.001269131706658655,2.5358395,12.23,216.23192023,8.88723465,14,8,69.73,4.28,14.341,546.31,158.16,\N,\N,11.447098326024593,0.13345188330655944,\N,\N,1.613,\N
"Gaia DR3 1176209886733406592",71395,"128311",219.00325809668965,9.745402017160048,61.27922943580429,0.042595606,323.53854,204.81299300982315,-250.45724759390697,1.3141284,7.1806984,7.6827083,6.5188656,4759.7764,4758.3105,4761.5903,4.518,4.5169,4.5193,-0.093,-0.1008,-0.0755,16.3178,16.302,16.371,6.117264877812508,0.0015094053718409661,5.455432077812507,0.0015094053718409661,1.1638427,7.48,219.00182978,9.74712521,14,9,60.35,0.99,16.57,205.46,-249.68,8.723,7.59,6.383386372166841,0.03562469843873961,6.493386372166841,0.03562469843873961,0.973,1.133
"Gaia DR3 1185619988280226944",72146,"130004",221.34970154757104,13.845312200298968,53.16069304359237,0.021261271,323.37695,-231.63877799725043,-225.64601184622302,1.0191612,7.5966625,8.071759,6.952495,4813.6064,4812.103,4814.346,4.5336,4.5316,4.5342,-0.5628,-0.5892,-0.5559,18.8012,18.7902,18.819,6.224615670518817,0.00086846621415404,5.580448170518817,0.00086846621415404,1.119264,7.87,221.35134201,13.84686352,14,13,51.2,0.98,19.5313,-232.95,-225.68,9.043,7.956,6.416349804879154,0.0415684159682459,6.502349804879154,0.0415684159682459,0.931,1.087
"Gaia DR3 1187851653287128576",72944,\N,223.62310860272,16.100530964762918,100.52427049433877,0.021006696,302.99982,279.117449001282,-117.90818054053803,1.1933485,9.123367,10.31593,8.034248,3268.7998,3263.5032,3275.3257,4.0758,4.0615,4.0931,-0.8972,-0.9163,-0.8803,9.946,9.9266,9.952,9.134721650534392,0.0004537756028346607,8.045602650534391,0.0004537756028346607,2.281682,10.11,223.62112279,16.10135877,14,16,101.91,1.67,9.8126,275.95,-122.11,11.783,10.306,10.151084007948452,0.035587121739453664,10.347084007948451,0.03558712173945455,1.5,1.477
"Gaia DR3 1191518146611956096",77801,"142267",238.29971733596093,13.194131836047603,56.24048274575952,0.220642,581.0987,-150.61781477602005,-561.2396531120999,8.84668,5.9265714,6.235358,5.4437513,5686.782,5685.6025,5687.9688,4.366,4.3633,4.3684,-0.7558,-0.7658,-0.7468,17.7563,17.6878,17.8349,4.676816599187549,0.008519138707770324,4.193996499187549,0.008519138707770324,0.7916067,6.07,238.30078139,13.19799059,15,13,57.27,0.88,17.4611,-150.56,-562.69,6.806,6.155,4.859635915566647,0.03336906119028482,4.944635915566646,0.03336906119028482,0.598,0.651
"Gaia DR3 1193030490492925824",78072,"142860",239.11469743534354,15.655912590196278,89.56466413447797,0.18347327,1319.9719,311.18254717012934,-1282.7670369101927,1.5415206,3.694426,3.9963472,3.2928677,6182.6055,6180.3726,6184.639,4.079,4.0755,4.0825,-0.3494,-0.3679,-0.3321,11.167,11.1432,11.1929,3.4551095082287633,0.0044482687991531655,3.0535512082287637,0.0044482687991531655,0.7034795,3.85,239.11247598,15.66473327,15,15,89.92,0.72,11.121,311.2,-1282.17,\N,\N,3.619281491124929,0.01738760619804447,\N,\N,0.478,\N
"Gaia DR3 1209182041427374080",75277,"136923",230.6940612028796,18.919305187888703,50.74538571235775,0.018029777,242.65018,-229.90493072878724,77.60691004519808,0.9015958,6.958224,7.3489423,6.3952813,5243.718,5242.9434,5244.4746,4.4824,4.4818,4.4831,-0.5381,-0.5449,-0.5311,19.6938,19.6875,19.7006,5.485206789500795,0.0007715216743959807,4.922264089500796,0.0007715216743959807,0.953661,7.16,230.69573224,18.91877181,15,18,49.67,0.92,20.1329,-230.3,77.5,8.159,7.234,5.640470799976118,0.04022514843502911,5.714470799976118,0.04022514843502911,0.804,0.925
"Gaia DR3 1219254942328596736",78709,"144287",241.01274892602123,25.25785541420527,46.23105535715347,0.18324102,849.19635,-495.68317851991867,689.516232656073,10.74275,6.9036655,7.287495,6.3218164,5177.2817,5176.5996,5177.984,4.3775,4.374,4.3851,-0.7378,-0.7419,-0.7338,21.5323,21.2453,21.6658,5.2283345378757575,0.008606874748140925,4.646485437875756,0.008606874748140925,0.9656786,7.1,241.01678536,25.25315003,16,25,46.56,0.89,21.4777,-488.79,696.64,8.058,7.19,5.44006485820916,0.041513012890777024,5.53006485820916,0.041513012890777024,0.771,0.868
"Gaia DR3 1229089524081628416",70865,\N,217.36887348196421,15.538414038335086,70.32487493126503,0.021143159,1673.5492,-1054.7757849507702,1299.3132065676791,1.2632816,9.732934,10.90645,8.651203,3343.8218,3343.596,3344.3616,3.9396,3.9394,3.9405,-1.2692,-1.2698,-1.2683,14.1729,14.167,14.1803,8.96847884235116,0.0006528527472919876,7.886747842351161,0.0006528527472919876,2.255247,10.67,217.37640041,15.52948103,14,15,70.06,2.25,14.2735,-1053.37,1300.01,\N,\N,9.89735066490837,0.06976154289216918,\N,\N,1.471,\N
"Gaia DR3 1234693112077610880",72237,\N,221.596506343427,16.49260116531805,56.366421265867345,0.016269553,928.2525,-108.61868465479239,-921.8756257185299,1.0326188,8.712721,9.451312,7.878923,4049.1663,4025.0796,4058.62,4.5498,4.5224,4.5617,-0.5884,-0.6933,-0.5054,17.7489,17.7097,17.9527,7.4678233105366125,0.0006267718553418788,6.634025310536613,0.0006267718553418788,1.572389,9.23,221.59728479,16.49893914,14,16,56.87,1.29,17.584,-110.78,-919.57,11.031,9.409,8.004416141260839,0.049264638524070925,8.183416141260839,0.049264638524070925,1.261,1.622
"Gaia DR3 1236929488664453376",72848,"131511",223.34694623244295,19.153760857444336,85.99323916198021,0.5515694,491.6699,-441.3661347359183,216.64539331529159,16.495794,5.7661414,6.2012343,5.160305,4996.135,4994.643,4997.6187,4.396,4.3916,4.4012,-0.5225,-0.5317,-0.5139,11.6017,11.4903,11.6919,5.438462940516405,0.013928236348513146,4.8326265405164035,0.013928236348513146,1.0409293,6,223.35016578,19.15227142,14,19,86.69,0.81,11.5354,-442.75,216.84,7.062,6.085,5.689845014757265,0.02029004314525551,5.774845014757266,0.02029004314525551,0.841,0.977
"Gaia DR3 1244571953471006720",67275,"120136",206.8133909945028,17.457173637726076,64.04697623237095,0.10931693,473.1983,-468.9225601068748,63.46858141462215,0.86741585,4.356021,4.608971,3.964488,6319.2407,6317.7007,6321.0938,4.1688,4.1645,4.1771,-0.0794,-0.0909,-0.0589,15.6162,15.5681,15.6554,3.388514153885594,0.0037063252922604484,2.996981153885593,0.0037063252922604484,0.644483,4.5,206.81681937,17.45677436,13,17,64.12,0.7,15.5958,-480.33,54.18,5.075,4.541,3.5349675684105364,0.023706972512803404,3.5759675684105368,0.023706972512803404,0.508,0.534
"Gaia DR3 1244644727396803584",67090,\N,206.27327486352382,17.777287971454683,77.44122245908348,0.017091446,1887.907,450.9738430630764,-1833.2526914896066,1.0069798,9.108179,10.003153,8.1753845,3846.104,3845.6584,3847.2422,4.7656,4.7641,4.7677,-0.3924,-0.3943,-0.3881,12.8899,12.8824,12.8991,8.553039999849048,0.00047924868502580154,7.620245499849048,0.00047924868502580154,1.8277685,9.79,206.27001884,17.78989211,13,17,76.7,1.46,13.0378,451.03,-1831.59,\N,\N,9.213976819744905,0.04133940958093785,\N,\N,1.42,\N
