HIP, HD, designation, Vmag, RAdeg, DEdeg, RAhms, DEdms, Plx, e_Plx, distance_Plx, pmRA, pmDE, BTmag, VTmag, MV, MV_error, MVt, MVt_error, B_minus_V, BT_minus_VT
73241,"131923",\N,6.34,224.53672527,-48.8621921,14,-48,40.79,0.86,24.5158,-15.47,-337.07,7.207,6.425,4.392768526585473,0.04578923887117181,4.477768526585474,0.04578923887117181,0.708,0.782
114570,"219080",\N,4.53,348.13717883,49.40597489,23,49,40.82,0.57,24.4978,89.78,95.57,4.898,4.57,2.5843650019002578,0.030323854242181092,2.6243650019002587,0.030323854242181092,0.302,0.328
64550,"114853",\N,6.93,198.46798635,-45.18553071,13,-45,40.87,0.84,24.4678,-110.07,-110.65,7.708,6.998,4.987023188557968,0.04463649935181557,5.055023188557968,0.04463649935181557,0.643,0.71
42913,"74956",\N,1.93,131.17582214,-54.70856797,8,-54,40.9,0.38,24.4499,28.78,-104.14,2.05,1.949,-0.011383459963290932,0.020175629827280606,0.007616540036709196,0.020175629827280606,0.043,0.101
40170,\N,\N,10.2,123.06061617,51.90758949,8,51,40.94,1.87,24.426,-121.72,-207.35,12.124,10.339,8.260739191632435,0.09925454152381263,8.399739191632436,0.09925454152381263,1.319,1.785
99880,\N,\N,9.98,303.96927228,42.979203,20,42,40.97,1.21,24.4081,8.48,-59.8,11.688,10.179,8.042329819765712,0.06415049919548022,8.241329819765713,0.06415049919548022,1.266,1.509
90376,\N,\N,9.24,276.61971298,79.42237979,18,79,40.98,0.89,24.4021,21.06,358.02,10.816,9.438,7.302859770325882,0.047167261601771315,7.500859770325882,0.047167261601771315,1.166,1.378
56630,\N,\N,10.01,174.16899098,39.19161005,11,39,40.99,1.55,24.3962,440.28,-405.21,11.848,10.166,8.073389591582508,0.08215144824384168,8.22938959158251,0.08215144824384168,1.29,1.682
88622,"165401",\N,6.8,271.40614302,4.65795549,18,4,41,0.88,24.3902,-30.66,-322.06,7.529,6.877,4.863919283598679,0.04661437164606097,4.940919283598679,0.04661437164606097,0.61,0.652
5799,"7439",\N,5.14,18.59986241,-7.9235004,1,-7,41.01,0.89,24.3843,123.67,277.58,5.668,5.196,3.2044488464374243,0.047132746544787274,3.2604488464374235,0.047132746544787274,0.448,0.472
