designation, HIP, HD, ra, declination, parallax, parallax_error, pm, pmra, pmdec, ruwe, phot_g_mean_mag, phot_bp_mean_mag, phot_rp_mean_mag, teff_gspphot, teff_gspphot_lower, teff_gspphot_upper, logg_gspphot, logg_gspphot_lower, logg_gspphot_upper, mh_gspphot, mh_gspphot_lower, mh_gspphot_upper, distance_gspphot, distance_gspphot_lower, distance_gspphot_upper, Mg, Mg_error, MRp, MRp_error, Bp_minus_Rp, Vmag, RAdeg, DEdeg, RAhms, DEdms, Plx, e_Plx, distance_Plx, pmRA, pmDE, BTmag, VTmag, MV, MV_error, MVt, MVt_error, B_minus_V, BT_minus_VT
"Gaia DR3 2623505219992303104",112190,"215152",340.8380725457107,-6.402108803282873,46.33244237765348,0.023791505,328.3231,-154.09504702288245,-289.9150964638309,0.9720825,7.812847,8.313499,7.1506214,4776.802,4775.921,4777.7563,4.5335,4.5328,4.5343,-0.0681,-0.0735,-0.0625,21.5634,21.5525,21.5743,6.142272971464717,0.0011150416118379525,5.4800473714647175,0.0011150416118379525,1.1628776,8.11,340.83913863,-6.40011587,"22 43 21.39","-06 24 00.4",46.46,1.31,21.5239,-154.73,-290.19,9.358,8.221,6.445396027321083,0.06124371658457317,6.5563960273210835,0.06124371658457317,0.966,1.137
"Gaia DR3 2636589099125426816",113718,"217580",345.46652895143507,-3.8496726123309766,61.834078502615135,0.4862836,455.92105,402.75379241293274,-213.66655565116488,18.149633,7.207799,7.6892147,6.561755,4905.6895,4902.0444,4909.0083,4.5783,4.5707,4.588,-0.1604,-0.171,-0.1497,15.667,15.4024,15.8758,6.163938464967563,0.01707752773816562,5.517894464967563,0.01707752773816562,1.1274597,7.48,345.46380492,-3.84823101,"23 01 51.31","-03 50 53.6",59.04,3.4,16.9377,395.5,-207.11,8.695,7.584,6.335731744074927,0.12518943267592775,6.439731744074926,0.12518943267592775,0.943,1.111
"Gaia DR3 263916708025623680",26779,"37394",85.33475293851619,53.478731438569575,81.4987133119068,0.025277,523.485,2.803536776527377,-523.477490445451,0.9620795,5.9909477,6.41243,5.4026074,5176.9434,5174.963,5178.9814,4.4844,4.4838,4.485,-0.2859,-0.2912,-0.2805,12.2628,12.2585,12.267,5.546701461126268,0.0006734868272744166,4.95836116112627,0.0006734868272744166,1.0098226,6.21,85.33472092,53.48233045,"05 41 20.33","+53 28 56.4",81.69,0.83,12.2414,2.7,-523.61,7.274,6.297,5.770844480298136,0.02206370575864547,5.8578444802981355,0.02206370575864547,0.84,0.977
"Gaia DR3 263916742385357056",26801,"233153",85.37807337010766,53.48750978876841,81.46439142947709,0.023017565,515.9748,3.8650721589923442,-515.9603142670272,1.0582259,8.918802,9.964107,7.9013667,3667.5244,3659.0176,3674.7798,4.6223,4.6065,4.631,-0.2039,-0.2944,-0.1364,12.2567,12.2492,12.2789,8.473641087563085,0.0006135442465691199,7.456205787563085,0.0006135442465691199,2.0627403,9.78,85.37802824,53.49105798,"05 41 30.73","+53 29 27.8",80.13,1.67,12.4797,3.16,-517.26,11.511,9.838,9.298975713705175,0.045262499694515235,9.356975713705175,0.045262499694515235,1.473,1.673
"Gaia DR3 2646280705713202816",116384,\N,353.75266493033126,1.605525000716962,47.9641231232799,0.023589477,341.2171,340.0285285621499,28.45556730012068,1.0670813,9.039198,9.796212,8.041067,3896.6836,3830.5532,4192.4326,4.3969,4.3599,4.648,-0.6299,-0.7404,0.2472,20.7659,20.5757,20.8877,7.443780545687222,0.0010679628700560606,6.445649545687221,0.0010679628700560606,1.755145,9.59,353.75032117,1.60533814,"23 35 00.08","+01 36 19.2",51.8,1.74,19.305,342.97,26.78,11.474,9.759,8.161648798726166,0.07296880394677352,8.330648798726166,0.07296880394677352,1.329,1.715
"Gaia DR3 266846631637524864",23518,\N,75.85923651184258,53.12163420733134,72.17340591451902,0.017268956,2014.91,1302.1185621203924,-1537.6442792268324,1.0607893,9.218808,10.183291,8.241274,3575.7656,3566.6414,3576.231,4.4002,4.3713,4.401,-0.789,-0.823,-0.7876,13.8584,13.8513,13.8675,8.510694002239134,0.0005195689705317363,7.533160002239136,0.0005195689705317363,1.942017,9.96,75.84430666,53.13220642,"05 03 22.63","+53 07 55.9",71.35,1.76,14.0154,1304.13,-1537.29,11.789,10.059,9.226969887253329,0.0535748685234303,9.32596988725333,0.05357486852342852,1.389,1.73
"Gaia DR3 2683023811628007296",108782,"209290",330.54080176553964,1.3989923770073878,94.56366650017529,0.047273144,531.3455,-452.3718449340208,-278.72524677866306,1.1244168,8.403359,9.387209,7.420015,3501.5764,3492.6108,3549.281,4.1172,4.0761,4.2456,-1.0088,-1.0674,-0.856,10.5826,10.5679,10.7052,8.281980513430607,0.0010855367632993662,7.298636513430606,0.0010855367632998103,1.967194,9.17,330.54391282,1.40090869,"22 02 10.54","+01 24 03.3",96.98,1.48,10.3114,-455.08,-280.37,11.009,9.42,9.103410898897527,0.03314114963247494,9.353410898897527,0.03314114963247494,1.453,1.589
"Gaia DR3 269067920001221888",28368,\N,89.90737758251713,58.591882912375425,74.13970520405475,0.017304095,254.17365,9.114921193697333,-254.01015846402925,1.0966785,9.412902,10.488072,8.383322,3390.4043,3386.567,3399.3894,4.1213,4.1107,4.1422,-0.9688,-0.9794,-0.9405,13.5032,13.4847,13.587,8.763156274227986,0.0005068183835241769,7.733576274227985,0.0005068183835241769,2.10475,10.25,89.90726509,58.59362838,"05 59 37.74","+58 35 37.1",73.58,21.52,13.5906,8.61,-248.72,12.145,10.561,9.583798917475542,0.6541908829104921,9.894798917475542,0.6541908829104921,1.48,1.584
"Gaia DR3 2704912403783213696",111888,"214683",339.9623200203776,4.116599784578261,44.29836827886993,0.026915593,208.75833,178.15953279620652,108.80818206377519,0.87967604,8.1819,8.683422,7.5196166,4759.873,4758.41,4761.172,4.5748,4.5735,4.5761,-0.3149,-0.3256,-0.3076,22.546,22.5234,22.5636,6.413838646856425,0.0013193821137988948,5.751555246856425,0.0013193821137988948,1.1638054,8.48,339.96109214,4.11585215,"22 39 50.66","+04 06 57.1",44.1,1.12,22.6757,178.99,108.31,9.65,8.588,6.702192947339194,0.05516036713479133,6.810192947339193,0.05516036713479133,0.938,1.062
"Gaia DR3 2720132500864789760",112870,"216259",342.86168702830145,13.970883502206364,44.3103997241109,0.028998768,453.9108,406.2374213899225,202.49977271187342,1.0516615,8.030122,8.483775,7.403412,4944.8955,4938.298,4949.404,4.6054,4.5978,4.6221,-0.2964,-0.3089,-0.2526,22.4106,22.3593,22.4599,6.262650339098777,0.0014211118383959942,5.635940339098776,0.0014211118383959942,1.080363,8.29,342.8588092,13.96949165,"22 51 26.11","+13 58 10.2",47.56,1.18,21.0261,404.92,201.91,9.352,8.37,6.676209229733269,0.05388695136684207,6.756209229733269,0.05388695136684207,0.849,0.982
