designation,HIP,HD,ra,declination,parallax,parallax_error,pm,pmra,pmdec,ruwe,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,teff_gspphot,teff_gspphot_lower,teff_gspphot_upper,logg_gspphot,logg_gspphot_lower,logg_gspphot_upper,mh_gspphot,mh_gspphot_lower,mh_gspphot_upper,distance_gspphot,distance_gspphot_lower,distance_gspphot_upper,Mg,Mg_error,MRp,MRp_error,Bp_minus_Rp,Vmag,RAdeg,DEdeg,RAhms,DEdms,Plx,e_Plx,distance_Plx,pmRA,pmDE,BTmag,VTmag,MV,MV_error,MVt,MVt_error,B_minus_V,BT_minus_VT
Gaia DR3 1002898644851988352,HIP 33805,\N,105.274,59.83334552045818,45.24409292043215,0.016457476,168.24548,-167.70566081150653,13.466838472704948,1.1855605,10.264651,11.181808,9.324263,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,8.542460428255989,0.0007898701097452,7.602072428255989,0.0007898701097457,1.857545,10.93,105.27659697,59.83325319,07 01 06.38,+59 49 59.7,43.88,2.21,22.7894,-166.28,9.97,\N,\N,9.141333094513367,0.1094580191681062,\N,\N,1.476,\N
Gaia DR3 301785537751949824,HIP 8043,\N,25.8193,27.841965507046456,45.423858575128754,0.01962417,551.80707,550.8844648256097,-31.89538549443339,1.3827711,9.65533,10.612588,8.69036,3673.0574,3611.0273,3727.44,4.4371,4.2493,4.4686,-0.4983,-0.7851,-0.4106,22.0834,21.8618,22.6454,7.941750115150631,0.0009381269602042,6.976780115150632,0.0009381269602042,1.922228,10.4,25.81504023,27.84218426,01 43 15.61,+27 50 31.9,48.11,2.01,20.7857,550.97,-33.26,\N,\N,8.811176784512822,0.0907753423311605,\N,\N,1.46,\N
Gaia DR3 5058175086056319616,HIP 15360,\N,49.5157,-30.404714696116223,45.4520524333928,0.014905614,369.30502,-175.21552835055888,-325.09340445090606,1.2015338,10.226472,11.245686,9.224417,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,8.514239495036524,0.0007121159326226,7.512184495036524,0.0007121159326231,2.021269,11.01,49.51707787,-30.40248055,03 18 04.10,-30 24 08.9,42.72,2.53,23.4082,-174.38,-327.09,\N,\N,9.1631562201025,0.1287514433729679,\N,\N,1.451,\N
Gaia DR3 5979367986779538432,HIP 85126,\N,260.954,-32.25726553122258,45.49930014588965,0.017211081,640.1599,-168.4476396846697,-617.6002952264907,0.89112276,10.765629,11.869874,9.719607,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,9.055652582723386,0.0008214058060715,8.009630582723386,0.0008214058060715,2.150267,11.64,260.95559928,-32.25302066,17 23 49.34,-32 15 10.9,42.5,4.11,23.5294,-169.15,-615.79,\N,\N,9.78194465025156,0.2106524770379518,\N,\N,1.47,\N
Gaia DR3 4591351448523805312,HIP 88976,\N,272.42,31.87110904160557,45.881824660287165,0.012740267,201.52567,45.98250684487419,196.2095907801065,1.1445069,10.573041,11.628151,9.553413,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,8.881244404487118,0.0006029650999339,7.861616404487119,0.0006029650999335,2.074738,11.38,272.41951352,31.86975819,18 09 40.68,+31 52 11.1,43.68,7.73,22.8938,54.4,190.54,\N,\N,9.581413148483405,0.3883717728703306,\N,\N,\N,\N
Gaia DR3 6569895822110445440,HIP 109821,210918,333.664,-41.38517850480005,45.91464271570334,0.04036225,974.81696,570.4238812516875,-790.4965021335823,0.8905025,6.0632796,6.3835516,5.5656123,5645.288,5644.191,5646.28,4.2976,4.2964,4.2986,-0.4158,-0.4241,-0.4073,21.7732,21.7502,21.8019,4.373035646041708,0.0019088798181483,3.875368346041708,0.0019088798181483,0.8179393,6.23,333.65920556,-41.37974331,22 14 38.21,-41 22 47.1,45.19,0.71,22.1288,570.33,-791.08,\N,\N,4.505211706656009,0.0341197674081508,\N,\N,0.648,\N
Gaia DR3 6857939315643803776,HIP 102207,\N,310.646,-20.077075762089112,45.93297534758786,0.042822085,370.52582,357.7992312254921,-96.27613537295704,0.8619241,12.377911,12.2994,12.562623,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,10.688533890619698,0.0020244062643701,10.873245890619696,0.0020244062643701,-0.263223,12.38,310.64387351,-20.07641421,20 42 34.53,-20 04 35.1,47.39,4.04,21.1015,354.56,-97.85,\N,\N,10.758433543497006,0.1855685562721527,\N,\N,-0.199,\N
Gaia DR3 111379432679196672,HIP 15332,\N,49.4424,25.25015392509532,46.06079767926949,0.020293385,865.98773,786.5359285178403,-362.3478232742765,1.125629,10.901909,12.024303,9.842851,3577.252,3574.8215,3577.743,4.7973,4.7928,4.7979,-0.1071,-0.1321,-0.1035,21.6509,21.6375,21.6658,9.218566273949284,0.0009567035460671,8.159508273949283,0.0009567035460671,2.181452,11.84,49.43638216,25.25264566,03 17 44.73,+25 15 09.5,47.29,3.44,21.1461,784.25,-364.0,\N,\N,10.213846570077132,0.1582381615383621,\N,\N,1.46,\N
Gaia DR3 3207120455805080832,HIP 24472,\N,78.7847,-7.348734981941862,46.24616153395683,0.01412598,508.34372,265.7228022397644,-433.3644326371201,1.063683,10.696405,11.769548,9.668066,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,9.021783459018312,0.0006632804921293,7.993444459018311,0.0006632804921298,2.101482,11.54,78.78286215,-7.34575425,05 15 07.89,-07 20 44.7,41.94,3.43,23.8436,262.63,-431.62,\N,\N,9.653142130646623,0.177988151608214,\N,\N,1.52,\N
Gaia DR3 6766734242006157568,HIP 96710,\N,294.903,-26.75314272130649,46.39654446186445,0.018854078,453.1926,367.59019520068136,-265.06786910661253,1.0935371,9.72663,10.710811,8.741038,3547.2065,3545.8845,3549.1504,4.1975,4.1933,4.2029,-0.7965,-0.8011,-0.7876,21.5468,21.5327,21.6183,8.059058181111851,0.0008824172772419,7.073466181111851,0.0008824172772419,1.969773,10.49,294.89971054,-26.75131985,19 39 35.93,-26 45 04.8,44.84,1.91,22.3015,369.39,-263.7,\N,\N,8.748328019614679,0.0925518168227448,\N,\N,1.391,\N
Gaia DR3 1113055759899565568,HIP 32313,\N,101.189,71.88518382488142,46.49455367562597,0.06999164,558.8268,-116.84065632472324,-546.4756213393863,5.490787,10.194986,11.170805,9.131592,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,8.531996415293662,0.0032688781362235,7.468602415293661,0.0032688781362235,2.039213,10.92,101.19132778,71.88896431,06 44 45.92,+71 53 20.3,44.43,4.88,22.5073,-118.98,-549.44,\N,\N,9.158381566204357,0.2394712867436057,\N,\N,1.364,\N
Gaia DR3 1328078796458810240,HIP 81655,\N,250.203,36.317474202050704,46.56686107714524,0.051853403,212.79326,-118.82398735976447,176.52713105897348,3.9046035,10.566055,11.735893,9.490576,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,8.906439822601284,0.0024179916337043,7.830960822601284,0.0024179916337048,2.245317,11.45,250.20414758,36.31626548,16 40 49.00,+36 18 58.6,51.88,4.66,19.2753,-140.17,179.29,\N,\N,10.024999837060212,0.1955745535269804,\N,\N,\N,\N
Gaia DR3 2245095683274908672,HIP 102300,\N,310.926,64.28123970484519,46.58405246101683,0.019417845,326.1823,309.81195697555546,-102.03653007671689,1.0884627,10.629359,11.622256,9.64281,3486.609,3484.789,3513.4436,4.0352,4.0276,4.1142,-1.61,-1.6238,-1.5131,21.4405,21.3897,21.6361,8.970545330922874,0.0009051448915302,7.983996330922877,0.0009051448915307,1.979446,11.87,310.92061816,64.28194099,20 43 40.95,+64 16 55.0,46.11,1.76,21.6873,310.37,-100.54,\N,\N,10.18897561109704,0.0829245082855081,\N,\N,1.997,\N
Gaia DR3 5173999736868992512,HIP 12749,\N,40.9745,-8.832723386232725,46.892076057196185,0.027057776,973.37006,615.5159999120028,-754.0485810122939,1.4009753,11.053944,12.150115,10.005981,3566.8882,3546.5542,3592.8591,4.7771,4.7392,4.8164,-0.3847,-0.5573,-0.1986,21.4318,21.1957,23.163,9.40944130362018,0.0012529882553327,8.361478303620178,0.0012529882553318,2.144134,11.92,40.97021936,-8.82753956,02 43 52.85,-08 49 39.1,42.19,3.45,23.7023,617.59,-754.33,\N,\N,10.046047626909406,0.1779650484077128,\N,\N,1.46,\N
Gaia DR3 793785826901083520,HIP 47395,\N,144.85,31.75379331688525,46.96954978298262,0.04243176,284.64246,-194.38464918697383,-207.93251068808647,0.9900129,10.923082,12.066908,9.857973,3554.7136,3542.0342,3567.5305,4.7389,4.7182,4.7553,-0.3327,-0.4275,-0.2341,21.4501,20.8018,22.79,9.282163986811138,0.0019616841468206,8.217054986811135,0.0019616841468197,2.208935,11.77,144.85175347,31.75522522,09 39 24.42,+31 45 18.8,41.66,3.97,24.0038,-190.3,-207.7,\N,\N,9.868596328058636,0.2075608283076393,\N,\N,\N,\N
Gaia DR3 6399966162596931712,HIP 105336,\N,320.036,-67.65117367541892,47.0216858624172,0.30597576,440.02487,-431.2819712489052,87.27974654933894,21.355299,10.070288,11.136594,9.0418825,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,8.431778978859516,0.0141302313305686,7.403373478859517,0.0141302313305686,2.0947115,10.9,320.04356389,-67.65177667,21 20 10.46,-67 39 06.4,50.15,3.31,19.9402,-429.14,87.68,\N,\N,9.401354686782184,0.1435301700504823,\N,\N,1.45,\N
Gaia DR3 4279492361332301056,HIP 92417,\N,282.503,3.0862948455300128,47.076898238197,0.018376376,448.36108,-184.8854608360472,-408.46667267205714,1.0149475,9.957573,10.964158,8.963606,3579.6604,3518.319,3638.618,4.4194,4.2237,4.5143,-0.6038,-0.846,-0.4181,21.3041,21.1534,21.6334,8.321612203481052,0.00084763009015,7.327645203481052,0.0008476300901496,2.000552,10.73,282.50390954,3.08910317,18 50 00.94,+03 05 20.8,45.88,1.98,21.796,-180.4,-407.12,\N,\N,9.038117046146152,0.093770435088242,\N,\N,1.446,\N
Gaia DR3 1404213517041788800,HIP 77514,\N,237.398,51.0505537483489,47.4181004748921,0.01587462,480.72537,-378.89321941182845,295.86619426681943,1.1547182,11.090381,12.293373,10.00272,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,9.4701017627832,0.0007269650256782,8.3824407627832,0.0007269650256782,2.290653,12.84,237.40258187,51.04852013,15 49 36.62,+51 02 54.7,57.78,3.37,17.307,-366.65,277.03,\N,\N,11.648887687540892,0.1267943386659995,\N,\N,2.2,\N
Gaia DR3 2386898972054841088,HIP 114719,\N,348.571,-19.644029228906422,47.41964942705923,0.017339377,444.83707,441.1978154472954,56.78469504211246,1.1070641,9.733671,10.7356825,8.743459,3762.0674,3756.5117,3771.646,4.5783,4.542,4.5835,-0.0921,-0.1312,-0.0473,21.0978,21.0327,22.5467,8.11346269459882,0.0007940164232911,7.123250694598819,0.0007940164232906,1.9922235,10.46,348.56814681,-19.64441927,23 14 16.36,-19 38 39.9,51.44,5.79,19.4401,447.7,57.87,\N,\N,9.01650479958083,0.2454574100951783,\N,\N,1.449,\N
Gaia DR3 259731623173675904,HIP 23140,\N,74.6952,50.94232725155364,47.49678089820916,0.017995318,604.8183,502.40443910267913,-336.7416620102787,0.9737834,10.1602545,11.19085,9.151585,3680.0913,3662.41,3695.8936,4.6281,4.5977,4.6598,-0.3732,-0.5168,-0.1985,21.007,20.9004,21.1009,8.543575381227544,0.0008227155118358,7.534905881227544,0.0008227155118358,2.039265,10.97,74.68968885,50.94464233,04 58 45.53,+50 56 40.7,51.51,2.45,19.4137,502.53,-335.69,\N,\N,9.529457749402896,0.1033609928237488,\N,\N,1.432,\N
Gaia DR3 2263910113928117632,HIP 96702,\N,294.884,71.87001776294126,47.53062999147815,0.013992852,482.5654,-190.19788994670105,-443.5021186239471,1.1679966,10.196066,11.175522,9.217833,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,8.580933853296788,0.0006392739362324,7.6027008532967875,0.0006392739362324,1.957689,10.94,294.88843753,71.87306594,19 39 33.23,+71 52 23.0,45.88,1.29,21.796,-190.42,-443.71,\N,\N,9.24811704614615,0.0610710097402353,\N,\N,1.48,\N
Gaia DR3 2724890053318383232,HIP 108380,\N,329.361,8.13764621566758,47.722729778733175,0.023664718,386.94595,373.7987869847853,100.0082070901026,1.095068,10.135839,11.255583,9.079977,3597.1438,3593.0742,3600.2336,4.5901,4.5835,4.5955,-0.1279,-0.1614,-0.1006,20.9051,20.8896,20.9195,8.529465388521848,0.0010767884960953,7.4736033885218465,0.0010767884960949,2.175606,11.02,329.35839099,8.13695772,21 57 26.01,+08 08 13.0,50.43,2.48,19.8295,380.83,103.22,\N,\N,9.533444840795667,0.1068728750634369,\N,\N,1.439,\N
Gaia DR3 676804558572501120,HIP 39950,\N,122.377,21.90449525992884,47.7384996028078,0.02146427,326.02036,-319.2789951855865,-65.95594937957259,1.281516,10.863982,12.049478,9.781125,3232.735,3232.0874,3233.1255,3.9465,3.9439,3.9482,-1.1154,-1.1187,-1.1133,20.9773,20.9678,20.988,9.258325826133206,0.0009763413937182,8.175468826133205,0.0009763413937182,2.268353,11.84,122.37981064,21.90494855,08 09 31.15,+21 54 17.8,46.27,3.3,21.6123,-318.0,-63.58,\N,\N,10.166497497499485,0.1551339130531186,\N,\N,1.53,\N
Gaia DR3 6558265325547297536,HIP 108890,\N,330.865,-50.64612162759818,47.756568277591136,0.025031647,597.37524,346.92182037140907,-486.3151478153532,1.3355784,11.134454,12.327597,10.046038,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,9.529619557142098,0.0011381792654594,8.441203557142096,0.0011381792654594,2.281559,12.09,330.86172081,-50.64277735,22 03 26.81,-50 38 34.0,45.87,8.09,21.8007,351.3,-485.99,\N,\N,10.397643700659913,0.3870249685351297,\N,\N,1.57,\N
Gaia DR3 4344429586787123072,HIP 80612,\N,246.888,-10.009344511209727,47.78323899758434,0.020615628,384.50598,-206.0635447066127,-324.62695514105684,1.17317,10.007336,11.055633,8.991631,3691.5237,3688.4912,3692.0933,4.6274,4.6247,4.6281,-0.0047,-0.0284,-0.0007,20.8753,20.8628,20.8883,8.403713925803148,0.0009368613581584,7.388008925803147,0.0009368613581584,2.064002,10.82,246.88895061,-10.0071135,16 27 33.35,-10 00 25.6,46.19,2.85,21.6497,-206.22,-325.09,\N,\N,9.142739811232737,0.1341538863163993,\N,\N,1.448,\N
Gaia DR3 4473756480908157184,HIP 86707,\N,265.754,5.7890271239487605,47.828026233697685,0.6564646,257.9843,243.9674439850905,-83.87960143449588,33.668644,9.961636,10.900316,8.787858,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,8.360048293916503,0.0298064629756815,7.186270293916502,0.029806462975682,2.112458,10.68,265.75278347,5.78947598,17 43 00.67,+05 47 22.1,50.8,3.38,19.685,225.71,-60.54,\N,\N,9.209318561419597,0.1446936276374497,\N,\N,1.507,\N
Gaia DR3 6603693881832177792,HIP 112312,\N,341.242,-33.251032101917744,47.92184273110373,0.025237111,218.07243,179.9451085900137,-123.18825355296836,1.138691,10.744967,12.301904,9.523224,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,9.147634547799756,0.0011435640237404,7.925891547799756,0.0011435640237404,2.77868,11.7,341.24098947,-33.25018399,22 44 57.84,-33 15 00.7,42.35,3.37,23.6128,183.12,-118.87,\N,\N,9.834267073333628,0.1731609673541028,\N,\N,1.3,\N
