"Gaia DR3 5481843025342799104",""
"Gaia DR3 205533465225342208",""
"Gaia DR3 1451450048399808384","120476A"
"Gaia DR3 2047690533883897856",""
"Gaia DR3 3765772972322477696",""
"Gaia DR3 2679694971455927296",""
"Gaia DR3 5934097210481810432",""
"Gaia DR3 3073508528645520000",""
"Gaia DR3 3592769731134725248",""
"Gaia DR3 555032443207370880",""
"Gaia DR3 269067920001221888",""
"Gaia DR3 348020482735930112","9826"
"Gaia DR3 4453239765733463936",""
"Gaia DR3 1473166433840437888",""
"Gaia DR3 2110336583235233536",""
"Gaia DR3 798914636327665536",""
"Gaia DR3 144312344255035392",""
"Gaia DR3 461701979233050624",""
"Gaia DR3 461701979229013376",""
"Gaia DR3 4296708789289490816","188512B"
"Gaia DR3 6166376978860425600",""
"Gaia DR3 4548562265603840768",""
"Gaia DR3 5914096303621755520","154577"
"Gaia DR3 1446540213584440704",""
"Gaia DR3 2891695137006940544",""
"Gaia DR3 2710189960812052736",""
"Gaia DR3 2860924621205256704","166"
"Gaia DR3 6329012134635132544",""
"Gaia DR3 2756363608023588864","222368"
"Gaia DR3 266846631637524864",""
"Gaia DR3 5599170330597007360",""
"Gaia DR3 170639948323693952","281621"
"Gaia DR3 777254360337133312","95128"
"Gaia DR3 2034581091118259328","331161A"
"Gaia DR3 3263836568394170880","22484"
"Gaia DR3 3411398347466374144",""
"Gaia DR3 5107106033552702208","23356"
"Gaia DR3 6734485286788609664",""
"Gaia DR3 5031808453624044800","5133"
"Gaia DR3 4726357491998516480",""
"Gaia DR3 567659818855055488",""
"Gaia DR3 4785886941312921344",""
"Gaia DR3 2034581091125010048","331161B"
"Gaia DR3 622339455521105280",""
"Gaia DR3 1350714133093019904",""
"Gaia DR3 6508776375901968640","211415"
"Gaia DR3 6018209128388194688",""
"Gaia DR3 948039989652369408",""
"Gaia DR3 5059348952161258624","20010"
"Gaia DR3 3531294008802299392",""
"Gaia DR3 2910909931633597312",""
"Gaia DR3 2644439955745152512",""
"Gaia DR3 6288325222245417856","120467"
"Gaia DR3 87921523897823872",""
"Gaia DR3 3057712223051571200","61606"
"Gaia DR3 1466009540856759680",""
"Gaia DR3 3197487123332369536",""
"Gaia DR3 4568060562432051584",""
"Gaia DR3 982389862479141376",""
"Gaia DR3 2526862202360516224",""
"Gaia DR3 3057712188691831936","61606B"
"Gaia DR3 4055585060376248832","318327"
"Gaia DR3 6863536001631204608","188088B"
"Gaia DR3 4345775217221821312","146233"
"Gaia DR3 6863535898551993472","188088"
"Gaia DR3 6662167868705713664",""
"Gaia DR3 1229089524081628416",""
"Gaia DR3 3342958387205080064",""
"Gaia DR3 5189170557793054848",""
"Gaia DR3 5970956070030449792","150689"
"Gaia DR3 2302668860880387072",""
"Gaia DR3 4865016349710062208",""
"Gaia DR3 3928391218812375808",""
"Gaia DR3 1510834911934401152","234078"
"Gaia DR3 5129338021224785408","17206"
"Gaia DR3 4258375617747092864","173818"
"Gaia DR3 6798111177125746944",""
"Gaia DR3 1534239391319888384",""
"Gaia DR3 1439069444391326208",""
"Gaia DR3 1379500756257031808","144579"
"Gaia DR3 5661077924778519552",""
"Gaia DR3 646818024623804416",""
"Gaia DR3 70051608089857536","23453"
"Gaia DR3 2051984436005124480",""
"Gaia DR3 573273684709125504",""
"Gaia DR3 943688191349024000",""
"Gaia DR3 4291123545113039616","184489"
"Gaia DR3 3758629475341196672",""
"Gaia DR3 1439121018358632832","160269"
"Gaia DR3 6910371005081903488",""
"Gaia DR3 1092545710514654464","72905"
"Gaia DR3 5046323965616929792",""
"Gaia DR3 1078773262224027520","97584"
"Gaia DR3 1078773262224027648","97584B"
"Gaia DR3 2887328533953284096",""
"Gaia DR3 5842905399625203328",""
"Gaia DR3 2611163717366876544","216133"
"Gaia DR3 1604859511344724864","126660"
"Gaia DR3 6245870673116518784",""
"Gaia DR3 5329084752471816192",""
"Gaia DR3 1965478468902062464",""
"Gaia DR3 4772342676044749952",""
"Gaia DR3 1284721994948665216",""
"Gaia DR3 3394298532176344960","35171"
"Gaia DR3 4975847194422433280",""
"Gaia DR3 3400292798990117888","35296"
"Gaia DR3 1604859408265509632","126660B"
"Gaia DR3 1333760419707327744","157214"
"Gaia DR3 4094679437572611712",""
"Gaia DR3 2395031273585836288","221503"
"Gaia DR3 6171492113110925312","120036B"
"Gaia DR3 89593331327905536",""
"Gaia DR3 1155276250492687616",""
"Gaia DR3 4470812298018311296",""
"Gaia DR3 3299381442858615936",""
"Gaia DR3 672091364541849344",""
"Gaia DR3 383426372059603712",""
"Gaia DR3 6748796396992580352",""
"Gaia DR3 4714117865996976768",""
"Gaia DR3 6748796362632835968",""
"Gaia DR3 1123140411831352064",""
"Gaia DR3 348515297330773120","10307"
"Gaia DR3 5994771148252505216","142709"
"Gaia DR3 5902750168276592256","136352"
"Gaia DR3 4477025122831072768",""
"Gaia DR3 139860666488305664",""
"Gaia DR3 4423865487962417024","140538A"
"Gaia DR3 1014058103758571520",""
"Gaia DR3 3143635723866162432",""
"Gaia DR3 393621524910343296",""
"Gaia DR3 5835498883232034816","144628"
"Gaia DR3 4586421272746553472",""
"Gaia DR3 6465749496610128512","205390"
"Gaia DR3 2995725777563537792","40136"
"Gaia DR3 4660766641264343552","36705B"
"Gaia DR3 4701057557644479232",""
"Gaia DR3 6385548541499112448",""
"Gaia DR3 746545172372256384","86728"
"Gaia DR3 2043885295914531072","176051A"
"Gaia DR3 1923896725839633024",""
"Gaia DR3 2379962604166006016",""
"Gaia DR3 4315804351350378496","182572"
"Gaia DR3 5663558453071724288","84117"
"Gaia DR3 3489338019475637760","105452"
"Gaia DR3 1209281444150517120",""
"Gaia DR3 6518076316215261568",""
"Gaia DR3 1138963758544545280",""
"Gaia DR3 1209281375431039104",""
"Gaia DR3 3850237416912716928",""
"Gaia DR3 4581486217883307008",""
"Gaia DR3 1159745146784043264",""
"Gaia DR3 2467242352575094784",""
"Gaia DR3 4975284381908412672","4391"
"Gaia DR3 2918040883015489408",""
"Gaia DR3 6366571314402539008",""
"Gaia DR3 3015684005638599168",""
"Gaia DR3 5885471411757745408",""
"Gaia DR3 892348454394856064","60179C"
"Gaia DR3 3127503620545728128",""
"Gaia DR3 1889703529122914560",""
"Gaia DR3 3127574019351694848",""
"Gaia DR3 3968118399284369280",""
"Gaia DR3 1631591147276525696",""
"Gaia DR3 5183110874332308480",""
"Gaia DR3 2920772722738017920","52698"
"Gaia DR3 2136665454312416128",""
"Gaia DR3 6319027263385067264",""
"Gaia DR3 5309974484478157696",""
"Gaia DR3 4510987662629223424","229793"
"Gaia DR3 3023711269067191296","38858"
"Gaia DR3 5482827676662168832",""
"Gaia DR3 5588607120530408832","63077"
"Gaia DR3 6009538585839374336","140901"
"Gaia DR3 890284258753196544",""
"Gaia DR3 4934923028038871296","7570"
"Gaia DR3 1573086507223498496",""
"Gaia DR3 3858896247076028288",""
"Gaia DR3 1573086442800134272","238090"
"Gaia DR3 2905516483501493120",""
"Gaia DR3 3724242219117947904","122742"
"Gaia DR3 3256334497479041024","24916A"
