HIP, e_Plx, Plx
680,1.1,2.8
681,1.51,1.52
682,0.97,25.15
683,1.35,2.88
684,1.46,2.3
685,1.34,0.65
686,1.5,5.59
687,1.92,45.64
688,0.89,7.6
689,0.86,12.72
690,0.95,11.01
691,0.96,14.43
692,1.26,2.77
693,1.13,9.47
694,1.37,2.3
695,0.63,2.17
696,0.79,2.42
697,0.94,8.84
698,0.71,2.89
699,0.69,30.26
700,1.04,5.97
701,0.66,6.36
702,1.56,5.07
703,2.5,-2.92
704,0.91,5.19
705,0.7,16.24
706,0.85,5.03
707,0.96,3.19
708,1.05,6.86
709,0.86,8.58
710,1.01,11.61
711,1.18,0.97
712,0.82,4.72
713,1.13,4.78
714,0.76,3.19
715,1.68,1.8
716,0.81,7.78
717,1.53,1.36
718,1.82,3.4
719,1.21,0.25
720,0.96,3.16
721,1.43,2.6
722,1.03,12.89
723,2.1,31.34
724,1.07,7.86
725,1.33,1.01
726,0.95,18.22
727,0.96,7.7
728,0.94,8.65
729,0.72,11.17
730,0.74,7
731,2.96,22.5
732,0.82,6.49
733,1.13,10.46
734,1.6,3.89
735,1.08,6.32
736,1.16,8.35
737,0.75,16.09
738,2.61,42.82
739,1.37,4.32
740,0.77,8.73
741,1.41,0.11
742,1.01,2.98
743,1.61,1.37
744,0.72,3.15
745,1.19,6.75
746,0.56,59.89
747,2.04,4.8
748,1.08,5.87
749,1.46,4.36
750,9.4,12.2
751,1.26,4.56
752,1.77,6.48
753,1.21,17.75
754,2.31,22.07
755,0.69,17.03
756,2,5.08
757,1.11,1.97
758,1.28,7.75
759,0.79,19.28
760,1.17,8.56
761,1.34,14.57
762,1.31,11.89
763,1.15,1.42
764,1.2,6.32
765,0.98,23.28
766,1.2,7.58
767,0.74,4.96
768,1.3,13.8
769,1,4.21
770,1.4,1.88
771,1.14,2.08
772,0.98,16.26
773,0.88,5.36
774,1.37,1.78
775,0.82,4.57
776,1.5,3.03
777,1.89,8.17
778,1.34,4.45
779,2.01,4.76
780,1.13,2.91
781,2.33,1.4
782,1.5,3.25
783,1.36,-0.54
784,1.21,0.55
785,0.7,4.31
786,1.41,6.9
787,1.59,23.86
788,1.42,6.24
789,1.39,0.16
790,1.04,5.62
791,1.11,13.92
792,1.23,12.54
793,1.05,3.57
794,1.86,17.08
795,4.23,14.21
796,1.92,1.31
797,1.13,4.58
798,0.57,7.37
799,1.15,5.18
800,1.15,2.27
801,1.05,18.8
802,1.13,1.52
803,1.06,2.68
804,0.83,8.36
805,0.79,4.44
806,1.1,1.7
807,1.28,5.8
808,1.07,7.14
809,0.77,4.37
810,0.89,6.14
811,2.7,-0.35
812,1.07,1.27
813,0.86,10.04
814,0.5,13.45
815,0.81,9.63
816,0.89,1.56
817,1.55,7.21
818,1.21,10.24
819,0.68,11.15
820,0.93,1.08
821,1.12,4.59
822,0.7,7.73
823,2.1,10.83
824,0.9,3.13
825,1.03,4.15
826,1.08,3.05
827,1.59,6.95
828,1.01,3.6
829,0.6,3.21
830,1.42,4.95
831,2.9,8.5
832,1.52,-2.57
833,1.56,6.1
834,0.83,4.74
835,1.13,3.93
836,0.83,1.12
837,1.18,2.74
838,0.81,2.98
839,0.97,5.26
840,0.92,18.18
841,0.68,3.24
842,1.39,3.85
843,1.18,2.76
844,1.38,7.14
845,1.18,4.82
846,1.28,13.53
847,1.04,10.15
848,0.82,10.35
849,1.2,3.27
850,3.74,4.92
851,1.02,6.17
852,0.87,3.65
853,2.38,4.11
854,1.29,7.48
855,1.07,1.83
856,1.06,12.91
857,0.73,6.52
858,0.76,4.74
859,0.92,7.1
860,0.61,1.66
861,1.27,3.45
862,2.44,13.51
863,0.84,5.51
864,1.37,0.66
865,0.7,15.06
866,0.87,5.16
867,1.17,15.57
868,0.97,2.91
869,1.49,8.77
870,0.91,18.2
871,2.12,1.74
872,1.15,4.38
873,0.74,15.35
874,0.81,3.75
875,1.08,7.95
876,0.92,1.62
