HIP, e_Plx, Plx
26857,3.88,172.78
27072,0.6,111.49
27075,0.74,39.15
27080,0.75,39.08
27111,14.98,44.67
27188,1.11,73.04
27207,1.03,48.6
27288,0.68,46.47
27321,0.51,51.87
27323,1.06,48.2
27359,1.49,66.71
27435,1.19,64.25
27803,1.66,49.74
27887,0.53,77.95
27913,1.08,115.43
27922,1.19,43.86
28035,1.94,68.58
28103,0.74,66.47
28153,1.77,42.17
28267,0.93,43.1
28360,0.78,39.72
28368,21.52,73.58
28442,24.41,66.82
28954,0.91,64.71
29052,2.61,87.64
29067,1.78,40.12
29271,0.45,98.54
29277,1.44,106.43
29295,1.12,173.19
29316,4.56,92.77
29432,0.87,43.26
29525,0.96,55.2
29548,1.41,40.38
29568,0.75,59.9
29650,0.86,47.33
29800,0.9,51
29860,0.78,51.76
30256,9.15,40.52
30314,0.49,42.56
30362,13.63,48.08
30365,13.63,48.08
30422,10.14,41.09
30503,0.63,45.38
30630,1.1,68.2
30756,33.89,55.52
30920,2.64,242.89
31126,2.16,41.35
31292,13.42,119.54
31293,3.18,114.18
31300,1.89,61.28
31555,1.52,51.51
31592,0.7,50.41
31634,1.61,66.11
31635,2.35,101.59
31711,0.64,46.15
31862,1.05,76.47
31878,0.91,45.56
32010,1.37,57.07
32313,4.88,44.43
32349,1.58,379.21
32362,0.83,57.02
32366,0.56,41.2
32423,1.22,40.02
32439,0.53,56.02
32480,0.73,60.56
32560,3.37,64.91
32765,0.53,39.66
32769,1.3,60.96
32919,1.23,53.12
32939,1.01,39.19
32984,0.86,114.94
33142,2.18,94.02
33226,1.87,181.32
33277,0.9,57.89
33373,1.41,41.53
33428,1.86,53.67
33499,2.64,124.62
33537,0.88,41.25
33560,2.28,44.83
33690,0.54,54.33
33805,2.21,43.88
33817,0.72,68.42
33852,0.97,48.96
33955,1.13,53.47
34017,0.84,52.37
34052,0.94,58.89
34065,1.05,61.54
34069,6.81,66.29
34104,2.74,64.96
34115,2.88,65.44
34222,2.16,41.63
