HIP,HD,RAdeg,DEdeg,RAhms,DEdms,Plx,e_Plx,distance_Plx,Vmag,MV,MV_error,VTmag,MVt,MVt_error,B_minus_V,BT_minus_VT
HIP 15442,20619,49.75727628,-2.84294728,03 19 01.75,-02 50 34.6,40.52,0.98,24.6792,7.05,5.088347183441215,0.05252857933609789,7.121,5.159347183441215,0.05252857933609789,0.655,0.721
HIP 30256,\N,95.47586513,-22.72401646,06 21 54.21,-22 43 26.5,40.52,9.15,24.6792,10.76,8.798347183441214,0.498949103243695,11.171,9.209347183441214,0.4989491032436959,1.44,1.208
HIP 64690,113283,198.8728529,-87.56030424,13 15 29.48,-87 33 37.1,40.52,0.56,24.6792,7.11,5.148347183441214,0.030012388428239056,7.183,5.221347183441214,0.030012388428239056,0.71,0.781
HIP 54155,96064,166.17323941,-4.220837,11 04 41.58,-04 13 15.0,40.57,1.4,24.6488,7.64,5.681025038521631,0.07496349415905978,7.534,5.575025038521631,0.07496349415905978,0.77,0.967
HIP 57494,102392,176.76648871,-11.82390048,11 47 03.96,-11 49 26.0,40.57,2.66,24.6488,9.03,7.07102503852163,0.1425786277680423,9.18,7.22102503852163,0.1425786277680423,1.126,1.425
HIP 37798,\N,116.25476091,2.13787935,07 45 01.14,+02 08 16.4,40.58,2.18,24.6427,10.19,8.231560213486635,0.11676618042302422,10.228,8.269560213486635,0.11676618042302422,1.349,1.665
HIP 60093,\N,184.85216737,28.38217879,12 19 24.52,+28 22 55.8,40.58,1.94,24.6427,10.62,8.661560213486634,0.1038903452695088,\N,\N,\N,1.439,\N
HIP 57493,\N,176.76434019,50.97206679,11 47 03.44,+50 58 19.4,40.61,1.52,24.6245,9.51,7.553164947450185,0.08131447173650175,9.682,7.725164947450185,0.08131447173650175,1.252,1.507
HIP 51933,91889,159.13426115,-12.22848702,10 36 32.22,-12 13 42.6,40.67,0.68,24.5881,5.71,3.756370862022939,0.036310274387609365,5.773,3.8193708620229376,0.036310274387609365,0.528,0.562
HIP 34567,54371,107.39779027,25.72907423,07 09 35.47,+25 43 44.7,40.68,1.02,24.5821,7.09,5.136904721253536,0.0544583627611841,7.159,5.205904721253537,0.0544583627611841,0.7,0.793
HIP 9269,12051,29.77693064,33.21053783,01 59 06.46,+33 12 37.9,40.74,0.9,24.5459,7.14,5.190105123320727,0.047978477717093515,7.221,5.2711051233207264,0.047978477717093515,0.773,0.901
HIP 86346,160934,264.66526651,61.23766799,17 38 39.66,+61 14 15.6,40.75,12.06,24.5399,10.29,8.340638065379977,0.6624640481062412,10.32,8.370638065379978,0.6624640481062412,1.591,1.549
HIP 98416,189340,299.94787255,-9.95728408,19 59 47.49,-09 57 26.2,40.75,1.35,24.5399,5.87,3.920638065379977,0.07196468502523512,5.928,3.978638065379979,0.07196468502523512,0.598,0.654
HIP 73241,131923,224.53672527,-48.8621921,14 58 08.81,-48 51 43.9,40.79,0.86,24.5158,6.34,4.392768526585473,0.04578923887117181,6.425,4.477768526585474,0.04578923887117181,0.708,0.782
HIP 110922,\N,337.09753455,-25.90131026,22 28 23.41,-25 54 04.7,40.81,7.66,24.5038,11.97,10.023832973866352,0.412473717454918,\N,\N,\N,\N,\N
HIP 114570,219080,348.13717883,49.40597489,23 12 32.92,+49 24 21.5,40.82,0.57,24.4978,4.53,2.5843650019002578,0.030323854242181092,4.57,2.6243650019002587,0.030323854242181092,0.302,0.328
HIP 17666,23439,56.75687379,41.43027841,03 47 01.65,+41 25 49.0,40.83,2.24,24.4918,7.67,5.724896899614986,0.11925023297800807,\N,\N,\N,0.796,\N
HIP 64550,114853,198.46798635,-45.18553071,13 13 52.32,-45 11 07.9,40.87,0.84,24.4678,6.93,4.987023188557968,0.04463649935181557,6.998,5.055023188557968,0.04463649935181557,0.643,0.71
HIP 42913,74956,131.17582214,-54.70856797,08 44 42.20,-54 42 30.8,40.9,0.38,24.4499,1.93,-0.0113834599632909,0.020175629827280606,1.949,0.007616540036709196,0.020175629827280606,0.043,0.101
HIP 40170,\N,123.06061617,51.90758949,08 12 14.55,+51 54 27.3,40.94,1.87,24.426,10.2,8.260739191632435,0.09925454152381263,10.339,8.399739191632436,0.09925454152381263,1.319,1.785
HIP 99880,\N,303.96927228,42.979203,20 15 52.63,+42 58 45.1,40.97,1.21,24.4081,9.98,8.042329819765712,0.06415049919548022,10.179,8.241329819765713,0.06415049919548022,1.266,1.509
HIP 90376,\N,276.61971298,79.42237979,18 26 28.73,+79 25 20.6,40.98,0.89,24.4021,9.24,7.302859770325882,0.047167261601771315,9.438,7.500859770325882,0.047167261601771315,1.166,1.378
HIP 56630,\N,174.16899098,39.19161005,11 36 40.56,+39 11 29.8,40.99,1.55,24.3962,10.01,8.073389591582508,0.08215144824384168,10.166,8.22938959158251,0.08215144824384168,1.29,1.682
HIP 88622,165401,271.40614302,4.65795549,18 05 37.47,+04 39 28.6,41.0,0.88,24.3902,6.8,4.863919283598679,0.04661437164606097,6.877,4.940919283598679,0.04661437164606097,0.61,0.652
HIP 5799,7439,18.59986241,-7.9235004,01 14 23.97,-07 55 24.6,41.01,0.89,24.3843,5.14,3.2044488464374243,0.047132746544787274,5.196,3.2604488464374235,0.047132746544787274,0.448,0.472
HIP 80229,\N,245.67281906,-48.65438229,16 22 41.48,-48 39 15.8,41.01,3.69,24.3843,11.82,9.884448846437424,0.19591472014368438,\N,\N,\N,1.45,\N
HIP 66212,118036,203.56823695,-0.31383882,13 34 16.38,-00 18 49.8,41.03,1.87,24.3724,7.37,5.435507584834562,0.09903652263406082,7.617,5.682507584834564,0.09903652263406082,1.521,1.078
HIP 15131,20407,48.77708474,-45.66516723,03 15 06.50,-45 39 54.6,41.05,0.59,24.3605,6.75,4.816565807277298,0.031212106009280927,6.816,4.882565807277299,0.031212106009280927,0.586,0.646
HIP 79492,145958,243.32642684,13.52792867,16 13 18.34,+13 31 40.5,41.05,1.58,24.3605,6.68,4.746565807277298,0.08362051562904194,7.398,5.464565807277298,0.08362051562904194,0.764,0.863
HIP 17147,22879,55.09025656,-3.21646054,03 40 21.66,-03 12 59.3,41.07,0.86,24.3487,6.68,4.747623514268263,0.045476973251641795,6.749,4.816623514268263,0.045476973251641795,0.554,0.581
HIP 53910,95418,165.4599615,56.38234478,11 01 50.39,+56 22 56.4,41.07,0.6,24.3487,2.34,0.4076235142682627,0.03172574016427809,2.349,0.41662351426826305,0.03172574016427809,0.033,0.036
HIP 59280,105631,182.40623465,40.25218003,12 09 37.50,+40 15 07.8,41.07,0.98,24.3487,7.46,5.527623514268264,0.051824859708522464,7.556,5.623623514268262,0.051824859708522464,0.794,0.901
HIP 73633,132899,225.77512425,-41.99206698,15 03 06.03,-41 59 31.4,41.07,2.11,24.3487,8.98,7.047623514268263,0.1116592244790855,9.13,7.197623514268264,0.1116592244790855,1.145,1.314
HIP 99316,191499,302.39292263,16.80533865,20 09 34.30,+16 48 19.2,41.07,1.18,24.3487,7.56,5.627623514268263,0.06240669243967867,7.746,5.813623514268263,0.06240669243967867,0.81,0.952
HIP 12158,16287,39.1732226,-3.15627771,02 36 41.57,-03 09 22.6,41.09,1.25,24.3368,8.1,6.168680706309356,0.06607880982933079,8.206,6.274680706309356,0.06607880982933079,0.944,1.105
HIP 24874,34865,79.99779615,-15.84014212,05 19 59.47,-15 50 24.5,41.09,1.26,24.3368,8.72,6.788680706309357,0.06660777064349421,8.861,6.929680706309357,0.06660777064349421,1.003,1.196
HIP 30422,44770,95.94373665,4.59586651,06 23 46.50,+04 35 45.1,41.09,10.14,24.3368,6.72,4.788680706309357,0.5471592563005103,6.639,4.707680706309356,0.5471592563005103,0.45,0.465
HIP 63762,115675,196.03421827,87.11499041,13 04 08.21,+87 06 54.0,41.12,0.76,24.3191,8.77,6.840265529936096,0.04013878860482967,8.955,7.025265529936097,0.04013878860482967,1.102,1.296
HIP 6008,\N,19.31461024,-13.26331464,01 17 15.51,-13 15 47.9,41.14,2.69,24.3072,10.8,8.871321436793528,0.14218781629127264,\N,\N,\N,1.447,\N
HIP 113244,\N,343.98587767,5.75574999,22 55 56.61,+05 45 20.7,41.15,2.65,24.3013,11.23,9.301849197741443,0.14003345248899635,\N,\N,\N,1.433,\N
HIP 11650,\N,37.569093,5.26414062,02 30 16.58,+05 15 50.9,41.15,4.96,24.3013,12.79,10.861849197741442,0.2630163477780201,\N,\N,\N,-0.056,\N
HIP 81813,151541,250.66257909,68.10112992,16 42 39.02,+68 06 04.1,41.15,0.57,24.3013,7.56,5.631849197741444,0.030080642642915656,7.634,5.705849197741444,0.030080642642915656,0.769,0.888
HIP 51271,90884,157.09800348,-51.70518181,10 28 23.52,-51 42 18.7,41.16,0.96,24.2954,8.9,6.972376830451978,0.05065577357244644,9.007,7.079376830451977,0.05065577357244644,1.045,1.242
HIP 112915,216448,343.00272477,57.71744423,22 52 00.65,+57 43 02.8,41.17,1.35,24.2895,8.01,6.082904334987431,0.07123000039967131,8.224,6.296904334987431,0.07123000039967131,1.043,1.22
HIP 113829,217813,345.77104234,20.91864314,23 03 05.05,+20 55 07.1,41.19,0.87,24.2777,6.65,4.723958959782088,0.045871862282083065,6.725,4.798958959782087,0.045871862282083065,0.62,0.684
HIP 115058,\N,349.57357828,46.28896124,23 18 17.66,+46 17 20.3,41.19,1.87,24.2777,10.92,8.993958959782088,0.09865129081842561,\N,\N,\N,1.434,\N
HIP 45963,80715,140.60919142,40.20193252,09 22 26.21,+40 12 07.0,41.19,1.08,24.2777,7.69,5.763958959782087,0.05694896461843024,7.79,5.863958959782087,0.05694896461843024,0.987,1.238
HIP 93871,178126,286.75929861,7.61772281,19 07 02.23,+07 37 03.8,41.19,1.34,24.2777,9.23,7.303958959782088,0.07066764245473056,9.343,7.416958959782088,0.07066764245473056,1.056,1.241
HIP 32366,49095,101.34616795,-31.79292174,06 45 23.08,-31 47 34.5,41.2,0.56,24.2718,5.92,3.9944860801656734,0.029516976795856742,5.977,4.051486080165674,0.029516976795856742,0.491,0.523
HIP 74815,\N,229.33844896,-27.99716807,15 17 21.23,-27 59 49.8,41.21,3.88,24.266,11.08,9.15501307262294,0.20505561345066603,\N,\N,\N,1.366,\N
HIP 66886,119291,205.60917973,-1.68589553,13 42 26.20,-01 41 09.2,41.22,1.41,24.2601,9.24,7.315539937215971,0.07430788765758578,9.383,7.45853993721597,0.07430788765758578,1.186,1.459
HIP 26369,\N,84.22945424,-47.96338316,05 36 55.07,-47 57 48.2,41.23,15.54,24.2542,9.84,7.916066674006793,0.8608869748976673,9.702,7.778066674006793,0.8608869748976673,1.171,1.384
HIP 96395,185414,293.98172144,56.98438763,19 35 55.61,+56 59 03.8,41.24,0.49,24.2483,6.73,4.806593283057396,0.025801929089283693,6.802,4.878593283057395,0.025801929089283693,0.636,0.689
HIP 33537,51419,104.54883196,22.47564759,06 58 11.72,+22 28 32.3,41.25,0.88,24.2424,6.94,5.0171197644297205,0.04633177429133406,7.008,5.08511976442972,0.04633177429133406,0.62,0.703
HIP 101345,195564,308.097973,-9.85364143,20 32 23.51,-09 51 13.1,41.26,0.87,24.2365,5.66,3.7376461181856655,0.04579401489214874,5.74,3.8176461181856656,0.04579401489214874,0.689,0.787
HIP 55642,99028,170.98070334,10.52969772,11 23 55.37,+10 31 46.9,41.26,1.16,24.2365,4.0,2.0776461181856654,0.061065728900902005,4.008,2.0856461181856645,0.061065728900902005,0.423,0.447
HIP 72387,\N,222.00614567,38.46654972,14 48 01.47,+38 27 59.6,41.26,1.47,24.2365,9.73,7.807646118185666,0.07739738417701991,9.931,8.008646118185665,0.07739738417702036,1.308,1.614
HIP 104436,199509,317.33177202,-82.02714188,21 09 19.63,-82 01 37.7,41.28,0.58,24.2248,6.98,5.058698443095776,0.030512036943619147,7.047,5.125698443095776,0.030512036943619147,0.619,0.682
HIP 68030,121560,208.9590356,14.05648068,13 55 50.17,+14 03 23.3,41.28,0.79,24.2248,6.16,4.238698443095776,0.04156183812145686,6.226,4.304698443095776,0.04156183812145686,0.518,0.546
HIP 1276,\N,4.00847381,-48.26027238,00 16 02.03,-48 15 37.0,41.32,3.89,24.2014,11.58,9.660801564237914,0.2050366997996811,\N,\N,\N,1.647,\N
HIP 58803,104731,180.9138115,-42.43378714,12 03 39.31,-42 26 01.6,41.32,0.76,24.2014,5.15,3.2308015642379164,0.03994446205100832,5.205,3.285801564237916,0.03994446205100832,0.417,0.441
HIP 101983,196378,310.00944347,-60.54750937,20 40 02.27,-60 32 51.0,41.33,0.73,24.1955,5.11,3.1913270264085405,0.038358086932770874,5.179,3.2603270264085413,0.038358086932770874,0.544,0.579
HIP 114886,219538,349.07464283,30.66998899,23 16 17.91,+30 40 12.0,41.33,0.97,24.1955,8.07,6.151327026408541,0.050973024525423405,8.164,6.245327026408541,0.050973024525423405,0.871,1.046
HIP 99031,191026,301.59137234,35.97353894,20 06 21.93,+35 58 24.7,41.34,0.54,24.1896,5.38,3.461852361456348,0.028366274792311685,5.489,3.570852361456348,0.028366274792311685,0.85,0.993
HIP 118162,224465,359.52857069,50.44707965,23 58 06.86,+50 26 49.5,41.35,0.76,24.1838,6.72,4.802377569442829,0.039915475257449984,6.8,4.882377569442829,0.039915475257449984,0.694,0.761
HIP 31126,\N,97.9639012,-43.53397277,06 31 51.34,-43 32 02.3,41.35,2.16,24.1838,10.58,8.662377569442828,0.11353454953653497,\N,\N,\N,1.432,\N
HIP 63406,112914,194.88736041,41.98632389,12 59 32.97,+41 59 10.8,41.36,1.48,24.1779,8.6,6.682902650429431,0.07773578130049952,8.719,6.80190265042943,0.07773578130049952,0.94,1.114
HIP 60553,\N,186.19921837,-75.05261736,12 24 47.81,-75 03 09.4,41.37,17.45,24.1721,10.51,8.593427604477561,0.9769096121366925,10.622,8.70542760447756,0.9769096121366934,1.02,1.159
HIP 102333,197157,311.00911122,-51.92084051,20 44 02.19,-51 55 15.0,41.38,0.82,24.1663,4.51,2.59395243164858,0.04303626159098606,4.546,2.6299524316485794,0.04303626159098606,0.278,0.302
HIP 62512,111456,192.16390269,60.31989667,12 48 39.34,+60 19 11.6,41.39,3.2,24.1604,5.83,3.9144771320038,0.1682195349407234,5.891,3.9754771320037996,0.1682195349407234,0.467,0.511
HIP 45839,80632,140.18554873,-5.75369029,09 20 44.53,-05 45 13.3,41.4,1.38,24.1546,9.1,7.185001705604496,0.07240923983829095,9.258,7.343001705604495,0.07240923983829095,1.163,1.419
HIP 43797,76653,133.79898826,-54.96554657,08 55 11.76,-54 57 56.0,41.41,0.44,24.1488,5.7,3.785526152511891,0.023073745940341173,5.758,3.843526152511891,0.023073745940341173,0.481,0.522
HIP 74273,134060,227.68737266,-61.4222927,15 10 44.97,-61 25 20.3,41.41,0.77,24.1488,6.29,4.375526152511891,0.04038219031901136,6.365,4.450526152511892,0.04038219031901136,0.623,0.687
HIP 37606,62644,115.73817103,-45.17177284,07 42 57.16,-45 10 18.4,41.43,0.81,24.1371,5.04,3.126574666491469,0.042459976142419364,5.131,3.21757466649147,0.042459976142419364,0.765,0.864
HIP 6344,\N,20.37480789,80.15199391,01 21 29.95,+80 09 07.2,41.44,1.05,24.1313,9.67,7.757098733685884,0.05503219479881505,9.789,7.876098733685883,0.05503219479881505,1.292,1.518
HIP 4454,5351,14.26352093,69.04402238,00 57 03.25,+69 02 38.5,41.45,1.01,24.1255,9.12,7.207622674431462,0.052922107277540764,9.25,7.337622674431463,0.052922107277540764,1.025,1.267
HIP 54803,\N,168.29297305,0.23931283,11 13 10.31,+00 14 21.5,41.49,2.03,24.1022,10.29,8.379717174144865,0.10632951443487837,10.192,8.281717174144866,0.10632951443487837,1.424,1.529
HIP 60310,107576,185.49932382,-41.05897785,12 21 59.84,-41 03 32.3,41.49,1.23,24.1022,8.54,6.629717174144865,0.06439368366965992,8.675,6.764717174144867,0.06439368366965992,1.064,1.222
HIP 111932,\N,340.08783535,7.90175333,22 40 21.08,+07 54 06.3,41.53,20.0,24.079,11.76,9.851809655549392,1.1401072131613539,\N,\N,\N,1.433,\N
HIP 33373,\N,104.11679381,40.0753902,06 56 28.03,+40 04 31.4,41.53,1.41,24.079,9.08,7.171809655549391,0.0737527893796237,9.167,7.258809655549391,0.0737527893796237,1.117,1.321
HIP 84379,156164,258.75801735,24.83958739,17 15 01.92,+24 50 22.5,41.55,0.65,24.0674,3.12,1.2128551406006478,0.033972857385830224,3.136,1.2288551406006478,0.033972857385830224,0.08,0.106
HIP 35943,\N,111.1428492,-17.89210865,07 24 34.28,-17 53 31.6,41.56,1.7,24.0616,10.34,8.4333776944257,0.08887305184651062,10.512,8.6053776944257,0.08887305184651062,1.365,2.163
HIP 93072,\N,284.3857915,-19.04663555,18 57 32.59,-19 02 47.9,41.56,3.77,24.0616,10.67,8.7633776944257,0.1975220678541838,\N,\N,\N,1.437,\N
HIP 84607,156668,259.41890861,29.22670035,17 17 40.54,+29 13 36.1,41.58,1.04,24.05,8.43,6.524422424977252,0.05432425255298323,8.541,6.635422424977253,0.05432425255298323,1.015,1.193
HIP 49376,\N,151.21152357,-31.09047519,10 04 50.77,-31 05 25.7,41.59,3.13,24.0442,11.99,10.084944601824668,0.16373128743976473,\N,\N,\N,0.938,\N
HIP 109980,\N,334.12996055,68.33981857,22 16 31.19,+68 20 23.3,41.69,0.88,23.9866,9.23,7.330159475631488,0.04584263850966419,9.368,7.468159475631488,0.04584263850966419,1.17,1.418
HIP 72493,130042,222.34949776,-67.2351906,14 49 23.88,-67 14 06.7,41.69,1.24,23.9866,7.26,5.360159475631487,0.064605906327869,7.41,5.510159475631488,0.064605906327869,0.836,0.944
HIP 23786,32850,76.6751978,14.44681583,05 06 42.05,+14 26 48.5,41.7,1.14,23.9808,7.74,5.840680274868788,0.05937878958634624,7.819,5.919680274868789,0.05937878958634624,0.804,0.924
HIP 108028,208038,328.27231906,20.93076463,21 53 05.36,+20 55 50.8,41.71,0.98,23.9751,8.18,6.281200949229157,0.051029361794872496,8.281,6.382200949229158,0.051029361794872496,0.937,1.095
HIP 70849,\N,217.32751069,-46.46332289,14 29 18.60,-46 27 48.0,41.71,2.02,23.9751,10.36,8.461200949229156,0.1052459460942341,10.497,8.598200949229156,0.1052459460942341,1.427,1.495
HIP 4443,\N,14.21060461,-11.58825278,00 56 50.55,-11 35 17.7,41.73,2.29,23.9636,11.13,9.232241923558544,0.11928282987038852,\N,\N,\N,1.43,\N
HIP 65378,116656,200.98091604,54.92541525,13 23 55.42,+54 55 31.5,41.73,0.61,23.9636,2.23,0.3322419235585458,0.03174436924043533,2.227,0.32924192355854576,0.03174436924043533,0.057,0.063
HIP 102101,\N,310.3668975,57.42929757,20 41 28.06,+57 25 45.5,41.74,1.15,23.9578,10.27,8.372762223647177,0.05984248730447028,10.322,8.424762223647177,0.05984248730447028,1.36,1.429
HIP 3810,4676,12.2446238,16.9411337,00 48 58.71,+16 56 28.1,41.8,0.75,23.9234,5.07,3.175881408875177,0.03896600741286793,5.124,3.229881408875177,0.03896600741286793,0.502,0.56
HIP 86340,\N,264.64302793,71.33155313,17 38 34.33,+71 19 53.6,41.82,0.81,23.912,9.1,7.206920142408266,0.04206390839911878,9.252,7.358920142408267,0.04206390839911878,1.117,1.252
HIP 73005,132142,223.79999963,53.67918367,14 55 12.00,+53 40 45.1,41.83,0.63,23.9063,7.77,5.877439322903151,0.03270693449211315,7.829,5.936439322903152,0.03270693449211315,0.785,0.927
HIP 92858,175073,283.82791823,-37.49748357,18 55 18.70,-37 29 50.9,41.84,1.19,23.9006,7.98,6.08795837929609,0.06177699038117135,8.025,6.13295837929609,0.06177699038117135,0.857,0.982
HIP 91605,\N,280.22843563,31.53511253,18 40 54.82,+31 32 06.4,41.88,1.59,23.8777,8.54,6.650033365034024,0.08248093200614726,8.622,6.732033365034025,0.08248093200614726,0.865,1.087
HIP 26373,37572,84.23680224,-47.96468727,05 36 56.83,-47 57 52.9,41.9,1.74,23.8663,7.95,6.061070114831477,0.09022759444835282,8.019,6.130070114831478,0.09022759444835282,0.845,0.974
HIP 64048,\N,196.89648916,34.40167641,13 07 35.16,+34 24 06.0,41.9,1.52,23.8663,9.28,7.391070114831477,0.07880876127695213,9.431,7.542070114831477,0.07880876127695213,1.178,1.443
HIP 68337,122120,209.83127021,22.86971986,13 59 19.50,+22 52 11.0,41.97,1.17,23.8265,9.05,7.164694846057452,0.06054994419161508,9.161,7.27569484605745,0.06054994419161508,1.16,1.367
HIP 84223,\N,258.23289668,42.33261362,17 12 55.90,+42 19 57.4,41.97,4.53,23.8265,10.07,8.18469484605745,0.23529278205971593,10.198,8.31269484605745,0.23529278205971593,1.28,1.575
HIP 58688,\N,180.55520156,-38.00740883,12 02 13.25,-38 00 26.7,42.0,2.81,23.8095,10.52,8.636246451989503,0.14549920108735215,10.712,8.828246451989504,0.14549920108735215,1.419,1.291
HIP 12961,\N,41.67791744,-23.08695475,02 46 42.70,-23 05 13.0,42.01,1.58,23.8039,10.25,8.366763407689959,0.08170781921002401,10.509,8.62576340768996,0.08170781921002401,1.389,1.553
HIP 98066,188376,298.95927101,-26.29968718,19 55 50.23,-26 17 58.9,42.03,0.94,23.7925,4.7,2.8177969500271853,0.04857303105508004,\N,\N,\N,0.748,\N
HIP 105184,202628,319.61281475,-43.33470265,21 18 27.08,-43 20 04.9,42.04,0.9,23.7869,6.75,4.868313536781024,0.04649438185381172,6.831,4.949313536781023,0.04649438185381172,0.637,0.71
HIP 18115,\N,58.09537918,-22.88297082,03 52 22.89,-22 52 58.7,42.09,6.17,23.7586,11.44,9.560894628740115,0.32062747394375,\N,\N,\N,1.523,\N
HIP 49669,87901,152.09358075,11.96719513,10 08 22.46,+11 58 01.9,42.09,0.79,23.7586,1.36,-0.5191053712598865,0.04076181257078115,1.399,-0.48010537125988684,0.04076181257078115,-0.087,-0.039
HIP 107625,207144,326.99984672,-40.25522434,21 47 59.96,-40 15 18.8,42.12,1.06,23.7417,8.62,6.742441812567244,0.054659232409097314,8.73,6.852441812567245,0.054659232409097314,0.96,1.128
HIP 66781,119332,205.30592914,56.72700106,13 41 13.42,+56 43 37.2,42.12,0.76,23.7417,7.77,5.892441812567244,0.039185616497068754,7.87,5.992441812567244,0.039185616497068754,0.83,0.958
HIP 116491,\N,354.07660426,-48.58801079,23 36 18.39,-48 35 16.8,42.13,1.67,23.7361,10.09,8.21295729563424,0.08612058017328295,10.189,8.31195729563424,0.08612058017328295,1.37,1.822
HIP 61100,109011,187.82839037,55.11884464,12 31 18.81,+55 07 07.8,42.13,3.11,23.7361,8.08,6.20295729563424,0.16058832798729572,8.2,6.3229572956342395,0.16058832798729572,0.941,1.103
HIP 2081,2261,6.57028075,-42.30512197,00 26 16.87,-42 18 18.4,42.14,0.78,23.7304,2.4,0.5234726563604069,0.0401979580200682,2.519,0.6424726563604066,0.0401979580200682,1.083,1.283
HIP 28153,\N,89.23372483,-46.93278714,05 56 56.09,-46 55 58.0,42.17,1.77,23.7135,10.59,8.715018005074318,0.09119671868471624,10.817,8.942018005074319,0.09119671868471624,1.404,2.269
HIP 66840,119217,205.48243094,-0.12809907,13 41 55.78,-00 07 41.2,42.19,1.63,23.7023,9.76,7.886047626909405,0.08393606724851743,9.891,8.017047626909406,0.08393606724851743,1.288,1.412
HIP 85810,159222,263.00484063,34.27099419,17 32 01.16,+34 16 15.6,42.2,0.56,23.6967,6.52,4.646562254808369,0.02881743924560487,6.595,4.72156225480837,0.02881743924560487,0.639,0.722
HIP 90496,169916,276.99278955,-25.42124732,18 27 58.27,-25 25 16.5,42.2,0.9,23.6967,2.82,0.94656225480837,0.04631804626082614,2.945,1.07156225480837,0.04631804626082614,1.025,1.241
HIP 102766,198425,312.31809562,32.28543792,20 49 16.34,+32 17 07.6,42.23,0.98,23.6798,8.25,6.37810540712454,0.05040078356321542,8.372,6.50010540712454,0.05040078356321542,0.939,1.097
HIP 72622,130841,222.71990536,-16.04161047,14 50 52.78,-16 02 29.8,42.25,1.05,23.6686,2.75,0.8791335664285569,0.05397670080057715,2.77,0.8991335664285565,0.05397670080057715,0.147,0.187
HIP 72603,130819,222.67193219,-15.99709226,14 50 41.26,-15 59 49.5,42.26,1.04,23.663,5.15,3.2796474635814734,0.053449772275428575,5.19,3.3196474635814726,0.053449772275428575,0.401,0.427
HIP 70308,\N,215.77626176,-68.38207621,14 23 06.30,-68 22 55.5,42.29,1.47,23.6463,10.25,8.381188425734504,0.075510782363307,10.441,8.572188425734502,0.075510782363307,1.429,1.803
HIP 7372,9770,23.75398479,-29.91056753,01 35 00.96,-29 54 38.0,42.29,1.47,23.6463,7.11,5.241188425734502,0.075510782363307,7.24,5.371188425734503,0.075510782363307,0.909,1.06
HIP 5944,7590,19.12226076,42.93949385,01 16 29.34,+42 56 22.2,42.3,0.75,23.6407,6.59,4.721701836875212,0.03850531917386002,6.664,4.795701836875212,0.03850531917386002,0.594,0.639
HIP 42333,73350,129.46028541,-6.80699027,08 37 50.47,-06 48 25.2,42.32,1.04,23.6295,6.74,4.872728295135648,0.05337396227793878,6.813,4.945728295135648,0.05337396227793878,0.655,0.731
HIP 7576,10008,24.39735704,-6.76018613,01 37 35.37,-06 45 36.7,42.35,0.96,23.6128,7.66,5.794267073333629,0.04923189332270628,7.75,5.884267073333628,0.04923189332270628,0.797,0.911
HIP 8497,11171,27.39662961,-10.68618074,01 49 35.19,-10 41 10.3,42.35,0.87,23.6128,4.66,2.794267073333629,0.044615037075547814,4.698,2.832267073333629,0.044615037075547814,0.333,0.373
HIP 107143,206276,325.541596,-41.12422092,21 42 09.98,-41 07 27.2,42.4,3.35,23.5849,8.82,6.956829282963664,0.1719251504728696,8.961,7.097829282963664,0.1719251504728696,1.054,1.245
HIP 85582,\N,262.33418538,29.39261462,17 29 20.20,+29 23 33.4,42.4,3.76,23.5849,8.99,7.126829282963664,0.19307170601054757,9.167,7.3038292829636635,0.19307170601054757,1.143,1.371
HIP 116936,\N,355.54473674,-2.57623383,23 42 10.74,-02 34 34.4,42.42,2.07,23.5738,10.3,8.437853320902716,0.10604716672488923,10.579,8.716853320902716,0.10604716672488923,1.343,1.133
HIP 70873,127334,217.40284392,41.79644804,14 29 36.68,+41 47 47.2,42.43,0.59,23.5682,6.36,4.49836515883308,0.030196825480564904,6.438,4.576365158833081,0.030196825480564904,0.702,0.803
HIP 71743,128987,220.12989224,-16.20913162,14 40 31.17,-16 12 32.9,42.43,0.97,23.5682,7.24,5.3783651588330805,0.04965107938667179,7.312,5.45036515883308,0.04965107938667179,0.71,0.802
HIP 51248,90508,157.01587881,48.78704437,10 28 03.81,+48 47 13.4,42.45,0.77,23.5571,6.42,4.559388472899858,0.03939263063938636,6.504,4.643388472899858,0.03939263063938636,0.61,0.668
HIP 10529,\N,33.91876882,67.67781871,02 15 40.50,+67 40 40.1,42.46,2.51,23.5516,9.91,8.0498999491499,0.12851525979482936,\N,\N,\N,0.461,\N
HIP 112117,214953,340.65365518,-47.21000778,22 42 36.88,-47 12 36.0,42.47,0.72,23.546,5.99,4.130411304953398,0.036816810569694436,6.061,4.201411304953398,0.036816810569694436,0.584,0.619
HIP 46549,\N,142.39722361,-5.37276807,09 29 35.33,-05 22 22.0,42.47,1.53,23.546,9.74,7.880411304953398,0.07826209539925122,9.967,8.107411304953398,0.07826209539925078,1.305,1.512
HIP 2072,2262,6.55048418,-43.67990933,00 26 12.12,-43 40 47.7,42.51,0.69,23.5239,3.93,2.0724555248356147,0.035249295833147176,3.965,2.107455524835615,0.035249295833147176,0.175,0.199
HIP 105911,203985,321.75462752,-44.80901766,21 27 01.11,-44 48 32.5,42.52,1.29,23.5183,7.49,5.632966279256298,0.06589979594204198,7.579,5.721966279256298,0.06589979594204198,0.876,1.037
