HIP,HD,BD,CoD,CPD,B_minus_V,BT_minus_VT,MV,MVt,SpType
HIP 21765,\N,B-09  956,\N,\N,1.49,1.392,8.746532612159013,9.081532612159014,M0V...
HIP 4189,\N,\N,\N,\N,1.49,\N,10.06755767100227,\N,\N
HIP 84212,\N,\N,\N,\N,1.49,\N,9.97279813881638,\N,K
HIP 738,\N,\N,C-27    16,\N,1.493,\N,9.8882333147921,\N,\N
HIP 36635,\N,\N,\N,\N,1.494,1.348,8.876202519158715,8.971202519158716,M0
HIP 106811,\N,B+27 4120,\N,\N,1.495,1.693,9.236067081275095,9.489067081275097,\N
HIP 108752,\N,\N,\N,\N,1.498,\N,9.574512249433276,\N,M2
HIP 36853,\N,\N,\N,\N,1.498,\N,9.502515219100449,\N,\N
HIP 67795,\N,\N,\N,\N,1.5,\N,10.68892617766826,\N,\N
HIP 89490,348274,\N,\N,\N,1.5,\N,9.01238635080366,\N,M2
HIP 15844,\N,\N,\N,\N,1.51,\N,8.898176187919482,\N,M0...
HIP 48509,\N,\N,\N,\N,1.51,\N,10.016685664962443,\N,\N
HIP 82926,\N,\N,C-38 11343,\N,1.51,\N,10.365099742704542,\N,M3Ve+...
HIP 19948,\N,\N,\N,\N,1.512,\N,9.27279813881638,\N,\N
HIP 106972,\N,\N,\N,\N,1.515,\N,9.618323893942089,\N,M3:
HIP 97292,331161,B+31 3767,\N,\N,1.517,1.681,9.112409088497332,9.642409088497331,M1+...
HIP 73182,131976,B-20 4123,\N,\N,1.519,\N,8.639519842039618,\N,K5V
HIP 2552,\N,B+66   34,\N,\N,1.52,\N,10.24246561441756,\N,M2.5Ve
HIP 18115,\N,\N,\N,\N,1.523,\N,9.560894628740115,\N,\N
HIP 52190,\N,\N,\N,\N,1.529,\N,10.19464548230288,\N,\N
HIP 1322,\N,\N,\N,\N,1.53,\N,10.637359260995211,\N,M4
HIP 17750,\N,\N,\N,\N,1.53,1.369,8.209471870127498,9.226471870127497,M2...
HIP 34104,\N,\N,\N,\N,1.535,\N,10.013230081165595,\N,M5
HIP 65714,\N,\N,\N,\N,1.539,\N,10.474638566135392,\N,M4+...
HIP 15439,\N,\N,C-36  1252,\N,1.54,\N,10.282544038282609,\N,\N
HIP 66077,\N,\N,\N,\N,1.54,\N,10.686476967633478,\N,M4Ve
HIP 94349,\N,\N,\N,\N,1.542,\N,11.058503474101752,\N,M4
HIP 46706,\N,B-12 2918,\N,\N,1.545,1.929,9.947474845365184,10.208474845365183,M2
HIP 104137,\N,\N,\N,\N,1.548,\N,10.328926064934102,\N,\N
HIP 102141,196982,\N,C-32 16135,\N,1.55,\N,10.221694273938008,\N,Mpe
HIP 82817,152751,B-08 4352,\N,\N,1.553,1.777,10.22561468311425,10.41061468311425,M3Ve
HIP 73252,\N,B+60 1577,\N,\N,1.565,1.449,8.207583918250052,8.268583918250052,M0p
HIP 77349,\N,\N,\N,\N,1.565,\N,10.306321776380535,\N,K:...
HIP 49969,\N,\N,\N,\N,1.566,\N,10.188582266171723,\N,M0
HIP 41554,\N,\N,\N,\N,1.568,1.914,9.303378963632683,9.355378963632685,M0V
HIP 5496,\N,\N,C-68    47,P-68    41,1.568,1.854,10.247052554917722,10.434052554917724,K
HIP 107711,\N,\N,\N,\N,1.57,\N,10.878448328427575,\N,M6
HIP 110526,\N,\N,\N,\N,1.57,\N,9.668253588535864,\N,M0...
HIP 64113,\N,\N,\N,\N,1.575,\N,9.79199423057782,\N,M0
HIP 22738,\N,\N,C-56  1032,\N,1.58,\N,10.488387186716505,\N,M2Ve
HIP 4927,\N,\N,\N,\N,1.59,\N,10.294821297178665,\N,M
HIP 86346,160934,\N,\N,\N,1.591,1.549,8.340638065379977,8.370638065379978,M...
HIP 111766,\N,\N,\N,\N,1.593,\N,10.644587808083427,\N,\N
HIP 100356,\N,\N,\N,\N,1.594,1.493,8.405937799678771,8.75093779967877,M0
HIP 53947,\N,\N,\N,\N,1.6,\N,10.146828108279646,\N,\N
HIP 84123,\N,\N,\N,\N,1.6,\N,11.28258588223396,\N,G
HIP 110893,239960,B+56 2783,\N,\N,1.613,1.698,11.575526808745437,11.956526808745437,M2V
HIP 62556,\N,\N,\N,\N,1.626,\N,10.899230268224484,\N,M4
HIP 54658,\N,\N,\N,\N,1.632,\N,9.774628073194997,\N,M4
HIP 33499,\N,\N,C-44  3045,P-44  1190,1.636,\N,11.287938734593714,\N,M4+...
HIP 63882,\N,\N,\N,\N,1.637,\N,9.91641318999106,\N,M4
HIP 1276,\N,\N,C-48    33,\N,1.647,\N,9.660801564237914,\N,M5
HIP 113201,\N,\N,\N,\N,1.653,\N,9.63405573459482,\N,M4
HIP 30920,\N,\N,\N,\N,1.69,\N,13.047048174391662,\N,M4.5Ve
HIP 106255,\N,\N,\N,\N,1.703,\N,12.441420891224322,\N,M4e...
HIP 82724,\N,\N,\N,\N,1.729,\N,12.04845830824513,\N,Mp
HIP 103544,\N,\N,\N,\N,1.741,1.432,9.36721884506586,9.27421884506586,M2
HIP 1242,\N,\N,\N,\N,1.75,1.249,12.904922200669771,13.231922200669775,M:
HIP 50798,\N,\N,\N,\N,3.5,\N,11.449893954972916,\N,\N
