HIP,HD,designation,Vmag,RAdeg,DEdeg,RAhms,DEdms,Plx,e_Plx,distance_Plx,pmRA,pmDE,BTmag,VTmag,MV,MV_error,MVt,MVt_error,B_minus_V,BT_minus_VT
HIP 101574,\N,\N,12.14,308.78125264,-51.1477873,20 35 07.50,-51 08 52.0,43.51,8.83,22.9832,98.02,-27.34,\N,\N,10.332945416463586,0.44688657374922336,\N,\N,1.44,\N
HIP 55031,\N,\N,12.3,168.98525455,-48.69069347,11 15 56.46,-48 41 26.5,43.57,35.81,22.9516,-69.26,-29.45,\N,\N,10.49593779967877,2.5246234332823905,\N,\N,\N,\N
HIP 104137,\N,\N,12.13,316.48462631,4.42842441,21 05 56.31,+04 25 42.3,43.63,4.58,22.92,135.46,-169.87,\N,\N,10.328926064934102,0.22879023317421954,\N,\N,1.548,\N
HIP 3143,\N,\N,11.41,9.99346024,-44.25267874,00 39 58.43,-44 15 09.6,43.64,2.59,22.9148,482.8,-222.01,\N,\N,9.609423709581522,0.12902682995655557,\N,\N,1.476,\N
HIP 56284,\N,\N,11.45,173.07873348,-16.96813919,11 32 18.90,-16 58 05.3,43.66,2.55,22.9043,169.71,-234.0,\N,\N,9.650418656865602,0.12697122934588823,\N,\N,1.474,\N
HIP 109670,\N,\N,11.48,333.24839767,-47.38618788,22 12 59.62,-47 23 10.3,44.2,16.43,22.6244,117.12,-87.9,\N,\N,9.70711134674546,0.8477792212117716,\N,\N,0.66,\N
HIP 56936,\N,\N,12.2,175.08296376,67.26666675,11 40 19.91,+67 16 00.0,44.28,2.83,22.5836,262.62,-3157.21,\N,\N,10.431038061033426,0.1389714233798527,\N,\N,1.447,\N
HIP 59750,106516,\N,6.11,183.79391146,-10.30993958,12 15 10.54,-10 18 35.8,44.34,1.01,22.553,31.97,-1012.44,\N,\N,4.343978443892347,0.049471505904347346,\N,\N,0.47,\N
HIP 9749,\N,\N,10.88,31.34762968,-28.07075687,02 05 23.43,-28 04 14.7,44.37,1.97,22.5378,340.02,422.12,\N,\N,9.115447143582776,0.09647543215306076,\N,\N,1.4,\N
HIP 72981,\N,\N,11.28,223.72362192,9.94445916,14 54 53.67,+09 56 40.1,44.46,2.6,22.4921,-317.19,-398.95,\N,\N,9.51984729181486,0.12713174709333686,\N,\N,1.377,\N
HIP 27111,247168,\N,11.35,86.23652511,9.24379111,05 44 56.77,+09 14 37.6,44.67,14.98,22.3864,38.91,-703.76,\N,\N,9.600079762359195,0.7575006260257906,\N,\N,0.699,\N
HIP 1322,\N,\N,12.38,4.15113229,-50.26967557,00 16 36.27,-50 16 10.8,44.82,3.44,22.3115,330.89,273.61,\N,\N,10.637359260995211,0.1669920781076275,\N,\N,1.53,\N
HIP 109537,\N,\N,11.11,332.82130935,41.01466674,22 11 17.11,+41 00 52.8,44.84,3.24,22.3015,-207.31,231.37,\N,\N,9.368328019614678,0.15717782091985022,\N,\N,1.46,\N
