HIP,HD,BD,CoD,CPD,B_minus_V,BT_minus_VT,MV,MVt,SpType
HIP 60553,\N,\N,\N,P-74   912,1.02,1.159,8.593427604477561,8.70542760447756,\N
HIP 4454,5351,B+68   60,\N,\N,1.025,1.267,7.207622674431462,7.337622674431463,K4V
HIP 30756,257498,B+20 1426,\N,\N,1.029,1.202,7.312247287233992,7.142247287233992,G0
HIP 10925,14629,\N,C-39   684,P-39   190,1.031,1.213,6.641962751877134,6.7619627518771335,K3/K4V
HIP 10542,14001,B-18  394,\N,\N,1.033,1.203,6.204131512805023,6.5521315128050235,K3V
HIP 83363,153284,\N,\N,P-61  5825,1.035,1.245,6.713067545800491,6.822067545800491,K3V
HIP 112915,216448,B+56 2890,\N,\N,1.043,1.22,6.082904334987431,6.296904334987431,K5III
HIP 111983,214731,\N,C-46 14401,P-46 10430,1.044,1.241,7.339921240207945,7.455921240207944,K5V
HIP 8275,10853,B+11  231,\N,\N,1.044,1.193,7.095947110743811,7.2479471107438105,K5
HIP 11852,16348,\N,C-73   110,P-73   178,1.045,1.208,7.072508750158061,7.191508750158061,K4V
HIP 51271,90884,\N,C-51  4784,P-51  3323,1.045,1.242,6.972376830451978,7.079376830451977,K4V
HIP 36927,61214,\N,C-52  2043,P-52  1230,1.049,1.214,6.771763549346419,6.91776354934642,K3IV-V
HIP 106231,\N,B+22 4409,\N,\N,1.05,1.22,7.235408638920116,7.356408638920117,K8
HIP 114859,\N,\N,\N,\N,1.05,1.829,8.236172535171473,8.458172535171473,M
HIP 98316,188559,\N,C-55  8349,P-55  9267,1.05,1.24,6.752817185521938,6.863817185521938,K3V
HIP 103256,\N,B+12 4499,\N,\N,1.054,1.209,7.039236551498572,7.170236551498572,K3V
HIP 107143,206276,\N,C-41 14616,P-41  9682,1.054,1.245,6.956829282963664,7.097829282963664,K5V
HIP 93871,178126,B+07 3967,\N,\N,1.056,1.241,7.303958959782088,7.416958959782088,K5V
HIP 98106,187456,\N,C-72  1570,P-72  2467,1.058,1.223,6.556203901177546,6.670203901177545,K5V
