HIP,HD,BD,CoD,CPD,B_minus_V,BT_minus_VT,MV,MVt,SpType
HIP 17147,22879,B-03  592,\N,\N,0.554,0.581,4.747623514268263,4.816623514268263,F9V
HIP 3170,3823,\N,C-60   118,P-60    46,0.564,0.611,3.859751476319939,3.9297514763199395,G1V
HIP 111170,213429,B-07 5797,\N,\N,0.565,0.614,4.115322158293589,4.185322158293589,F7V
HIP 56809,101177,B+45 1947,\N,\N,0.566,0.694,4.4543102005011495,4.4863102005011495,G0V
HIP 2762,3196,B-04   62,\N,\N,0.567,\N,3.583925152096027,\N,F8V...
HIP 56242,100180,B+15 2345,\N,\N,0.57,0.637,4.458449095592007,4.516449095592007,G0V
HIP 24786,34721,B-18 1051,\N,\N,0.572,0.628,3.9762633099082354,4.039263309908234,G0V
HIP 75312,137107,B+30 2653,\N,\N,0.577,0.624,3.639871428497779,3.7318714284977794,G2V
HIP 76233,138763,B-05 4100,\N,\N,0.577,0.632,4.518323893942085,4.583323893942087,F7V
HIP 27075,38382,B-20 1171,\N,\N,0.58,0.629,4.303658831969812,4.370658831969812,F8/G0V
HIP 67927,121370,B+19 2725,\N,\N,0.58,0.67,2.4066042039613755,2.474604203961376,G0IV
HIP 12623,16739,B+39  610,\N,\N,0.582,0.641,2.9483471834412143,3.000347183441214,F9V
HIP 112117,214953,\N,C-47 14307,P-47  9895,0.584,0.619,4.130411304953398,4.201411304953398,G0
HIP 89805,167425,\N,C-63  1343,P-63  4370,0.584,0.637,4.369423709581522,4.442423709581522,F9V
HIP 15131,20407,\N,C-46   968,P-46   298,0.586,0.646,4.816565807277298,4.882565807277299,G3V
HIP 60994,108799,B-12 3647,\N,\N,0.591,0.631,4.381927950525525,4.4709279505255255,G1/G2V
HIP 5944,7590,B+42  271,\N,\N,0.594,0.639,4.721701836875212,4.795701836875212,G0
HIP 93017,176051,B+32 3267,\N,\N,0.594,0.648,4.322581640036045,4.416581640036046,G0V
HIP 98416,189340,B-10 5238,\N,\N,0.598,0.654,3.920638065379977,3.978638065379979,F8V
HIP 110712,212168,\N,\N,P-75  1748,0.599,0.664,4.306948250646059,4.367948250646059,G3IV
HIP 79607,146361,B+34 2750,\N,\N,0.599,0.655,3.5489756110970383,3.5539756110970373,F8V
HIP 38382,64096,B-13 2267,\N,\N,0.6,0.679,4.050032307117542,4.122032307117541,G2V
HIP 39710,67458,\N,C-29  5555,P-29  2316,0.6,0.662,4.759772775233678,4.822772775233677,G2V
HIP 11072,14802,\N,C-24  1038,P-24   276,0.608,0.678,3.4848242133221747,3.559824213322176,G2V
HIP 51248,90508,B+49 1961,\N,\N,0.61,0.668,4.559388472899858,4.643388472899858,G1V
HIP 30314,45270,\N,\N,P-60   604,0.614,0.662,4.67500809643496,4.737008096434961,G1V
HIP 110778,212697,B-17 6520,\N,\N,0.618,0.683,4.036146713798589,4.073146713798588,G3V
HIP 113829,217813,B+20 5264,\N,\N,0.62,0.684,4.723958959782088,4.798958959782087,G5V
HIP 106913,205905,\N,C-27 15550,P-27  7300,0.623,0.703,4.712549239503401,4.769549239503402,G2V
HIP 74273,134060,\N,C-60  5490,P-60  5656,0.623,0.687,4.375526152511891,4.450526152511892,G3IV
HIP 19233,26491,\N,C-64   143,P-64   305,0.636,0.697,4.543393760893412,4.624393760893414,G3V
HIP 96395,185414,B+56 2272,\N,\N,0.636,0.689,4.806593283057396,4.878593283057395,G0
HIP 60370,107692,\N,C-38  7689,P-38  5078,0.639,0.721,4.656436325292496,4.733436325292496,G3IV/V
HIP 85810,159222,B+34 2989,\N,\N,0.639,0.722,4.646562254808369,4.72156225480837,G5V
HIP 89474,168009,B+45 2684,\N,\N,0.641,0.711,4.521207929218644,4.594207929218642,G2V
HIP 39780,67228,B+22 1862,\N,\N,0.642,0.71,3.460260833529051,3.5282608335290506,G2IV
HIP 73695,133640,B+48 2259,\N,\N,0.647,0.713,4.301303322234941,4.38930332223494,G2V + G2V
HIP 81693,150680,B+31 2884,\N,\N,0.65,0.728,2.643758320256889,2.7527583202568895,F9IV
HIP 12186,16417,\N,C-35   903,P-35   236,0.653,0.73,3.744213415655501,3.8192134156555015,G1V
HIP 94336,179957,B+49 2959,\N,\N,0.666,0.725,3.868968520684816,4.587968520684817,G4V+...
HIP 1499,1461,B-08   38,\N,\N,0.674,0.764,4.6206132142965615,4.691613214296561,G0V
HIP 94981,181655,B+37 3417,\N,\N,0.676,0.779,4.2806682290661895,4.348668229066191,G8V
HIP 518,123,B+57 2865,\N,\N,0.687,0.736,4.44423459638615,4.73023459638615,G5V
HIP 101345,195564,B-10 5423,\N,\N,0.689,0.787,3.7376461181856655,3.8176461181856656,G3V
HIP 118162,224465,B+49 4291,\N,\N,0.694,0.761,4.802377569442829,4.882377569442829,G5
HIP 70873,127334,B+42 2508,\N,\N,0.702,0.803,4.49836515883308,4.576365158833081,G5V
HIP 73241,131923,\N,C-48  9494,P-48  6957,0.708,0.782,4.392768526585473,4.477768526585474,G5V
HIP 71683,128620,\N,\N,P-60  5483,0.71,\N,4.342370679522524,\N,G2V
HIP 2941,3443,\N,C-25   225,P-25    64,0.715,0.812,4.6137548617479744,4.720754861747974,K1V+...
HIP 85667,158614,B-00 3300,\N,\N,0.715,0.815,4.229517896363675,4.331517896363676,G8IV-V
HIP 98066,188376,\N,C-26 14637,P-26  6880,0.748,\N,2.8177969500271853,\N,G3/G5III
HIP 79492,145958,B+13 3091,\N,\N,0.764,0.863,4.746565807277298,5.464565807277298,G8V
HIP 37606,62644,\N,C-44  3675,P-44  1829,0.765,0.864,3.126574666491469,3.21757466649147,G5IV
HIP 115126,219834,B-14 6448,\N,\N,0.787,\N,3.616136030207175,\N,G6/G8IV
HIP 24608,34029,B+45 1077,\N,\N,0.795,\N,-0.479383463510457,\N,M1: comp
HIP 99031,191026,B+35 3959,\N,\N,0.85,0.993,3.461852361456348,3.570852361456348,K0IV
HIP 37826,62509,B+28 1463,\N,\N,0.991,1.13,1.0880304152621827,1.2530304152621827,K0IIIvar
HIP 107089,205478,\N,\N,P-77  1510,1.008,1.175,2.1006299137135427,2.218629913713543,K0III
HIP 68933,123139,\N,C-35  9260,P-35  6109,1.011,1.194,0.7025805237988338,0.8325805237988346,K0IIIb
HIP 102488,197989,B+33 4018,\N,\N,1.021,1.215,0.7585727480935507,0.8785727480935499,K0III
HIP 90496,169916,\N,C-25 13149,P-25  6523,1.025,1.241,0.94656225480837,1.07156225480837,K1IIIb
HIP 2081,2261,\N,C-42   116,P-42    34,1.083,1.283,0.5234726563604069,0.6424726563604066,K0III...
HIP 82396,151680,\N,C-34 11285,P-34  6635,1.144,\N,0.7783258132383732,\N,K2IIIb
HIP 9884,12929,B+22  306,\N,\N,1.151,1.372,0.482148454785416,0.6241484547854164,K2III
HIP 86742,161096,B+04 3489,\N,\N,1.168,1.405,0.7583238939420855,0.8973238939420858,K2III
HIP 69673,124897,B+19 2777,\N,\N,1.239,1.343,-0.3067128392933975,0.029287160706601867,K2IIIp
HIP 21421,29139,B+16  629,\N,\N,1.538,1.777,-0.6312448415524274,-0.3412448415524274,K5III
