HIP, DR3, DR2, DR1, Plx, e_Plx, parallax, parallas_error, distance_parallax
81348,"Gaia DR3 1312589288953960320","Gaia DR2 1312589288953960320","Gaia DR1 1312589353377089152",39.04,1.29,37.3976,0.0125000002,26.7397
23786,"Gaia DR3 3392089755051027712","Gaia DR2 3392089755051027712",\N,41.7,1.14,37.437,0.226699993,26.7115
39494,"Gaia DR3 922950955371956608","Gaia DR2 922950955371956608",\N,39.46,1.58,37.46,0.0155999996,26.6951
37798,"Gaia DR3 3088637946087230336","Gaia DR2 3088637946087230336","Gaia DR1 3088637941786910720",40.58,2.18,37.5204,0.0203000009,26.6522
49376,"Gaia DR3 5460446292845923328","Gaia DR2 5460446292845923328",\N,41.59,3.13,37.634,0.3034999967,26.5717
15797,"Gaia DR3 241393040535105280","Gaia DR2 241393040535105280","Gaia DR1 241393036234346880",39.1,1.24,37.6588,0.0197000001,26.5542
83363,"Gaia DR3 5914366302446170240","Gaia DR2 5914366302446170240","Gaia DR1 5914366298148226944",39.32,1.33,37.683,0.2917999923,26.5372
11650,"Gaia DR3 2516322146457318144","Gaia DR2 2516322146457318144",\N,41.15,4.96,37.711,0.0507999994,26.5175
66578,"Gaia DR3 1686708050268594944","Gaia DR2 1686708050268594944",\N,40.33,2.89,37.7291,0.0286999997,26.5047
74261,"Gaia DR3 6003743571137684736","Gaia DR2 6003743571137684736",\N,39.99,2.41,37.7545,0.0172000006,26.4869
9716,"Gaia DR3 5147846340974080000","Gaia DR2 5147846340973892352","Gaia DR1 5147846336678206208",39.16,1.11,37.7907,0.0313000008,26.4615
27080,"Gaia DR3 4657193606465368704","Gaia DR2 4657193606465368704","Gaia DR1 4657193602117007616",39.08,0.75,37.8235,0.0206000004,26.4386
94650,"Gaia DR3 4312905248400130688","Gaia DR2 4312905248400130688","Gaia DR1 4312905244091729408",39.43,1.01,37.8714,0.0226000007,26.4052
106913,"Gaia DR3 6810896745007524736","Gaia DR2 6810896745007524736","Gaia DR1 6810896809432796800",39.13,0.83,37.8872,0.0230999999,26.3941
400,"Gaia DR3 2848150288954631296","Gaia DR2 2848150288954631296","Gaia DR1 2848150284659254656",39.06,0.93,37.9297,0.0258000009,26.3646
61099,"Gaia DR3 3949377704625720192","Gaia DR2 3949377704625720192","Gaia DR1 3949377700330586624",39.62,0.95,37.964,0.0320999995,26.3407
42418,"Gaia DR3 595390807776621824","Gaia DR2 595390807776621824","Gaia DR1 595390803480684928",39.28,1.21,37.9713,0.2187999934,26.3357
54155,"Gaia DR3 3789271459953459328","Gaia DR2 3789271459953459328","Gaia DR1 3789271455657632000",40.57,1.4,38.014,0.0221999995,26.3061
61329,"Gaia DR3 3526876102361317760","Gaia DR2 3526876102361317760",\N,39.11,1.17,38.0521,0.0198999997,26.2798
92858,"Gaia DR3 6730759011817912320","Gaia DR2 6730759011817912320",\N,41.84,1.19,38.0653,0.3122000098,26.2706
88771,"Gaia DR3 4482432246132106496","Gaia DR2 4482432246130215296",\N,39.4,0.83,38.1263,0.2390999943,26.2286
62512,"Gaia DR3 1579858609793019264","Gaia DR2 1579858609793019264",\N,41.39,3.2,38.1905,0.2903999984,26.1845
522,"Gaia DR3 4976894960284258048","Gaia DR2 4976894960284258048",\N,39,0.64,38.1945,0.0355000012,26.1818
84487,"Gaia DR3 4141979774942939264","Gaia DR2 4141979774942939264","Gaia DR1 4141979770642515200",40.17,1.85,38.2028,0.0176999997,26.1761
27075,"Gaia DR3 2966790170574625408","Gaia DR2 2966790170574625408","Gaia DR1 2966790166276461184",39.15,0.74,38.2253,0.0189999994,26.1607
93747,"Gaia DR3 4314399312979641728","Gaia DR2 4314399312929014656",\N,39.18,0.72,38.2329,0.3492000103,26.1555
64113,"Gaia DR3 3937082209690529408","Gaia DR2 3937082209689968896",\N,39.12,4.13,38.241,0.6800000072,26.1499
110774,"Gaia DR3 2205488624442109824","Gaia DR2 2205488624442109824","Gaia DR1 2205488624442109824",39.97,1.28,38.3129,0.0115999999,26.1009
51254,"Gaia DR3 3862361392330264320","Gaia DR2 3862361392330264320","Gaia DR1 3862361388034819328",39.75,1.54,38.324,0.0270000007,26.0933
17147,"Gaia DR3 3250489115709122560","Gaia DR2 3250489115708824064","Gaia DR1 3250489111412220544",41.07,0.86,38.3253,0.0307999998,26.0924
10339,"Gaia DR3 333053037107550080","Gaia DR2 333053037107550080","Gaia DR1 333053032809971456",39.1,0.91,38.3338,0.0285,26.0866
90864,"Gaia DR3 4508601275714721152","Gaia DR2 4508601275714721152","Gaia DR1 4508601271414326656",39.73,0.9,38.3448,0.0177999996,26.0792
6405,"Gaia DR3 2786115533677290240","Gaia DR2 2786115533677290240","Gaia DR1 2786115529382382080",39.07,0.8,38.3495,0.0211999994,26.076
9749,"Gaia DR3 5021412261945549568","Gaia DR2 5021412261945549568","Gaia DR1 5021412257649943040",44.37,1.97,38.3545,0.0165999997,26.0726
