80459,"Gaia DR3 1428427236986209024",151.93,1.11,154.3503,0.0161,6.4746
82809,"Gaia DR3 4339465360510320128",153.96,4.04,153.8754,0.0474,6.501
114622,"Gaia DR3 2009481748875806976",153.24,0.65,152.864,0.0494,\N
53767,"Gaia DR3 3988987164339438208",150.96,1.59,148.1986,0.0253,6.7458
106106,"Gaia DR3 1784473016438653056",148.29,1.85,147.4958,0.0257,\N
113296,"Gaia DR3 2828928008202069376",145.27,1.22,145.6234,0.0255,6.8717
53020,"Gaia DR3 3864615459886222464",177.46,23,143.5391,0.0286,6.9687
51317,"Gaia DR3 3855208897392952192",138.29,2.13,142.0951,0.0212,7.0329
103096,"Gaia DR3 2195886971653527168",141.95,0.77,142.0543,0.016,7.0383
3765,"Gaia DR3 2552925644460225152",134.04,0.86,134.4948,0.0578,7.4303
2021,"Gaia DR3 4683897617110115200",133.78,0.51,133.7194,0.272,\N
113283,"Gaia DR3 6604147121141267712",130.94,0.92,131.5525,0.0275,7.6016
65859,"Gaia DR3 3738099879558957952",131.12,1.29,131.1013,0.027,7.6238
7981,"Gaia DR3 96331172942614528",133.91,0.91,130.8234,0.1532,7.6485
12781,"Gaia DR3 114207651462714880",132.42,2.48,130.1956,0.0281,7.6778
49986,"Gaia DR3 3828238392559860992",127.99,1.53,129.7544,0.0252,7.7076
85295,"Gaia DR3 4375233191015944192",129.54,0.95,129.6459,0.0175,\N
88574,"Gaia DR3 4177731838628465408",128.28,1.44,129.2184,0.0256,7.7298
22449,"Gaia DR3 3288921720025503360",124.6,0.95,124.6198,0.2246,8.016
61874,"Gaia DR3 6133474952391837824",130.52,3.87,124.1851,0.0295,8.0494
62452,"Gaia DR3 3735000631158990976",121.78,2.9,123.7756,0.0329,8.0817
101180,"Gaia DR3 2246206567973292160",125.62,1.11,123.6547,0.0148,8.0768
86287,"Gaia DR3 4550763526539955712",123.02,1.62,122.5546,0.0176,8.1485
113576,"Gaia DR3 2396530698208685312",122.8,0.94,121.4724,0.0249,8.2322
4856,"Gaia DR3 533621859441169920",122.77,1.23,121.4598,0.0158,8.2276
61317,"Gaia DR3 1534011998572555776",119.46,0.83,118.0266,0.153,8.3934
80018,"Gaia DR3 6021430250773348736",118.03,2.28,117.4716,0.0291,8.5053
64924,"Gaia DR3 3507879565090229888",117.3,0.71,117.1726,0.1456,\N
113229,"Gaia DR3 6378584028690858496",116.02,1.33,116.3134,0.0168,8.5921
