HIP, HD, BD, CoD, CPD, B-V, BT-VT, MV, MVt, SpType
92444,\N,\N,"C-27 13268",\N,1.459,1.75,8.462267411817736,8.737267411817736,"Kp"
112388,\N,\N,\N,\N,1.459,\N,10.124497822103034,\N,"M1V:"
687,\N,\N,\N,\N,1.46,1.792,9.026728178730886,9.235728178730886,"M0"
3362,\N,"B+34  106",\N,\N,1.46,1.849,8.487796950027185,8.668796950027186,"M1Ve+..."
52341,\N,\N,"C-35  6662","P-35  4329",1.46,1.507,9.123047363243298,9.248047363243298,"K7V"
85647,\N,\N,"C-51 10924","P-51 10396",1.46,1.706,8.541257859516321,8.663257859516321,"M0"
109537,\N,\N,\N,\N,1.46,\N,9.368328019614678,\N,"M2"
51928,\N,\N,"C-27  7563",\N,1.464,\N,9.96628141462571,\N,\N
52296,\N,\N,"C-36  6589","P-36  4512",1.464,1.758,8.907302372592078,9.092302372592076,"M0V"
117966,\N,"B-06 6318",\N,\N,1.465,\N,9.95601650185386,\N,\N
65016,\N,\N,\N,\N,1.469,1.637,9.41909438687413,9.64609438687413,"M2"
65026,"115953","B+48 2108",\N,\N,1.469,1.746,8.400610414305552,8.682610414305552,"K0"
4328,\N,\N,\N,\N,1.47,\N,10.366281414625709,\N,"M"
65011,\N,"B+35 2436",\N,\N,1.47,1.765,8.882924780324899,9.096924780324901,"M0"
81018,\N,\N,\N,\N,1.47,\N,11.059495141921918,\N,"K:"
85126,\N,\N,\N,\N,1.47,\N,9.781944650251559,\N,"M"
102409,"197481",\N,"C-31 17815","P-31  6335",1.47,1.766,8.822774040742413,8.947774040742413,"M1Ve"
5215,\N,\N,\N,\N,1.473,\N,9.727612981267088,\N,"M3"
14669,\N,\N,\N,\N,1.473,1.508,9.16888010801452,9.31688010801452,"M2"
25878,"36395","B-03 1123",\N,\N,1.474,1.7,9.194105972966415,9.368105972966415,"M1V"
56284,\N,\N,\N,\N,1.474,\N,9.650418656865602,\N,\N
80817,\N,\N,\N,\N,1.474,\N,10.55288645698057,\N,\N
117697,\N,\N,\N,\N,1.474,\N,9.667481109127873,\N,\N
