HIP,designation_DR3,designation_DR2,designation_DR1,hipparcos_parallax,hipparcos_parallax_error,simbad_parallax,simbad_parallax_error
HIP 84487,Gaia DR3 4141979774942939264,Gaia DR2 4141979774942939264,Gaia DR1 4141979770642515200,40.17,1.85,38.2028,0.0177
HIP 27075,Gaia DR3 2966790170574625408,Gaia DR2 2966790170574625408,Gaia DR1 2966790166276461184,39.15,0.74,38.2253,0.019
HIP 93747,Gaia DR3 4314399312979641728,Gaia DR2 4314399312929014656,\N,39.18,0.72,38.2329,0.3492
HIP 64113,Gaia DR3 3937082209690529408,Gaia DR2 3937082209689968896,\N,39.12,4.13,38.241,0.68
HIP 110774,Gaia DR3 2205488624442109824,Gaia DR2 2205488624442109824,Gaia DR1 2205488624442109824,39.97,1.28,38.3129,0.0116
HIP 51254,Gaia DR3 3862361392330264320,Gaia DR2 3862361392330264320,Gaia DR1 3862361388034819328,39.75,1.54,38.324,0.027
HIP 17147,Gaia DR3 3250489115709122560,Gaia DR2 3250489115708824064,Gaia DR1 3250489111412220544,41.07,0.86,38.3253,0.0308
HIP 10339,Gaia DR3 333053037107550080,Gaia DR2 333053037107550080,Gaia DR1 333053032809971456,39.1,0.91,38.3338,0.0285
HIP 90864,Gaia DR3 4508601275714721152,Gaia DR2 4508601275714721152,Gaia DR1 4508601271414326656,39.73,0.9,38.3448,0.0178
HIP 6405,Gaia DR3 2786115533677290240,Gaia DR2 2786115533677290240,Gaia DR1 2786115529382382080,39.07,0.8,38.3495,0.0212
HIP 9749,Gaia DR3 5021412261945549568,Gaia DR2 5021412261945549568,Gaia DR1 5021412257649943040,44.37,1.97,38.3545,0.0166
HIP 97051,Gaia DR3 4302670684951953280,Gaia DR2 4302670684951953280,Gaia DR1 4302670680625318784,44.18,1.86,38.3579,0.0149
HIP 116838,\N,\N,Gaia DR1 2826159845944612736,39.51,1.85,38.43,0.99
HIP 7372,Gaia DR3 5022972468946212352,Gaia DR2 5022972468946212352,\N,42.29,1.47,38.4341,0.6649
HIP 51928,Gaia DR3 5455932041699339008,Gaia DR2 5455932041699339008,Gaia DR1 5455932037401675136,39.56,3.14,38.495,0.0228
HIP 2081,Gaia DR3 4993479684438433792,\N,\N,42.14,0.78,38.5,0.73
HIP 75266,Gaia DR3 4420712604009198080,Gaia DR2 4420712604009198080,Gaia DR1 4420712599713376640,39.35,1.37,38.501,0.0242
HIP 110066,Gaia DR3 6512176375093055744,Gaia DR2 6512176375093055744,\N,39.38,1.13,38.5442,0.0198
HIP 57494,Gaia DR3 3585636855608873984,Gaia DR2 3585636855608873984,Gaia DR1 3585636851311975552,40.57,2.66,38.5497,0.0289
HIP 60370,Gaia DR3 6150200345317455232,Gaia DR2 6150200345317455232,Gaia DR1 6150200341022048000,39.02,0.8,38.5703,0.0217
HIP 53910,Gaia DR3 856096765753549056,Gaia DR2 856096765752993280,\N,41.07,0.6,38.6031,1.1285
HIP 109084,Gaia DR3 2613420563766963200,Gaia DR2 2613420563766963200,Gaia DR1 2613420563766963200,46.7,7.86,38.6157,0.5329
HIP 17207,Gaia DR3 3271668905115228672,Gaia DR2 3271668905115228672,Gaia DR1 3271668969538328576,39.87,2.01,38.6196,0.0424
HIP 19165,Gaia DR3 5091077112524265344,Gaia DR2 5091077112523802112,Gaia DR1 5091077108227400576,42.54,1.64,38.6445,0.0173
HIP 65327,Gaia DR3 1565976794456209792,Gaia DR2 1565976794456209792,\N,39.84,1.44,38.6834,0.442
HIP 36853,Gaia DR3 865699110037321600,Gaia DR2 865699110037321600,Gaia DR1 865699105740762496,39.31,3.31,38.6981,0.0188
HIP 10688,Gaia DR3 4743263514068260608,Gaia DR2 4743263514067898240,\N,40.4,2.95,38.7109,0.0205
HIP 35628,Gaia DR3 1108183342844837888,Gaia DR2 1108183342844837888,Gaia DR1 1108183338545326336,39.1,1.15,38.7432,0.0199
HIP 117542,Gaia DR3 2327840667768506368,Gaia DR2 2327840667768506368,Gaia DR1 2327840663474971392,39.53,1.13,38.7568,0.0285
HIP 61100,Gaia DR3 1571145907856592768,Gaia DR2 1571145907856592768,\N,42.13,3.11,38.7846,0.5584
HIP 2711,Gaia DR3 4925088171405735680,Gaia DR2 4925088171405735680,\N,39.03,0.62,38.8246,0.0466
HIP 32423,Gaia DR3 937667952871051776,Gaia DR2 937667952870489856,Gaia DR1 937667948573715072,40.02,1.22,38.8281,0.0215
HIP 73252,Gaia DR3 1614477420588506240,Gaia DR2 1614477420588506240,Gaia DR1 1614477416292556544,39.95,0.92,38.8326,0.0139
HIP 105675,Gaia DR3 6453300894679705984,Gaia DR2 6453300894679705984,Gaia DR1 6453300890383166720,39.39,1.26,38.9387,0.0182
HIP 39710,Gaia DR3 5596797039059063680,Gaia DR2 5596797039059063680,Gaia DR1 5596797034747496576,39.08,0.77,38.9581,0.0173
HIP 42173,Gaia DR3 594989417312890368,Gaia DR2 594989417312890368,Gaia DR1 594989413017794944,42.71,4.61,38.9809,0.0412
HIP 53947,Gaia DR3 3969885761146749952,Gaia DR2 3969885761146749952,Gaia DR1 3969885756851667584,57.46,25.52,38.9897,0.0225
HIP 53953,Gaia DR3 3969885761146749824,Gaia DR2 3969885761146749824,Gaia DR1 3969885756851667712,59.31,12.56,38.9927,0.0222
HIP 17157,Gaia DR3 4833306713154584704,Gaia DR2 4833306713154584704,Gaia DR1 4833306708858124416,39.84,1.11,39.0821,0.0178
HIP 48502,Gaia DR3 5463156589008251648,Gaia DR2 5463156589008251648,Gaia DR1 5463156584711913856,39.02,2.52,39.0922,0.242
HIP 32939,Gaia DR3 5562061542577445760,Gaia DR2 5562061542577445760,Gaia DR1 5562061538279299840,39.19,1.01,39.128,0.0091
HIP 66704,Gaia DR3 1558718059209082752,Gaia DR2 1558718059209082752,Gaia DR1 1558718054912221952,39.64,0.71,39.1793,0.0254
HIP 111170,Gaia DR3 2622845684814477696,Gaia DR2 2622845684814477696,\N,39.18,1.83,39.1884,0.6249
HIP 4443,Gaia DR3 2472505371140957952,Gaia DR2 2472505371140425472,Gaia DR1 2472505366844289536,41.73,2.29,39.1987,0.0284
HIP 62505,Gaia DR3 3523699441470095104,Gaia DR2 3523699441470095104,\N,47.19,1.93,39.2109,0.6152
HIP 18180,Gaia DR3 4857520536178521344,Gaia DR2 4857520536178521344,\N,39.48,2.69,39.2185,0.018
HIP 26501,\N,\N,Gaia DR1 4796263715441768832,39.59,0.94,39.22,0.75
HIP 86742,Gaia DR3 4473334474604992384,Gaia DR2 4473334474601314560,\N,39.78,0.75,39.2284,0.2027
HIP 117946,Gaia DR3 2847644410526748416,Gaia DR2 2847644410526748416,Gaia DR1 2847644406230983680,39.35,1.16,39.2555,0.0221
HIP 76233,Gaia DR3 4400452830957830656,Gaia DR2 4400452830957830656,Gaia DR1 4400452826661590656,39.78,0.83,39.2622,0.0278
HIP 12186,Gaia DR3 5062172841616745856,Gaia DR2 5062172841616745856,\N,39.16,0.64,39.2946,0.0305
HIP 108092,Gaia DR3 1960390203963541760,Gaia DR2 1960390203963541760,Gaia DR1 1960390199663139456,43.07,1.55,39.3117,0.0119
HIP 55507,Gaia DR3 788340461203094912,Gaia DR2 788340461203094912,Gaia DR1 788340834864017408,40.36,1.48,39.3187,0.0147
