HIP,designation_DR3,designation_DR2,designation_DR1,hipparcos_parallax,hipparcos_parallax_error,simbad_parallax,simbad_parallax_error
HIP 50125,Gaia DR3 851346566283231616,Gaia DR2 851346566283231616,\N,43.8,1.42,43.5453,0.0161
HIP 13081,Gaia DR3 114832620743735808,Gaia DR2 114832620743735808,Gaia DR1 114832616447916672,44.71,1.15,43.5704,0.0541
HIP 53327,Gaia DR3 1128210122507896832,Gaia DR2 1128210122507896832,Gaia DR1 1128210118211838976,44.92,1.04,43.5804,0.0124
HIP 54966,Gaia DR3 3558078971047964800,Gaia DR2 3558078971047964800,\N,48.47,15.62,43.6578,0.0155
HIP 58170,Gaia DR3 3460347849221303296,Gaia DR2 3460347849221303296,\N,42.82,2.81,43.6788,0.0229
HIP 14954,Gaia DR3 3265335443260522112,Gaia DR2 3265335443260522112,\N,44.69,0.75,43.7027,0.1325
HIP 90265,Gaia DR3 4536614495522394112,Gaia DR2 4536614495522394112,Gaia DR1 4536614491219597440,45.91,1.83,43.7265,0.012
HIP 40671,Gaia DR3 708608825759209088,Gaia DR2 708608825759209088,Gaia DR1 708608821463062784,44.34,1.31,43.7446,0.0199
HIP 66249,Gaia DR3 3662636823132300032,Gaia DR2 3662636823132020480,\N,44.55,0.9,43.7467,0.333
HIP 1386,Gaia DR3 2860379125997924480,Gaia DR2 2860379125997924480,Gaia DR1 2860379121703334912,42.65,2.77,43.7733,0.0204
HIP 1608,Gaia DR3 2367938722962185088,Gaia DR2 2367938722962185088,\N,39.31,3.03,43.7865,0.0179
HIP 59748,Gaia DR3 1545795533411708032,Gaia DR2 1545795529110395136,Gaia DR1 1545795529110395136,43.25,2.0,43.7974,0.0922
HIP 34222,Gaia DR3 884039857341503616,Gaia DR2 884039857341503616,Gaia DR1 884039853046040576,41.63,2.16,43.8004,0.0188
HIP 54426,Gaia DR3 764805169996366720,Gaia DR2 764805169996366720,Gaia DR1 764805169996366720,43.91,1.03,43.8237,0.0258
HIP 116613,Gaia DR3 1939093660163197312,Gaia DR2 1939093660163197312,Gaia DR1 1939093655865620608,43.26,0.8,43.8426,0.0179
HIP 86282,Gaia DR3 4557198933740208768,Gaia DR2 4557198933740208768,Gaia DR1 4557198929439005568,45.17,4.41,43.8639,0.0146
HIP 118261,Gaia DR3 2334879397612667648,Gaia DR2 2334879397612667648,Gaia DR1 2334879393316350464,40.9,1.26,43.8729,0.0207
HIP 102870,Gaia DR3 2182197777015312512,Gaia DR2 2182197777015312512,Gaia DR1 2182197772709538048,44.57,1.01,43.9162,0.0134
HIP 77070,Gaia DR3 4429785739602747392,Gaia DR2 4429785739601541504,\N,44.54,0.71,43.945,0.4676
HIP 86614,Gaia DR3 1651268660203160448,Gaia DR2 1651268660202647296,\N,45.38,0.82,43.95,0.8625
HIP 10416,Gaia DR3 2493069773336748928,Gaia DR2 2493069773336748928,Gaia DR1 2493069773336748928,43.73,1.18,43.9772,0.0421
HIP 40910,Gaia DR3 652005932802958976,Gaia DR2 652005932802958976,Gaia DR1 652005928505684864,42.66,1.66,43.9792,0.0183
HIP 61946,Gaia DR3 1571411233756646656,Gaia DR2 1571411233756165248,Gaia DR1 1571411229462195584,43.06,0.82,44.01,0.0218
HIP 86620,Gaia DR3 1651268763282397312,Gaia DR2 1651268763281885952,Gaia DR1 1651268758985195264,44.8,1.94,44.0496,0.0515
HIP 54745,Gaia DR3 761919883981626752,Gaia DR2 761919883981626752,Gaia DR1 761919879686129792,46.04,0.9,44.0583,0.0232
HIP 67842,Gaia DR3 1715209040928674560,Gaia DR2 1715209040928674560,Gaia DR1 1715208280717938176,41.25,1.31,44.08,0.0112
HIP 114996,Gaia DR3 6492406743706907776,Gaia DR2 6492406709348385280,\N,45.4,0.61,44.0808,0.5332
HIP 66193,Gaia DR3 1469230212276302080,Gaia DR2 1469230212276302080,Gaia DR1 1469230212276302080,43.66,1.2,44.0921,0.0191
HIP 80817,Gaia DR3 4325701192912743424,Gaia DR2 4325701192912743424,\N,45.35,5.06,44.1607,0.1585
HIP 59616,Gaia DR3 3488261563231724032,Gaia DR2 3488261563231724032,\N,42.1,2.48,44.1628,0.016
HIP 5663,Gaia DR3 5040737312674978816,Gaia DR2 5040737312674978816,Gaia DR1 5040737308379430144,45.4,1.55,44.1914,0.0177
HIP 79551,Gaia DR3 1322906861255829376,Gaia DR2 1322906861255829376,\N,43.82,5.69,44.2674,0.1586
HIP 111888,Gaia DR3 2704912403783213696,Gaia DR2 2704912403783213696,Gaia DR1 2704912403783213696,44.1,1.12,44.2984,0.0269
HIP 67761,Gaia DR3 6293916376311538944,Gaia DR2 6293916376311538944,Gaia DR1 6293916372015568896,41.19,3.43,44.2987,0.0327
HIP 47201,Gaia DR3 641154096631794432,Gaia DR2 641154096631794432,Gaia DR1 641154092336907776,45.51,1.49,44.3085,0.0169
HIP 112870,Gaia DR3 2720132500864789760,Gaia DR2 2720132500864789760,Gaia DR1 2720132496569558912,47.56,1.18,44.3104,0.029
HIP 107968,Gaia DR3 2693940725141960192,Gaia DR2 2693940725141960192,\N,39.84,4.47,44.3255,0.0428
HIP 40035,Gaia DR3 5725122999630404096,Gaia DR2 5725122999630404096,Gaia DR1 5725122995330650624,44.47,0.77,44.3395,0.0531
HIP 80925,Gaia DR3 6017724140678769024,Gaia DR2 6017724140678769024,Gaia DR1 6017724136360175616,40.6,1.75,44.3415,0.0488
HIP 115680,Gaia DR3 2761162254724651776,Gaia DR2 2761162254723511424,Gaia DR1 2761162250428363392,42.25,2.13,44.3565,0.0299
HIP 69962,Gaia DR3 3639984066101401344,Gaia DR2 3639984066101401344,\N,46.46,1.73,44.3763,0.767
HIP 65083,Gaia DR3 3686261307923490688,Gaia DR2 3686261307923490688,Gaia DR1 3686261303627912704,48.18,3.05,44.3909,0.0247
HIP 87768,Gaia DR3 4503423641091793152,Gaia DR2 4503423641091793152,Gaia DR1 4503423636790780672,43.4,2.21,44.4306,0.0133
HIP 13642,Gaia DR3 116037204451525376,Gaia DR2 116037204451525376,Gaia DR1 116037406313944960,43.71,1.26,44.4324,0.0206
HIP 70950,Gaia DR3 1480314599451475712,Gaia DR2 1480314599451475712,Gaia DR1 1480314595154625920,45.46,1.03,44.4383,0.1112
HIP 4849,Gaia DR3 2552288133874677760,Gaia DR2 2552288133874677760,\N,46.61,1.61,44.4596,0.1285
HIP 8867,Gaia DR3 518458597663391744,Gaia DR2 518458597663391744,Gaia DR1 518458593374872192,45.16,1.09,44.4745,0.0162
HIP 109527,Gaia DR3 1906647037667895424,Gaia DR2 1906647037667895424,Gaia DR1 1906647033368813312,44.57,0.79,44.488,0.0179
HIP 13772,Gaia DR3 5076269164798851712,\N,\N,44.49,2.55,44.51,2.09
HIP 36210,Gaia DR3 5493588665684618752,Gaia DR2 5493588665684618752,Gaia DR1 5493588661385591424,44.43,0.53,44.5122,0.0142
HIP 56153,Gaia DR3 5342789374661206784,Gaia DR2 5342789374656153088,Gaia DR1 5342786415392374784,44.97,0.99,44.5337,0.0188
HIP 6365,Gaia DR3 4933912198895807104,Gaia DR2 4933912198893332224,Gaia DR1 4933912194598735616,42.73,3.53,44.5348,0.0267
HIP 76375,Gaia DR3 1389522392427772288,Gaia DR2 1389522392427772288,Gaia DR1 1389522388131880960,44.93,0.73,44.5624,0.0146
HIP 26844,Gaia DR3 3347826784173590656,Gaia DR2 3347826784173590656,\N,46.51,2.35,44.5629,0.0201
HIP 84143,Gaia DR3 5965222838410499328,Gaia DR2 5965222838404324736,\N,45.56,0.79,44.5711,0.2362
HIP 50075,Gaia DR3 5459060117921483008,Gaia DR2 5459060117921483008,Gaia DR1 5459060113624502784,43.98,0.72,44.5792,0.02
HIP 3979,Gaia DR3 2525514785221197696,Gaia DR2 2525514785221197696,Gaia DR1 2525514780924520704,45.27,0.97,44.5912,0.0238
HIP 10723,Gaia DR3 2513664248895784192,Gaia DR2 2513664248895784192,\N,40.04,0.92,44.5963,0.347
HIP 3535,Gaia DR3 2549518150551364864,Gaia DR2 2549518150551364864,Gaia DR1 2549518150551364864,45.43,0.95,44.6601,0.0242
HIP 40774,Gaia DR3 3089675232224086784,Gaia DR2 3089675232224086784,Gaia DR1 3089675227929130624,42.89,1.32,44.6757,0.0233
HIP 38228,Gaia DR3 875071278432954240,Gaia DR2 875071278432954240,Gaia DR1 875071274135619968,45.84,0.89,44.6848,0.0228
HIP 82333,Gaia DR3 1352483797057853440,Gaia DR2 1352483797057853440,Gaia DR1 1352483792761352064,44.16,1.15,44.6995,0.0098
HIP 59750,Gaia DR3 3581001280225616128,Gaia DR2 3581001280225616128,\N,44.34,1.01,44.74,0.81
HIP 79578,Gaia DR3 6035927380304634240,Gaia DR2 6035927380304634240,Gaia DR1 6035927375994535552,45.73,0.95,44.7674,0.1538
HIP 27288,Gaia DR3 2996171698248699904,Gaia DR2 2996171698248345984,\N,46.47,0.68,44.794,0.2466
HIP 23437,Gaia DR3 4764556724971292544,Gaia DR2 4764556724971292544,Gaia DR1 4764556720675592576,44.94,0.58,44.8107,0.1268
HIP 42697,Gaia DR3 5524815861065005696,Gaia DR2 5524815861065005696,Gaia DR1 5524815856766829568,44.73,0.79,44.8234,0.0148
HIP 61053,Gaia DR3 1569335115284976000,Gaia DR2 1569335115284976000,Gaia DR1 1569335076629137152,45.58,0.62,44.8247,0.0187
HIP 49526,Gaia DR3 806893276814027008,Gaia DR2 806893276814027008,Gaia DR1 806893272516904448,45.04,2.56,44.8795,0.0486
HIP 50384,Gaia DR3 725398123501434496,Gaia DR2 725398123501434496,\N,44.01,0.75,44.9008,0.0699
HIP 110951,Gaia DR3 2738145555048846080,Gaia DR2 2738145555048846080,Gaia DR1 2738145555048846080,44.34,1.81,44.9089,0.0188
HIP 107022,Gaia DR3 6370513647703084544,Gaia DR2 6370513647703084544,Gaia DR1 6370513643406152320,45.17,0.67,44.976,0.0158
HIP 5215,Gaia DR3 2783324526489670144,Gaia DR2 2783324526489429504,\N,45.24,2.56,44.9835,0.0411
HIP 87322,Gaia DR3 4175058204312299904,Gaia DR2 4175058204312299904,Gaia DR1 4175058200007024128,45.67,2.06,45.0168,0.0151
HIP 50808,Gaia DR3 5254819339127880448,Gaia DR2 5254819339117709952,Gaia DR1 5254819334778612736,49.88,2.71,45.0178,0.0193
HIP 3998,Gaia DR3 2788907296779604864,Gaia DR2 2788907296779604864,Gaia DR1 2788907292484265728,45.71,1.66,45.0219,0.0221
HIP 110980,Gaia DR3 2702655587447223168,Gaia DR2 2702655587447223168,Gaia DR1 2702655587447223168,45.69,1.92,45.0254,0.0244
HIP 84652,Gaia DR3 4367318326501438976,Gaia DR2 4367318326501438976,\N,48.26,1.99,45.0299,0.1908
HIP 31878,Gaia DR3 5479782647926975360,Gaia DR2 5479782647926975360,Gaia DR1 5479782643632182656,45.56,0.91,45.0333,0.0116
HIP 15973,Gaia DR3 4847829165813317504,Gaia DR2 4847829165813317504,Gaia DR1 4847829161517532288,40.18,1.9,45.0929,0.0862
HIP 75542,Gaia DR3 6213789290343029760,Gaia DR2 6213789290343029760,\N,40.92,1.57,45.0982,0.0202
HIP 7554,Gaia DR3 4917782741272766592,Gaia DR2 4917782741272766592,Gaia DR1 4917782736976536064,45.79,1.63,45.1199,0.014
HIP 96121,Gaia DR3 4287473578816247936,Gaia DR2 4287473578816247936,Gaia DR1 4287473643220887168,43.86,1.92,45.1424,0.0193
HIP 1837,Gaia DR3 2315390347851431680,Gaia DR2 2315390347851431680,\N,44.97,1.15,45.1443,0.02
HIP 33560,Gaia DR3 2949560479775040256,Gaia DR2 2949560475474885760,\N,44.83,2.28,45.1477,0.0873
HIP 44263,Gaia DR3 583257319006770176,Gaia DR2 583257319006770176,Gaia DR1 583257314711142656,40.77,6.57,45.1497,0.0375
HIP 98470,Gaia DR3 6698960688866464768,Gaia DR2 6698960688866464768,Gaia DR1 6698960684568282624,47.9,1.06,45.1537,0.0551
HIP 107310,Gaia DR3 1801210568415251072,Gaia DR2 1801210568415251072,\N,44.64,0.69,45.156,0.1221
HIP 55210,Gaia DR3 3786697056556771584,Gaia DR2 3786697056556771584,Gaia DR1 3786697017900891392,45.48,1.0,45.1803,0.024
HIP 98828,Gaia DR3 1834788970646666112,Gaia DR2 1834788970646666112,Gaia DR1 1834788966333284224,46.28,0.91,45.2187,0.0174
HIP 49544,Gaia DR3 3836586468953204608,Gaia DR2 3836586468953204608,Gaia DR1 3836586464657848832,44.77,1.96,45.2317,0.0205
HIP 21284,Gaia DR3 4791496409119237888,Gaia DR2 4791496409119237888,Gaia DR1 4791496404822876928,44.52,0.8,45.2326,0.0155
HIP 114156,Gaia DR3 2384342302577019264,Gaia DR2 2384342302577019264,Gaia DR1 2384342298281846016,47.36,1.88,45.2361,0.0182
HIP 33805,Gaia DR3 1002898644851988352,Gaia DR2 1002898644851988352,Gaia DR1 1002898640556047872,43.88,2.21,45.2441,0.0165
HIP 54704,Gaia DR3 3532823773073745536,Gaia DR2 3532823773073745536,Gaia DR1 3532823768777269248,46.22,0.84,45.2482,0.0228
HIP 75253,Gaia DR3 6316161317608434944,Gaia DR2 6316161317607999232,Gaia DR1 6316161313311565056,45.83,1.41,45.2799,0.0294
HIP 59378,Gaia DR3 1536232908980349952,Gaia DR2 1536232908980349952,Gaia DR1 1536232904684913408,47.05,1.88,45.2827,0.0148
HIP 19859,Gaia DR3 3285218186904332288,Gaia DR2 3285218186904332288,\N,47.2,1.08,45.3005,0.0279
HIP 19855,Gaia DR3 3285218255623808640,Gaia DR2 3285218255623808640,Gaia DR1 3285218251327446912,47.86,1.15,45.3076,0.0236
HIP 51523,Gaia DR3 5357075947709011456,Gaia DR2 5357075947704733568,Gaia DR1 5357075943384246528,45.72,0.51,45.3276,0.0662
HIP 77622,Gaia DR3 4426032591025363200,Gaia DR2 4426032591024853504,\N,46.39,0.74,45.3293,0.2499
HIP 3497,Gaia DR3 4708607629114652032,Gaia DR2 4708607629114652032,Gaia DR1 4708607624818458880,45.76,0.56,45.3559,0.0178
HIP 69701,Gaia DR3 3640828731549972480,Gaia DR2 3640828731549668608,\N,46.74,0.87,45.4014,0.2858
HIP 78734,Gaia DR3 6036117973770712448,Gaia DR2 6036117973770712448,\N,43.0,1.95,45.4054,0.5333
HIP 8043,Gaia DR3 301785537751949824,Gaia DR2 301785537751949824,Gaia DR1 301785533456950144,48.11,2.01,45.4239,0.0196
HIP 67105,Gaia DR3 3725115471868587904,Gaia DR2 3725115471868587904,Gaia DR1 3725115467573236992,47.63,1.16,45.4298,0.03
HIP 15360,Gaia DR3 5058175086056319616,Gaia DR2 5058175086056319616,Gaia DR1 5058175081759732864,42.72,2.53,45.4521,0.0149
HIP 88348,Gaia DR3 4582680493669880704,Gaia DR2 4582680493669880704,Gaia DR1 4582680558091221760,45.61,0.71,45.4954,0.0167
HIP 85126,Gaia DR3 5979367986779538432,Gaia DR2 5979367986779538432,\N,42.5,4.11,45.4993,0.0172
HIP 14587,Gaia DR3 4723578819956587776,Gaia DR2 4723578819956587776,Gaia DR1 4723578884380052096,46.54,1.03,45.5286,0.0126
HIP 118008,Gaia DR3 2307132568850133376,Gaia DR2 2307132568850133376,Gaia DR1 2307133320469510912,45.28,1.11,45.5495,0.0233
HIP 50921,Gaia DR3 5461620846141553024,Gaia DR2 5461620846141553024,Gaia DR1 5461620841846541952,45.26,0.75,45.5628,0.0214
HIP 41484,Gaia DR3 918107434852949888,Gaia DR2 918107434852949888,Gaia DR1 918107533636639744,45.89,0.84,45.5826,0.0208
HIP 109926,Gaia DR3 2005798350576886144,Gaia DR2 2005798350576886144,Gaia DR1 2005798346267654016,46.62,0.67,45.5913,0.0168
HIP 67808,Gaia DR3 3728535399707693696,Gaia DR2 3728535399707693696,\N,47.95,1.77,45.6154,0.1698
HIP 17496,Gaia DR3 36590651757883392,Gaia DR2 36590651757883392,Gaia DR1 36590647460764288,45.87,1.44,45.6261,0.0234
HIP 108467,Gaia DR3 2280191304155597184,Gaia DR2 2280191304155597184,Gaia DR1 2280191265498726656,47.95,1.08,45.6642,0.01
HIP 30503,Gaia DR3 2898239468873596800,Gaia DR2 2898239468873596800,Gaia DR1 2898239464575224320,45.38,0.63,45.6782,0.0166
HIP 31711,Gaia DR3 5479778765278589568,Gaia DR2 5479778765278589568,\N,46.15,0.64,45.7052,0.4449
HIP 86722,Gaia DR3 4556066746008265344,Gaia DR2 4556066746008265344,\N,42.45,0.98,45.7443,0.4304
HIP 101382,Gaia DR3 2067948245320365184,Gaia DR2 2067948245320365184,Gaia DR1 2067948241023687168,44.99,0.64,45.7485,0.2012
HIP 21988,Gaia DR3 154660191781205120,Gaia DR2 154660191781205120,Gaia DR1 154660191781205120,44.74,0.99,45.7791,0.0208
HIP 75809,Gaia DR3 1720995598827435648,Gaia DR2 1720995598827435648,Gaia DR1 1720995594530908672,45.32,0.57,45.8428,0.0203
HIP 15439,Gaia DR3 5046897017332803584,Gaia DR2 5046897017332803584,\N,48.81,2.61,45.8737,0.1707
HIP 88976,Gaia DR3 4591351448523805312,Gaia DR2 4591351448523805312,Gaia DR1 4591351444224868608,43.68,7.73,45.8818,0.0127
HIP 75829,Gaia DR3 1720995598827436928,Gaia DR2 1720995598827436928,Gaia DR1 1720995594530908416,46.05,0.69,45.8939,0.0163
HIP 69414,Gaia DR3 3646061719703116032,Gaia DR2 3646061719703116032,\N,44.89,1.01,45.8954,0.0304
HIP 16245,Gaia DR3 4674061076849768832,Gaia DR2 4674061072553303040,\N,46.65,0.48,45.9103,0.0934
HIP 109821,Gaia DR3 6569895822110445440,Gaia DR2 6569895817813128448,\N,45.19,0.71,45.9146,0.0404
HIP 12444,Gaia DR3 5173902189571919872,Gaia DR2 5173902189571919872,\N,46.42,0.82,45.916,0.1537
HIP 29650,Gaia DR3 3374052988354372992,Gaia DR2 3374052988354372992,\N,47.33,0.86,45.9214,0.2358
HIP 102207,Gaia DR3 6857939315643803776,Gaia DR2 6857939315643803776,\N,47.39,4.04,45.933,0.0428
HIP 1768,Gaia DR3 2323302296085774464,Gaia DR2 2323302296085774464,\N,44.57,7.12,45.9535,0.3435
HIP 36515,Gaia DR3 5586381090520538880,Gaia DR2 5586381090520538880,Gaia DR1 5586381086218304640,45.93,0.58,45.9738,0.0172
HIP 687,Gaia DR3 2772804845911842944,Gaia DR2 2772804845911842944,Gaia DR1 2772804841615919616,45.64,1.92,45.9905,0.0205
HIP 18413,Gaia DR3 473347456640406016,Gaia DR2 473347456640406016,\N,46.74,0.96,46.007,0.1012
HIP 6290,Gaia DR3 413391568618906880,Gaia DR2 413391568618906880,\N,52.71,5.18,46.0083,0.0143
HIP 950,Gaia DR3 2309813109479463040,Gaia DR2 2309813109479463040,\N,45.85,0.66,46.0425,0.0961
HIP 102264,Gaia DR3 6795261758382370560,Gaia DR2 6795261758382370560,Gaia DR1 6795261754085868928,44.57,0.87,46.0511,0.2289
HIP 15332,Gaia DR3 111379432679196672,Gaia DR2 111379432679196672,\N,47.29,3.44,46.0608,0.0203
HIP 63742,Gaia DR3 3677911582262521728,Gaia DR2 3677911582262521728,\N,45.2,1.27,46.1,0.81
HIP 3362,Gaia DR3 365548347350541952,Gaia DR2 365548347350541952,Gaia DR1 365548411774588288,42.03,1.98,46.1253,0.0189
HIP 99764,Gaia DR3 4216680418835844864,Gaia DR2 4216680418835844864,Gaia DR1 4216680418835844864,49.03,1.74,46.1393,0.0176
HIP 77408,Gaia DR3 4422809716282811776,Gaia DR2 4422809716282811776,Gaia DR1 4422809711985931136,46.84,1.05,46.1575,0.0175
HIP 85653,Gaia DR3 1362295082910131200,Gaia DR2 1362295082910131200,Gaia DR1 1362295078616184832,44.77,0.59,46.1856,0.0147
HIP 65515,Gaia DR3 1565867461768654208,Gaia DR2 1565867461768654208,Gaia DR1 1565867457472631936,45.76,0.72,46.1911,0.0136
HIP 78709,Gaia DR3 1219254942328596736,Gaia DR2 1219254942328596736,\N,46.56,0.89,46.2311,0.1832
HIP 24472,Gaia DR3 3207120455805080832,Gaia DR2 3207120460100680448,\N,41.94,3.43,46.2462,0.0141
HIP 88499,Gaia DR3 4606406992522938240,Gaia DR2 4606406992522938240,Gaia DR1 4606406988226429440,46.71,1.85,46.2491,0.0127
HIP 61451,Gaia DR3 6158160019228728448,Gaia DR2 6158160019228098944,Gaia DR1 6158160014931397120,46.19,0.91,46.2778,0.0373
HIP 112190,Gaia DR3 2623505219992303104,Gaia DR2 2623505219992303104,Gaia DR1 2623505215697208192,46.46,1.31,46.3324,0.0238
HIP 71914,Gaia DR3 1237693065130209408,\N,\N,44.54,2.57,46.34,2.17
HIP 40118,Gaia DR3 902007870203594880,Gaia DR2 902007870203594880,\N,46.05,0.92,46.3415,0.0609
HIP 63894,Gaia DR3 1555608537246019968,Gaia DR2 1555608537246019968,Gaia DR1 1555608532949145472,45.69,1.25,46.3585,0.0111
HIP 54906,Gaia DR3 3997075206232885888,Gaia DR2 3997075206232885888,Gaia DR1 3997075201937940224,46.95,0.97,46.3763,0.0221
HIP 96710,Gaia DR3 6766734242006157568,Gaia DR2 6766734242006157568,Gaia DR1 6766734237707029376,44.84,1.91,46.3965,0.0189
HIP 3876,Gaia DR3 536088338900732544,Gaia DR2 536088338900732544,\N,46.47,0.7,46.4272,0.0165
HIP 78527,Gaia DR3 1623289903206300928,Gaia DR2 1623289903205934336,\N,47.79,0.54,46.4665,0.136
HIP 52462,Gaia DR3 5455707157211784832,Gaia DR2 5455707157211784832,Gaia DR1 5455707152914063232,46.36,0.84,46.4931,0.0198
HIP 32313,Gaia DR3 1113055759899565568,Gaia DR2 1113055759899565568,\N,44.43,4.88,46.4946,0.07
HIP 86916,Gaia DR3 1362592672604119168,Gaia DR2 1362592668307182592,Gaia DR1 1362592668307182592,44.5,1.41,46.5344,0.0356
HIP 60475,Gaia DR3 3908605030329021440,Gaia DR2 3908605030329021440,Gaia DR1 3908605026032943872,47.11,1.95,46.5478,0.0198
HIP 81655,Gaia DR3 1328078796458810240,Gaia DR2 1328078796458810240,Gaia DR1 1328078792154016640,51.88,4.66,46.5669,0.0519
HIP 102300,Gaia DR3 2245095683274908672,Gaia DR2 2245095678975254400,Gaia DR1 2245095678975254400,46.11,1.76,46.5841,0.0194
HIP 103458,Gaia DR3 6484716209628726912,Gaia DR2 6484716209628726912,\N,46.26,0.81,46.5855,0.029
HIP 115331,Gaia DR3 1937003729077791616,Gaia DR2 1937003729076823040,Gaia DR1 1937003724778829696,45.63,0.83,46.6599,0.0228
HIP 44075,Gaia DR3 5730371484020807808,Gaia DR2 5730371484020807808,Gaia DR1 5730371101767409920,46.9,0.97,46.6872,0.0423
HIP 109378,Gaia DR3 2619706544757416192,Gaia DR2 2619706544757416192,Gaia DR1 2619706540462164992,46.97,0.79,46.8515,0.0283
HIP 80366,Gaia DR3 4329057039841257728,Gaia DR2 4329057039841257728,Gaia DR1 4329057035544343040,46.44,1.2,46.8687,0.0276
HIP 1803,Gaia DR3 2423493369021649920,Gaia DR2 2423493369021649920,Gaia DR1 2423493364726020224,49.05,0.91,46.8742,0.027
HIP 92919,Gaia DR3 4533301804432654976,Gaia DR2 4533301804432654976,\N,46.64,1.03,46.8828,0.0308
HIP 111685,Gaia DR3 1908305169922494208,Gaia DR2 1908305169922494208,\N,52.94,1.94,46.8867,0.5642
HIP 12749,Gaia DR3 5173999736868992512,Gaia DR2 5173999736868992512,\N,42.19,3.45,46.8921,0.0271
HIP 34834,Gaia DR3 5509770796785820416,Gaia DR2 5509770796785820416,\N,47.22,0.53,46.9031,0.1185
HIP 98416,Gaia DR3 4191794317470513664,Gaia DR2 4191794317470513664,\N,40.75,1.35,46.9328,0.929
HIP 47395,Gaia DR3 793785826901083520,Gaia DR2 793785856963415936,\N,41.66,3.97,46.9695,0.0424
HIP 52708,Gaia DR3 5470514142863169280,Gaia DR2 5470514142863169280,Gaia DR1 5470514138566383360,49.51,1.27,46.9703,0.0197
HIP 104440,Gaia DR3 6371557530914670976,Gaia DR2 6371557530914670976,\N,53.38,2.18,46.993,0.8751
HIP 105336,Gaia DR3 6399966162596931712,Gaia DR2 6399966162596931712,\N,50.15,3.31,47.0217,0.306
HIP 2762,Gaia DR3 2528433919872925312,Gaia DR2 2528433919872925312,\N,47.51,1.15,47.05,0.67
HIP 106803,\N,\N,Gaia DR1 6403170375701631616,47.58,5.17,47.06,2.55
HIP 83996,Gaia DR3 1419999819661235840,Gaia DR2 1419999819661235840,Gaia DR1 1419999819661235840,47.86,3.11,47.0692,0.0117
HIP 92417,Gaia DR3 4279492361332301056,Gaia DR2 4279492361332301056,\N,45.88,1.98,47.0769,0.0184
HIP 83988,Gaia DR3 1420000579871414528,Gaia DR2 1420000579871414528,Gaia DR1 1420000575575479552,47.14,1.88,47.0874,0.0139
HIP 12110,Gaia DR3 5125414998097353600,Gaia DR2 5125414998097353600,Gaia DR1 5125414993802017280,47.04,1.04,47.0903,0.0223
HIP 50564,Gaia DR3 624684408880100992,Gaia DR2 624684408880100992,\N,47.24,0.82,47.1255,0.1679
HIP 105533,Gaia DR3 1745568309317609088,Gaia DR2 1745568309317609088,Gaia DR1 1745568305023244032,48.28,1.61,47.1387,0.0146
HIP 14150,Gaia DR3 115311458058061440,Gaia DR2 115311458058061440,Gaia DR1 115311453761724544,47.25,0.89,47.181,0.0219
HIP 19335,Gaia DR3 225668203191521280,Gaia DR2 225668198891010560,Gaia DR1 225668198891010560,46.87,0.77,47.1878,0.0734
HIP 42074,Gaia DR3 3073562610873679872,Gaia DR2 3073562610873679872,Gaia DR1 3073562606577911552,45.95,1.01,47.258,0.0223
HIP 96113,Gaia DR3 6741156023833749504,Gaia DR2 6741156023833749504,\N,45.34,1.43,47.3123,0.0272
HIP 96895,Gaia DR3 2135550755683405952,Gaia DR2 2135550755683405952,Gaia DR1 2135550751385079552,46.25,0.5,47.3239,0.0197
HIP 93966,Gaia DR3 4513165073646443008,Gaia DR2 4513165073646443008,\N,47.72,0.77,47.3289,0.0894
HIP 96901,Gaia DR3 2135550755683407232,Gaia DR2 2135550755683407232,Gaia DR1 2135550854464294784,46.7,0.52,47.3302,0.0171
HIP 4845,Gaia DR3 2473055951588089088,Gaia DR2 2473055951588089088,Gaia DR1 2473055947291890816,46.22,4.48,47.3825,0.0176
HIP 51819,Gaia DR3 1147862174868109184,Gaia DR2 1147862174868109184,Gaia DR1 1147862170571299200,47.55,0.6,47.3879,0.0138
HIP 103389,Gaia DR3 6802426038708609536,Gaia DR2 6802426038708609536,\N,47.61,0.95,47.3886,0.0696
HIP 77514,Gaia DR3 1404213517041788800,Gaia DR2 1404213517041788800,\N,57.78,3.37,47.4181,0.0159
HIP 114719,Gaia DR3 2386898972054841088,Gaia DR2 2386898972054841088,Gaia DR1 2386898972054841088,51.44,5.79,47.4196,0.0173
HIP 77725,Gaia DR3 4456127942261895808,Gaia DR2 4456127942261895808,Gaia DR1 4456127937963691136,44.27,1.56,47.4303,0.1461
HIP 3418,Gaia DR3 362082308742525824,Gaia DR2 362082308742525824,Gaia DR1 362082304446866048,48.16,1.04,47.4451,0.0198
HIP 114416,Gaia DR3 6387649914378668160,Gaia DR2 6387649914378668160,Gaia DR1 6387649910082334336,48.05,1.05,47.478,0.0177
HIP 23140,Gaia DR3 259731623173675904,Gaia DR2 259731623173675904,\N,51.51,2.45,47.4968,0.018
HIP 63480,Gaia DR3 6155259541913716608,Gaia DR2 6155259541913716608,\N,49.95,1.78,47.5075,0.0188
HIP 7339,Gaia DR3 532057254394731776,Gaia DR2 532057254394731776,\N,47.65,0.6,47.5108,0.0171
HIP 14633,Gaia DR3 548172349642820352,Gaia DR2 548172349642820352,Gaia DR1 548172345347061632,46.91,1.35,47.5129,0.0112
