designation,HIP,HD,ra,declination,parallax,parallax_error,pm,pmra,pmdec,ruwe,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,teff_gspphot,teff_gspphot_lower,teff_gspphot_upper,logg_gspphot,logg_gspphot_lower,logg_gspphot_upper,mh_gspphot,mh_gspphot_lower,mh_gspphot_upper,distance_gspphot,distance_gspphot_lower,distance_gspphot_upper,Mg,Mg_error,MRp,MRp_error,Bp_minus_Rp
Gaia DR3 3348805143361118464,\N,\N,89.0019,15.766279215720711,52.75902812878255,0.03344439,148.40912,-47.1661394045683,-140.71467649805143,1.1252006,14.739682,16.924852,13.39072,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,13.351165934163678,0.001376514739591883,12.002203934163681,0.001376514739591883,3.534132
Gaia DR3 714116137767540096,HIP 44897,78366,137.212,33.881708956195,52.77091525374863,0.030923933,223.11224,-191.41313447777296,-114.63019595671456,0.8736646,5.8090615,6.10136,5.3468423,5877.378,5876.4717,5878.2397,4.3058,4.3036,4.3079,-0.2759,-0.2831,-0.2692,18.9322,18.9218,18.9438,4.421034633023722,0.001272490247077318,3.958815433023722,0.001272490247077318,0.7545177
Gaia DR3 887822001246832384,HIP 34017,52711,105.878,29.33340231275945,52.771176020747866,0.043849643,842.48676,156.6227877267507,-827.8002461177721,1.2313855,5.7895827,6.090033,5.317198,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,4.4015665633084335,0.0018043621354770778,3.9291818633084326,0.0018043621354770778,0.772835
Gaia DR3 3181197137010596608,\N,\N,71.7151,-11.280160010099063,52.77235441858288,0.031748753,153.74202,-142.55124506903022,-57.58257841750184,1.5637064,11.400209,12.702858,10.042127,3278.751,3277.9663,3279.4963,4.7095,4.7069,4.7129,-0.1144,-0.1202,-0.1071,18.8899,18.8745,18.9031,10.012241352465004,0.0013063951808334195,8.654159352465005,0.0013063951808334195,2.660731
Gaia DR3 2266317803873109504,\N,\N,280.009,72.68256819499739,52.77968402933536,0.09431244,187.34746,-46.12927000536024,181.5796234423088,1.1318331,15.557036,17.867779,13.472009,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,14.16936992973023,0.003880225565496609,12.08434292973023,0.003880225565496609,4.39577
Gaia DR3 2282846074981010688,HIP 115147,220140,349.866,79.00384169269975,52.783813089954265,0.013734574,215.91791,203.45013713416617,72.30894269986538,0.9207283,7.293383,7.7507305,6.6682796,4891.5063,4886.587,4899.9375,4.476,4.4721,4.491,-0.551,-0.5948,-0.3698,18.9496,18.9318,18.9755,5.905886801730693,0.0005650264242889058,5.280783401730693,0.0005650264242889058,1.0824509
Gaia DR3 6895572437565417856,\N,\N,317.851,-9.677453339060431,52.81388864513025,0.039882384,350.63098,-28.71381880940169,-349.45329703554086,1.0326617,14.445407,16.703741,13.077067,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,13.059147727136423,0.0016397867145432343,11.690807727136423,0.0016397867145432343,3.626674
Gaia DR3 3230306548988683392,\N,\N,68.6885,-0.4472776491451271,52.82357146666326,0.09610997,244.64894,-81.11425039391419,-230.8106999017713,4.849845,12.272259,13.912417,11.032076,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,10.886397805239433,0.003950894887156942,9.646214805239435,0.003950894887156942,2.880341
Gaia DR3 3590516110255264000,\N,\N,170.025,-10.496224933576244,52.82484599742523,0.037755884,198.88101,-197.88890570117823,19.84027986237223,1.0155532,10.302667,11.462225,9.223532,3367.7192,3355.3992,3399.4136,3.982,3.9463,4.0775,-1.2298,-1.267,-1.1576,18.9025,18.7694,19.0566,8.91685819804287,0.0015520324350344339,7.837723198042871,0.0015520324350344339,2.238693
Gaia DR3 3490286416972291584,\N,\N,182.677,-22.21811613430224,52.83372156949152,0.029259209,292.1447,157.5378396747901,246.0291887471695,1.4086795,12.007519,13.402045,10.83061,3210.7876,3206.7537,3234.3044,4.6786,4.6692,4.7406,-0.4289,-0.4441,-0.3551,18.9294,18.8806,19.0019,10.622075015782684,0.0012025571865024176,9.445166015782686,0.0012025571865024176,2.571435
Gaia DR3 2282790893241302144,\N,\N,350.729,78.79433614628547,52.8343025839604,0.029883878,217.44098,207.4464792811381,65.1654454269971,1.2345679,14.020458,16.36642,12.634202,2879.8677,2878.962,2880.2693,5.0283,5.0251,5.029,0.1431,0.141,0.1453,18.8166,18.801,18.847,12.635037895417021,0.001228217659982711,11.248781895417018,0.001228217659982711,3.732218
