identifier                    ra                          dec                          G           Bp_Rp       MG                   mag object       comment   
HD 148653B                    16:28:52.4165162350468      +18:24:55.57380307789754     07.5834684  01.0786306  06.1547336162098185  G   nearby_star  star      
HD 10361                      01:39:48.15758970188085     -56:11:47.04023850386193     05.6254873  01.0941985  06.057348256746864   G   nearby_star  star      
HD 189733A                    20:00:43.7092334977649      +22:42:35.06797860578399     07.428371   01.095916   05.947700477984976   G   nearby_star  star      
HD 115404A                    13:16:51.76120973601371     +17:00:57.60612564104406     06.297682   01.1009045  06.093309432633378   G   nearby_star  star      
HD 25329                      04:03:17.26031883298134     +35:16:01.9772936561389542   08.232109   01.1071046  06.895772479997324   G   nearby_star  star      
HD 188512                     19:55:18.842157623011246    +06:24:16.655803807403572    03.4819748  01.1103241  02.814146265041007   G   nearby_star  star      
HD 154577                     17:10:10.505999702860436    -60:43:34.15071664271727     07.116921   01.1104385  06.429183068392833   G   nearby_star  star      
HD 20010B                     03:12:04.618185215813604    -28:59:02.8362412194233      06.634122   01.1120925  05.890685801702023   G   nearby_star  star      
HD 11937                      01:55:58.62791401381273     -51:36:27.25060163690705     03.4718022  01.1124663  02.2454855416093356  G   nearby_star  star      
Gaia DR3 892215482207937152   07:29:01.967760658461728    +31:59:40.648078559582245    07.4511185  01.126498   06.160251315045466   G   nearby_star  star      
HD 110810                     12:45:14.015557951645974    -57:21:30.90853444399454     07.5448947  01.127276   06.063644184545316   G   nearby_star  star      
HD 82558                      09:32:25.29869020301618     -11:11:04.143808719762774    07.488392   01.144815   06.179766038502956   G   nearby_star  star      
Gaia DR3 866177431955017600   07:20:07.04438355675947     +21:58:52.395534903776024    07.971241   01.1472886  06.631226985172981   G   nearby_star  star      
HD 38392                      05:44:26.184893451993076    -22:25:24.256220310269327    05.868166   01.1573954  06.1232735013426565  G   nearby_star  star      
HD 2025                       00:24:26.730475541405028    -27:01:35.03735333241963     07.6292706  01.1581453  06.363386063758694   G   nearby_star  star      
HD 23249                      03:43:14.799193804886102    -09:45:36.30119064494875     03.2755666  01.1661984  03.4830311987807754  G   nearby_star  star      
HD 40307                      05:54:04.129112104222656    -60:01:25.453991812812546    06.857923   01.1664023  06.299554490313905   G   nearby_star  star      
HD 198149                     20:45:17.569521859425663    +61:50:32.709458445617656    03.1779127  01.1867034  02.3908825818637887  G   nearby_star  star      
HD 64379B                     07:52:15.086555117285343    -34:42:16.117900707859008    07.9423513  01.1896997  06.626438670190889   G   nearby_star  star      
HD 156985                     17:17:50.45327938170374     +52:26:46.48311065741336     07.6491847  01.1932014  06.310419314446365   G   nearby_star  star      
HD 16160                      02:36:06.81228157878607     +06:53:36.020787282699075    05.4983196  01.198643   06.203058516511943   G   nearby_star  star      
HD 153525                     16:57:42.00820038827004     +47:21:47.90757239066397     07.6223183  01.202503   06.3523060474792175  G   nearby_star  star      
HD 82106                      09:29:54.28639567621673     +05:39:20.20996143764205     06.885495   01.2108595  06.351376652774183   G   nearby_star  star      
HD 128165                     14:33:28.529220004204063    +52:54:35.614604000534655    06.918849   01.213392   06.310563804379871   G   nearby_star  star      
HD 130992                     14:51:39.359612691543475    -24:18:21.782552569851305    07.4894614  01.2211633  06.367105489240375   G   nearby_star  star      
HD 150689                     16:44:14.987656758719083    -38:56:38.05044545930468     07.191345   01.230627   06.426799856782495   G   nearby_star  star      
HD 27442A                     04:16:28.928303861832347    -59:18:10.440785475650046    04.134786   01.2307635  02.8059291882567052  G   nearby_star  star      
HD 82342                      09:30:28.002934052531714    -32:06:07.222638678529734    08.002315   01.233228   06.537722976320682   G   nearby_star  star      
HD 222237                     23:39:37.90357963566805     -72:43:31.54600254449724     06.753961   01.2340404  06.460831218991208   G   nearby_star  star      
HD 117936                     13:33:31.854146816313715    +08:35:13.846023488584706    07.636478   01.2369864  06.343179312280334   G   nearby_star  star      
HD 168723                     18:21:18.01424610287171     -02:54:06.994369994723002    02.9904501  01.2370037  01.5888176746960436  G   nearby_star  star      
HD 202575                     21:16:32.62452423793235     +09:23:35.87768997923013     07.57446    01.2491275  06.530737111134413   G   nearby_star  star      
HD 65277                      07:57:57.61661852430777     -00:48:51.75615177362897     07.7376018  01.252549   06.503264785773326   G   nearby_star  star      
HD 222404                     23:39:20.58739991579074     +77:37:59.24933092857009     02.9429574  01.2568743  02.2451473261004695  G   nearby_star  star      
HD 97584                      11:15:10.390235793281022    +73:28:32.53658575179202     07.311935   01.2571221  06.510468290315211   G   nearby_star  star      
HD 47752                      06:41:15.951369225757617    +23:57:23.350633720648148    07.7434273  01.2621457  06.55851208672142    G   nearby_star  star      
HD 188474                     19:56:37.53739874127376     -31:20:06.636638298651633    08.074735   01.2625527  06.61927366154997    G   nearby_star  star      
HD 50281A                     06:52:17.468235872911038    -05:10:25.42185552046658     06.231057   01.276912   06.522327516410012   G   nearby_star  star      
HD 34673                      05:19:13.408179751590268    -03:04:23.53350030942056     07.4928217  01.279452   06.511590535607951   G   nearby_star  star      
HD 213042                     22:29:15.508392243378069    -30:01:19.26055298720769     07.298902   01.279471   06.317960243348269   G   nearby_star  star      
HD 65486                      07:58:04.799062900868591    -25:37:39.79585496159825     08.074065   01.2807343  06.742317035095003   G   nearby_star  star      
HD 101206                     11:38:59.53036100397611     +42:19:50.658454802669894    07.883088   01.2815127  06.45506149262547    G   nearby_star  star      
HD 170493                     18:29:52.59112281507953     -01:49:08.264950822074297    07.6835327  01.28371    06.3114015799048175  G   nearby_star  star      
HD 124642                     14:13:56.58668562570284     +30:13:04.674765719428478    07.6761713  01.286795   06.495503211905138   G   nearby_star  star      
HD 31560                      04:55:42.13872785971603     -28:33:53.70703582172473     07.7714148  01.288738   06.47006363354396    G   nearby_star  star      
HD 139477                     15:35:20.411658427728696    +60:05:10.567236870406305    08.033153   01.2921875  06.580443810733955   G   nearby_star  star      
HD 174080                     18:48:29.36409733190402     +10:44:36.63756010358111     07.606561   01.2924588  06.469432943051636   G   nearby_star  star      
Gaia DR3 2287506148856660992  23:40:57.63784615058256     +82:52:18.98617661002936     08.021398   01.295009   06.538426760974704   G   nearby_star  star      
HD 209100                     22:03:29.37789110316203     -56:47:50.116780424467834    04.322904   01.2974196  06.518328519925621   G   nearby_star  star      
HD 79555                      09:14:53.56727482290026     +04:26:34.47668099813927     07.653692   01.301781   06.392064187648303   G   nearby_star  star      
HD 120476A                    13:49:03.502861326297193    +26:58:45.9662624621883      07.203598   01.3036906  06.552503548473084   G   nearby_star  star      
HD 52919                      07:02:42.7012034474852      -06:48:02.231832734893942    07.9938097  01.3058187  06.587096978678593   G   nearby_star  star      
HD 101581                     11:41:01.4820888028340562   -44:24:14.813459382890414    07.394229   01.3137928  06.861005617195357   G   nearby_star  star      
HD 21209A                     03:23:17.58137937873279     -49:59:26.586496925177016    08.1923895  01.3162196  06.764688754257115   G   nearby_star  star      
HD 131977                     14:57:29.18262563554734     -21:25:23.3054265420335      05.3640366  01.3236036  06.5148024453245     G   nearby_star  star      
HD 160964                     17:36:13.669564430112189    +71:52:41.48656523768659     08.170528   01.3372544  06.771032440095119   G   nearby_star  star      
HD 55                         00:05:17.35891236268273     -67:50:06.292784066050444    08.09102    01.338969   07.0178969833839595  G   nearby_star  star      
HD 84035                      09:43:25.7122825412506      +42:41:16.401327959118134    07.743525   01.34031    06.467955317446571   G   nearby_star  star      
HD 216803                     22:56:24.465936417402077    -31:33:58.56826368380689     06.0918646  01.3403125  06.687360281455517   G   nearby_star  star      
HD 105671                     12:09:54.39248408105314     -46:12:31.55587406432005     08.066553   01.343103   06.585313401763569   G   nearby_star  star      
HD 190007                     20:02:46.94911869661553     +03:19:36.17671202882093     07.0766416  01.3455867  06.555038577164884   G   nearby_star  star      
HD 35171                      05:23:38.65994594793854     +17:19:26.729556053453962    07.543094   01.3481944  06.729967948999662   G   nearby_star  star      
HD 103932                     11:57:54.90406195542221     -27:42:35.30183360870478     06.5786986  01.3511114  06.541421439868094   G   nearby_star  star      
HD 27274                      04:15:58.30212387208924     -53:18:28.960102878410225    07.2427826  01.3524965  06.665734107890645   G   nearby_star  star      
HD 170573                     18:33:04.859552675797545    -54:15:49.757062949109354    08.08616    01.353733   06.678264030282538   G   nearby_star  star      
HD 24916A                     03:57:28.500884582297203    -01:09:36.356964434228075    07.6725683  01.3569513  06.751326275863445   G   nearby_star  star      
HD 142709                     15:57:40.37131771843889     -42:37:30.296659339730468    07.658037   01.366235   06.815573036793266   G   nearby_star  star      
HD 21749                      03:27:00.07173619061546788  -63:30:00.7212939905771236   07.686759   01.36957    06.621478032443255   G   nearby_star  star      
HD 24451                      04:01:21.106161321890013    +76:09:25.007667923373447    07.811384   01.3697727  06.761136512180522   G   nearby_star  star      
HD 153026A                    16:58:54.4251363305645      -39:33:27.184434574381157    08.068568   01.371133   06.685955169633047   G   nearby_star  star      
HD 110315                     12:41:06.603739875080947    +15:22:30.07299426274949     07.507833   01.371141   06.760430250247102   G   nearby_star  star      
HD 36003                      05:28:25.76640494360241     -03:30:11.157502788410056    07.242388   01.3723569  06.684685858215883   G   nearby_star  star      
HD 21197                      03:24:59.483256017522166    -05:22:01.8140376226713215   07.4652786  01.373713   06.538536709770322   G   nearby_star  star      
HD 40887C                     06:00:18.78210342652409     -31:01:41.21360993865238     08.256326   01.3760384  06.919824594962417   G   nearby_star  star      
HD 29697                      04:41:18.587731812319248    +20:54:01.377908602061325    07.53582    01.382415   06.93092518540871    G   nearby_star  star      
HD 283750                     04:36:48.52043089945994     +27:07:53.52844479654266     07.7456923  01.3840676  06.543550113205577   G   nearby_star  star      
HD 214749                     22:40:43.85118032871134     -29:40:28.3953650061635      07.41959    01.3870268  06.804279746456645   G   nearby_star  star      
HD 97214                      11:11:09.676955337084934    -10:56:53.705072490529346    08.79594    01.401878   07.303933840381566   G   nearby_star  star      
HD 156026                     17:16:12.790584023103122    -26:33:04.1259415852277925   05.889863   01.414836   07.015914043708414   G   nearby_star  star      
HD 111261                     12:48:10.33487034715506     -24:48:21.05483873590356     08.457304   01.420562   07.092300636390539   G   nearby_star  star      
HD 192961                     20:19:36.35520660347623     -46:25:42.84918243153879     08.282656   01.4282058  06.946396788428018   G   nearby_star  star      
HD 120476B                    13:49:03.479270127088654    +26:58:43.0676217203295      07.5811377  01.4291745  06.930820068641321   G   nearby_star  star      
HD 219764                     23:19:05.196580413991683    -60:31:15.077692164543805    08.482868   01.429612   07.004598666684491   G   nearby_star  star      
HD 97503                      11:13:12.89704655900124     +04:28:55.90537063908596     08.262637   01.4393814  06.944852291950024   G   nearby_star  star      
HD 68834                      08:14:35.453614053301266    +13:01:23.732930463933286    08.345874   01.441528   06.924826567516099   G   nearby_star  star      
HD 15468                      02:29:02.3954972453060464   -19:58:40.78394628424712     08.393935   01.447595   06.957454907296183   G   nearby_star  star      
Gaia DR3 4115142276679903360  17:21:00.8073982391900358   -21:06:46.152226454436516    09.391741   01.447674   08.177514033668396   G   nearby_star  star      
HD 152705                     16:56:42.74274241075716     -39:08:14.493327667939297    08.07022    01.4524535  07.0918068271221     G   nearby_star  star      
HD 85512                      09:51:07.7306230053631      -43:30:17.573886355108925    07.196408   01.4578348  06.935381250553206   G   nearby_star  star      
HD 201091                     21:06:59.63503056009017     +38:45:49.904807392681505    04.766713   01.4625896  07.048504809934679   G   nearby_star  star      
HD 154363                     17:05:02.413164452029548    -05:04:17.659181246923197    07.2647023  01.463962   07.166241411243615   G   nearby_star  star      
HD 4378A                      00:45:48.726710323985714    -41:54:34.271327670328446    07.9172573  01.464787   06.934331243570403   G   nearby_star  star      
Gaia DR3 5849837820492182272  14:42:28.211214994002205    -64:58:45.22292873192691     08.011327   01.4786185  06.931648266592551   G   nearby_star  star      
HD 48948                      06:49:57.571694873324475    +60:20:14.533401670050353    08.119934   01.482303   06.988623894167606   G   nearby_star  star      
HD 218511                     23:09:40.05529743550852     -67:44:01.582952103556181    07.8316374  01.482397   06.974798309429625   G   nearby_star  star      
HD 165341B                    18:05:27.81878616893607     +02:29:39.11552913384344     05.5392184  01.4856546  06.998906478674845   G   nearby_star  star      
HD 10436                      01:43:39.76835498422574     +63:49:14.910010917777072    07.9328227  01.492714   07.278304759022201   G   nearby_star  star      
HD 200779                     21:05:19.83048784670558     +07:04:00.45039440369498607  07.8166437  01.4962923  06.929528901186526   G   nearby_star  star      
