designation,simbad_HD,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,MG,MG_error,MBp,MBp_error,MRp,MRp_error,Bp_Rp,G_Rp,Bp_G
Gaia DR3 1062935140823485184,,10.960022,12.166856,9.866559,9.471649274809652,0.0009730374034671,10.67848327480965,0.0009730374034671,8.378186274809654,0.0009730374034671,2.300297,1.093463,1.206834
Gaia DR3 1070382098718626176,,12.987349,14.596175,11.765776,11.813678633504509,0.0005942838975192,13.42250463350451,0.0005942838975192,10.59210563350451,0.0005942838975192,2.830399,1.221573,1.608826
Gaia DR3 1070519572033023232,,12.8273325,14.576272,11.563854,11.799038287306884,0.0007407966660899,13.547977787306884,0.0007407966660899,10.535559787306884,0.0007407966660899,3.012418,1.2634785,1.7489395
Gaia DR3 1071194431653425280,,9.574072,10.847705,8.452195,9.203933155608183,0.0004434379329083,10.477566155608184,0.0004434379329083,8.082056155608184,0.0004434379329074,2.39551,1.121877,1.273633
Gaia DR3 1071195187567668480,,10.080184,11.482439,8.908713,9.709278859508304,0.0004694879529356,11.111533859508304,0.0004694879529356,8.537807859508305,0.0004694879529356,2.573726,1.171471,1.402255
Gaia DR3 1071851527289746176,,11.879788,13.359126,10.690241,10.561259239643077,0.0007932495860156,12.040597239643075,0.0007932495860156,9.371712239643076,0.0007932495860156,2.668885,1.189547,1.479338
Gaia DR3 1073206263054159104,,10.719594,12.188779,9.528312,10.19601158500722,0.0078574899032792,11.66519658500722,0.0078574899032792,9.004729585007219,0.0078574899032792,2.660467,1.191282,1.469185
Gaia DR3 1076941716370493696,,16.611965,17.15443,15.927201,15.380846847483632,0.0017736162240185,15.923311847483632,0.0017736162240185,14.69608284748363,0.0017736162240185,1.227229,0.684764,0.542465
Gaia DR3 1078773262224027520,HD 97584,7.311935,7.8670254,6.6099033,6.510468290315211,0.0004734271443203,7.0655586903152106,0.0004734271443203,5.80843659031521,0.0004734271443203,1.2571221,0.7020317,0.5550904
Gaia DR3 1078773262224027648,HD 97584B,10.608786,11.878637,9.474656,9.807235038220568,0.0005513720132537,11.07708603822057,0.0005513720132528,8.673105038220568,0.0005513720132528,2.403981,1.13413,1.269851
Gaia DR3 1083242222939300480,,11.55008,12.949233,10.384658,10.595641969654036,0.0010073210546028,11.994794969654034,0.0010073210546028,9.430219969654036,0.0010073210546011,2.564575,1.165422,1.399153
Gaia DR3 1088813933689615872,,9.652589,10.69761,8.641386,9.292007739090014,0.0004291641721989,10.337028739090012,0.0004291641721989,8.280804739090012,0.0004291641721989,2.056224,1.011203,1.045021
Gaia DR3 1089400763661597440,,16.000692,16.438784,15.398046,14.49832908629952,0.0016949872188876,14.936421086299518,0.0016949872188876,13.89568308629952,0.0016949872188876,1.040738,0.602646,0.438092
Gaia DR3 1092545710514654464,HD 72905,5.4989767,5.817055,5.012697,4.701313875303876,0.0015203841737942,5.019392175303876,0.0015203841737942,4.215034175303876,0.0015203841737942,0.804358,0.4862797,0.3180783
Gaia DR3 1092897519875582592,,8.685255,9.473858,7.81896,7.598121930685155,0.0005128069523343,8.386724930685155,0.0005128069523347,6.731826930685156,0.0005128069523343,1.654898,0.866295,0.788603
Gaia DR3 1093918828739878528,,8.615115,9.513581,7.6258993,7.859737039289164,0.0069261162882638,8.758203039289164,0.0069261162882634,6.870521339289165,0.0069261162882638,1.8876817,0.9892157,0.898466
Gaia DR3 1094235934764378112,,10.549882,11.88625,9.407161,9.98056346965439,0.0004755951516832,11.31693146965439,0.0004755951516832,8.83784246965439,0.0004755951516832,2.479089,1.142721,1.336368
Gaia DR3 1097353325107339776,,13.745982,15.973085,12.236307,13.298385472346927,0.0103483571526172,15.525488472346929,0.0103483571526172,11.788710472346926,0.0103483571526172,3.736778,1.509675,2.227103
Gaia DR3 1099288633074163328,,12.148522,13.946473,10.676184,11.84689502065588,0.0012373198638417,13.644846020655882,0.0012373198638417,10.37455702065588,0.0012373198638417,3.270289,1.472338,1.797951
Gaia DR3 1099288637370627072,,13.639243,,,13.342862776381953,0.0033251291503662,,,,,,,
Gaia DR3 1102868303634261632,,10.287039,11.403355,9.231059,8.89692690926535,0.0042453240312578,10.013242909265353,0.0042453240312578,7.84094690926535,0.0042453240312578,2.172296,1.05598,1.116316
Gaia DR3 1103079616027292416,,10.8454,12.2086115,9.691687,9.777140427764456,0.0007019263564593,11.140351927764456,0.0007019263564576,8.623427427764456,0.0007019263564593,2.5169245,1.153713,1.3632115
Gaia DR3 1104878103513141760,,13.014433,14.842112,11.734163,11.631212985241095,0.000880134653781,13.458891985241095,0.000880134653781,10.350942985241094,0.000880134653781,3.107949,1.28027,1.827679
