designation,simbad_HD,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,MG,MG_error,MBp,MBp_error,MRp,MRp_error,Bp_Rp,G_Rp,Bp_G
Gaia DR3 1099288637370627072,\N,13.639243,\N,\N,13.342862776381951,0.0033251291503662017,\N,\N,\N,\N,\N,\N,\N
Gaia DR3 1310513342280949376,\N,12.822794,\N,\N,11.50756039824478,0.00296077718730281,\N,\N,\N,\N,\N,\N,\N
Gaia DR3 133359735268433024,\N,12.650045,\N,\N,11.199153979124095,0.0027874596301913357,\N,\N,\N,\N,\N,\N,\N
Gaia DR3 1586968533013974528,\N,11.717453,\N,\N,11.37543440105333,0.0016656889874333558,\N,\N,\N,\N,\N,\N,\N
Gaia DR3 1669449084967072000,\N,15.768858,\N,\N,15.572559748576488,0.002157536099711699,\N,\N,\N,\N,\N,\N,\N
Gaia DR3 1807953087254264064,HD 190067B,12.654424,\N,\N,11.229188488771895,0.0023435067556576428,\N,\N,\N,\N,\N,\N,\N
Gaia DR3 1821614828476009344,\N,20.418549,\N,\N,19.10987367680717,0.12955176789641598,\N,\N,\N,\N,\N,\N,\N
Gaia DR3 1825712158557604352,\N,20.71029,\N,\N,19.670110147633885,0.0977739443121628,\N,\N,\N,\N,\N,\N,\N
Gaia DR3 1827996187813279360,\N,20.568031,\N,\N,19.415993315235035,0.07308253494474393,\N,\N,\N,\N,\N,\N,\N
Gaia DR3 1892539307048909184,\N,15.510378,\N,\N,14.038607550070147,0.004320281910845658,\N,\N,\N,\N,\N,\N,\N
Gaia DR3 2021981409373336448,\N,20.698986,\N,\N,20.10947819643115,0.07923715288320565,\N,\N,\N,\N,\N,\N,\N
Gaia DR3 2023983998015091584,\N,20.831068,\N,\N,19.482100644614945,0.11488342522231676,\N,\N,\N,\N,\N,\N,\N
Gaia DR3 2024942153671161472,\N,20.793224,\N,\N,18.923652434261477,0.14560993733152294,\N,\N,\N,\N,\N,\N,\N
Gaia DR3 2034222547258288000,\N,20.301674,\N,\N,19.006133805768478,0.037860883449516436,\N,\N,\N,\N,\N,\N,\N
Gaia DR3 211810233512673920,\N,11.64075,\N,\N,11.021370967556546,0.00154372819332238,\N,\N,\N,\N,\N,\N,\N
Gaia DR3 2163558855915069824,HD 200560B,11.583294,\N,\N,10.129873269034448,0.002035898869825914,\N,\N,\N,\N,\N,\N,\N
Gaia DR3 2617043665033973376,\N,14.60586,\N,\N,13.117602435499796,0.004400275052807601,\N,\N,\N,\N,\N,\N,\N
Gaia DR3 2759428634126128384,\N,12.3821945,\N,\N,10.911878719169612,0.004968464310598719,\N,\N,\N,\N,\N,\N,\N
Gaia DR3 3372159045217009920,HD 45088B,10.395799,\N,\N,9.55173550863484,0.005643739951721294,\N,\N,\N,\N,\N,\N,\N
Gaia DR3 3489338019474046720,HD 105452B,11.697051,\N,\N,10.802186283744508,0.005587111094706998,\N,\N,\N,\N,\N,\N,\N
Gaia DR3 3489874340630661248,\N,20.577303,20.42117,\N,20.447018529187474,0.02484535362611595,20.290885529187474,0.02484535362611595,\N,\N,\N,\N,-0.156133
Gaia DR3 3699797155055781760,\N,10.839606,\N,\N,9.611811579263328,0.006194789061245487,\N,\N,\N,\N,\N,\N,\N
Gaia DR3 3825820772648802688,\N,13.93621,\N,\N,12.445295339959166,0.0035267403354621862,\N,\N,\N,\N,\N,\N,\N
Gaia DR3 3934198156329808896,HD 110315B,12.853741,\N,\N,12.077069995264537,0.012967877377944248,\N,\N,\N,\N,\N,\N,\N
Gaia DR3 3943232534137347072,\N,11.070571,\N,8.683837,9.597948933787066,0.0024479697417367774,\N,\N,7.2112149337870655,0.0024479697417367774,\N,2.386734,\N
Gaia DR3 4039831777499368960,\N,20.037308,\N,\N,19.600269000228554,0.07691325982150055,\N,\N,\N,\N,\N,\N,\N
Gaia DR3 4041053231822960128,\N,19.925434,\N,\N,18.49098351977852,0.10594994434609362,\N,\N,\N,\N,\N,\N,\N
Gaia DR3 4041787121483029504,\N,19.689613,\N,\N,18.135250372985567,0.06554114082477547,\N,\N,\N,\N,\N,\N,\N
Gaia DR3 4042288631957418496,\N,19.791285,\N,\N,18.2627291503373,0.09697754914559376,\N,\N,\N,\N,\N,\N,\N
Gaia DR3 4043403300471915904,\N,19.840805,\N,\N,18.254598744528472,0.05801799174920852,\N,\N,\N,\N,\N,\N,\N
Gaia DR3 4059203007725676416,\N,20.299034,\N,\N,18.39203922019579,0.16362275565685103,\N,\N,\N,\N,\N,\N,\N
