"Gaia DR3 6910371005081903488","","103800"
"Gaia DR3 1092545710514654464","72905","42438"
"Gaia DR3 5046323965616929792","",""
"Gaia DR3 1078773262224027520","97584","54952"
"Gaia DR3 1078773262224027648","97584B",""
"Gaia DR3 2887328533953284096","","27359"
"Gaia DR3 5842905399625203328","",""
"Gaia DR3 2611163717366876544","216133","112774"
"Gaia DR3 1604859511344724864","126660","70497"
"Gaia DR3 6245870673116518784","","79431"
"Gaia DR3 5329084752471816192","",""
"Gaia DR3 1965478468902062464","",""
"Gaia DR3 4772342676044749952","",""
"Gaia DR3 1284721994948665216","","70218"
"Gaia DR3 3394298532176344960","35171","25220"
"Gaia DR3 4975847194422433280","",""
"Gaia DR3 3400292798990117888","35296","25278"
"Gaia DR3 1604859408265509632","126660B",""
"Gaia DR3 1333760419707327744","157214","84862"
"Gaia DR3 4094679437572611712","",""
"Gaia DR3 2395031273585836288","221503","116215"
"Gaia DR3 6171492113110925312","120036B",""
"Gaia DR3 89593331327905536","",""
"Gaia DR3 1155276250492687616","","74190"
"Gaia DR3 4470812298018311296","",""
"Gaia DR3 3299381442858615936","",""
"Gaia DR3 672091364541849344","","38082"
"Gaia DR3 383426372059603712","","1368"
"Gaia DR3 6748796396992580352","","99150"
"Gaia DR3 4714117865996976768","",""
"Gaia DR3 6748796362632835968","",""
"Gaia DR3 1123140411831352064","",""
"Gaia DR3 348515297330773120","10307","7918"
"Gaia DR3 5994771148252505216","142709","78170"
"Gaia DR3 5902750168276592256","136352","75181"
"Gaia DR3 4477025122831072768","",""
"Gaia DR3 139860666488305664","","13375"
"Gaia DR3 4423865487962417024","140538A","77052"
"Gaia DR3 1014058103758571520","",""
"Gaia DR3 3143635723866162432","",""
"Gaia DR3 393621524910343296","",""
"Gaia DR3 5835498883232034816","144628","79190"
"Gaia DR3 4586421272746553472","",""
"Gaia DR3 6465749496610128512","205390","106696"
"Gaia DR3 2995725777563537792","40136","28103"
"Gaia DR3 4660766641264343552","36705B",""
"Gaia DR3 4701057557644479232","",""
"Gaia DR3 6385548541499112448","",""
"Gaia DR3 746545172372256384","86728","49081"
"Gaia DR3 2043885295914531072","176051A",""
"Gaia DR3 1923896725839633024","",""
"Gaia DR3 2379962604166006016","","114411"
"Gaia DR3 4315804351350378496","182572","95447"
"Gaia DR3 5663558453071724288","84117","47592"
"Gaia DR3 3489338019475637760","105452","59199"
"Gaia DR3 1209281444150517120","",""
"Gaia DR3 6518076316215261568","",""
"Gaia DR3 1138963758544545280","",""
"Gaia DR3 1209281375431039104","","76316"
"Gaia DR3 3850237416912716928","",""
"Gaia DR3 4581486217883307008","",""
"Gaia DR3 1159745146784043264","",""
"Gaia DR3 2467242352575094784","",""
"Gaia DR3 4975284381908412672","4391","3583"
"Gaia DR3 2918040883015489408","",""
"Gaia DR3 6366571314402539008","",""
"Gaia DR3 3015684005638599168","",""
"Gaia DR3 5885471411757745408","",""
"Gaia DR3 892348454394856064","60179C",""
"Gaia DR3 3127503620545728128","",""
"Gaia DR3 1889703529122914560","","112909"
"Gaia DR3 3127574019351694848","",""
"Gaia DR3 3968118399284369280","",""
"Gaia DR3 1631591147276525696","",""
"Gaia DR3 5183110874332308480","",""
"Gaia DR3 2920772722738017920","52698","33817"
"Gaia DR3 2136665454312416128","",""
"Gaia DR3 6319027263385067264","",""
"Gaia DR3 5309974484478157696","",""
"Gaia DR3 4510987662629223424","229793","92573"
"Gaia DR3 3023711269067191296","38858","27435"
"Gaia DR3 5482827676662168832","","31300"
"Gaia DR3 5588607120530408832","63077","37853"
"Gaia DR3 6009538585839374336","140901","77358"
"Gaia DR3 890284258753196544","",""
"Gaia DR3 4934923028038871296","7570","5862"
"Gaia DR3 1573086507223498496","",""
"Gaia DR3 3858896247076028288","",""
"Gaia DR3 1573086442800134272","238090","59514"
"Gaia DR3 2905516483501493120","",""
"Gaia DR3 3724242219117947904","122742","68682"
"Gaia DR3 3256334497479041024","24916A","18512"
"Gaia DR3 2507016253701863040","",""
"Gaia DR3 5170039467784804096","21197","15919"
"Gaia DR3 3479221035031532416","",""
"Gaia DR3 5588141992752796800","",""
"Gaia DR3 3256334497479304832","24916B",""
"Gaia DR3 117709729140217216","",""
"Gaia DR3 6096529059601571200","",""
"Gaia DR3 2620145937091715072","",""
"Gaia DR3 2312376723918929920","",""
"Gaia DR3 2213428064767263360","",""
"Gaia DR3 3278137572540701056","",""
"Gaia DR3 4896480390678599168","",""
"Gaia DR3 1683609076745527680","",""
"Gaia DR3 5408648849826522112","","48904"
"Gaia DR3 2797745549200773120","",""
"Gaia DR3 1791995119082190848","",""
"Gaia DR3 6564091190988411520","207129","107649"
"Gaia DR3 2835207319109249920","217014","113357"
"Gaia DR3 5329751125239019392","",""
"Gaia DR3 1635375460142367104","153597","82860"
"Gaia DR3 1083242222939300480","",""
"Gaia DR3 6260386975385254656","139763","76779"
"Gaia DR3 3774789959807192064","","52186"
"Gaia DR3 2046207670631964928","182488","95319"
"Gaia DR3 4880837088995983360","",""
"Gaia DR3 4240815184408080512","",""
"Gaia DR3 5945941905576552064","160691","86796"
"Gaia DR3 1833199729671740800","190404","98792"
"Gaia DR3 3134682194522547968","",""
"Gaia DR3 1244571953471006720","120136","67275"
"Gaia DR3 3845035696121944576","",""
"Gaia DR3 6572227714472220288","",""
"Gaia DR3 6143501502007380608","",""
"Gaia DR3 4880837088995421952","",""
"Gaia DR3 2636589099125426816","217580","113718"
"Gaia DR3 5970189332424492160","152705",""
"Gaia DR3 3244915072792668416","","18280"
"Gaia DR3 3213958769587525888","34673","24819"
"Gaia DR3 1235125877277843840","",""
"Gaia DR3 6614285855300051840","213042","110996"
"Gaia DR3 5970189504223192960","",""
"Gaia DR3 1655482224982135040","",""
"Gaia DR3 5943550124208359552","",""
"Gaia DR3 6328672145023976960","127339","70956"
"Gaia DR3 3345968334645285376","41593","28954"
"Gaia DR3 5970189504209690496","",""
"Gaia DR3 6579894402894605824","","104644"
"Gaia DR3 5805810454276181120","","82256"
"Gaia DR3 4419140645978987904","135599","74702"
"Gaia DR3 1130450270073924608","","47981"
"Gaia DR3 6832674634380238848","203040","105341"
"Gaia DR3 1372215976327300480","",""
"Gaia DR3 6398188767690594048","",""
"Gaia DR3 6868221463056407168","",""
"Gaia DR3 4590758227641991424","165908","88745"
