HIP,designation_DR3,designation_DR2,designation_DR1,Plx,e_Plx,simbad_parallax,simbad_parallax_error,simbad_distance_parallax
HIP 2081,Gaia DR3 4993479684438433792,\N,\N,42.14,0.78,38.5,0.7300000191,25.974
HIP 75266,Gaia DR3 4420712604009198080,Gaia DR2 4420712604009198080,Gaia DR1 4420712599713376640,39.35,1.37,38.501,0.0241999999,25.9734
HIP 110066,Gaia DR3 6512176375093055744,Gaia DR2 6512176375093055744,\N,39.38,1.13,38.5442,0.0197999999,25.9442
HIP 57494,Gaia DR3 3585636855608873984,Gaia DR2 3585636855608873984,Gaia DR1 3585636851311975552,40.57,2.66,38.5497,0.0288999993,25.9405
HIP 60370,Gaia DR3 6150200345317455232,Gaia DR2 6150200345317455232,Gaia DR1 6150200341022048000,39.02,0.8,38.5703,0.0217000004,25.9267
HIP 53910,Gaia DR3 856096765753549056,Gaia DR2 856096765752993280,\N,41.07,0.6,38.6031,1.1284999847,25.9047
HIP 109084,Gaia DR3 2613420563766963200,Gaia DR2 2613420563766963200,Gaia DR1 2613420563766963200,46.7,7.86,38.6157,0.5328999758,25.8962
HIP 17207,Gaia DR3 3271668905115228672,Gaia DR2 3271668905115228672,Gaia DR1 3271668969538328576,39.87,2.01,38.6196,0.0423999988,25.8936
HIP 19165,Gaia DR3 5091077112524265344,Gaia DR2 5091077112523802112,Gaia DR1 5091077108227400576,42.54,1.64,38.6445,0.0173000004,25.8769
HIP 65327,Gaia DR3 1565976794456209792,Gaia DR2 1565976794456209792,\N,39.84,1.44,38.6834,0.4420000017,25.8509
HIP 36853,Gaia DR3 865699110037321600,Gaia DR2 865699110037321600,Gaia DR1 865699105740762496,39.31,3.31,38.6981,0.0187999997,25.8411
HIP 10688,Gaia DR3 4743263514068260608,Gaia DR2 4743263514067898240,\N,40.4,2.95,38.7109,0.0205000006,25.8325
HIP 35628,Gaia DR3 1108183342844837888,Gaia DR2 1108183342844837888,Gaia DR1 1108183338545326336,39.1,1.15,38.7432,0.0198999997,25.811
HIP 117542,Gaia DR3 2327840667768506368,Gaia DR2 2327840667768506368,Gaia DR1 2327840663474971392,39.53,1.13,38.7568,0.0285,25.8019
HIP 61100,Gaia DR3 1571145907856592768,Gaia DR2 1571145907856592768,\N,42.13,3.11,38.7846,0.5583999753,25.7834
HIP 2711,Gaia DR3 4925088171405735680,Gaia DR2 4925088171405735680,\N,39.03,0.62,38.8246,0.0465999991,25.7569
HIP 32423,Gaia DR3 937667952871051776,Gaia DR2 937667952870489856,Gaia DR1 937667948573715072,40.02,1.22,38.8281,0.0215000007,25.7545
HIP 73252,Gaia DR3 1614477420588506240,Gaia DR2 1614477420588506240,Gaia DR1 1614477416292556544,39.95,0.92,38.8326,0.0138999997,25.7516
HIP 105675,Gaia DR3 6453300894679705984,Gaia DR2 6453300894679705984,Gaia DR1 6453300890383166720,39.39,1.26,38.9387,0.0182000007,25.6814
HIP 39710,Gaia DR3 5596797039059063680,Gaia DR2 5596797039059063680,Gaia DR1 5596797034747496576,39.08,0.77,38.9581,0.0173000004,25.6686
HIP 42173,Gaia DR3 594989417312890368,Gaia DR2 594989417312890368,Gaia DR1 594989413017794944,42.71,4.61,38.9809,0.0412000008,25.6536
HIP 53947,Gaia DR3 3969885761146749952,Gaia DR2 3969885761146749952,Gaia DR1 3969885756851667584,57.46,25.52,38.9897,0.0225000009,25.6478
HIP 53953,Gaia DR3 3969885761146749824,Gaia DR2 3969885761146749824,Gaia DR1 3969885756851667712,59.31,12.56,38.9927,0.0221999995,25.6458
HIP 17157,Gaia DR3 4833306713154584704,Gaia DR2 4833306713154584704,Gaia DR1 4833306708858124416,39.84,1.11,39.0821,0.0177999996,25.5872
HIP 48502,Gaia DR3 5463156589008251648,Gaia DR2 5463156589008251648,Gaia DR1 5463156584711913856,39.02,2.52,39.0922,0.2419999987,25.5806
HIP 32939,Gaia DR3 5562061542577445760,Gaia DR2 5562061542577445760,Gaia DR1 5562061538279299840,39.19,1.01,39.128,0.0091000004,25.5571
HIP 66704,Gaia DR3 1558718059209082752,Gaia DR2 1558718059209082752,Gaia DR1 1558718054912221952,39.64,0.71,39.1793,0.0253999997,25.5237
HIP 111170,Gaia DR3 2622845684814477696,Gaia DR2 2622845684814477696,\N,39.18,1.83,39.1884,0.6248999834,25.5178
HIP 4443,Gaia DR3 2472505371140957952,Gaia DR2 2472505371140425472,Gaia DR1 2472505366844289536,41.73,2.29,39.1987,0.0284000002,25.5111
HIP 62505,Gaia DR3 3523699441470095104,Gaia DR2 3523699441470095104,\N,47.19,1.93,39.2109,0.6151999831,25.5031
HIP 18180,Gaia DR3 4857520536178521344,Gaia DR2 4857520536178521344,\N,39.48,2.69,39.2185,0.0179999992,25.4982
HIP 26501,\N,\N,Gaia DR1 4796263715441768832,39.59,0.94,39.22,0.75,25.4972
HIP 86742,Gaia DR3 4473334474604992384,Gaia DR2 4473334474601314560,\N,39.78,0.75,39.2284,0.202700004,25.4917
HIP 117946,Gaia DR3 2847644410526748416,Gaia DR2 2847644410526748416,Gaia DR1 2847644406230983680,39.35,1.16,39.2555,0.0220999997,25.4741
HIP 76233,Gaia DR3 4400452830957830656,Gaia DR2 4400452830957830656,Gaia DR1 4400452826661590656,39.78,0.83,39.2622,0.0277999993,25.4698
HIP 12186,Gaia DR3 5062172841616745856,Gaia DR2 5062172841616745856,\N,39.16,0.64,39.2946,0.0305000003,25.4488
