HIP,designation_DR3,designation_DR2,designation_DR1,Plx,e_Plx,simbad_parallax,simbad_parallax_error,simbad_distance_parallax
HIP 36635,Gaia DR3 1108529414127974656,Gaia DR2 1108529409830717184,Gaia DR1 1108529409830717184,40.48,2.14,42.759,0.023,23.3869
HIP 106972,Gaia DR3 1800750014779745152,Gaia DR2 1800750014778522240,\N,39.78,3.7,42.8021,0.5033000112,23.3633
HIP 37606,Gaia DR3 5531762678610961664,Gaia DR2 5531762678610961664,\N,41.43,0.81,42.8213,0.3774999976,23.3529
HIP 13258,Gaia DR3 33439176553394048,Gaia DR2 33439176553394048,Gaia DR1 33439206617713792,44.61,1.33,42.8445,0.0252,23.3402
HIP 102766,Gaia DR3 1859954627138933888,Gaia DR2 1859954627138933888,Gaia DR1 1859954622830328320,42.23,0.98,42.8598,0.0179999992,23.3319
HIP 34673,Gaia DR3 3032390401547521024,Gaia DR2 3032390401547521024,Gaia DR1 3032390397243449216,39.4,1.44,42.8656,0.0178999994,23.3287
HIP 45637,Gaia DR3 5300714225746375424,Gaia DR2 5300714225746375424,Gaia DR1 5300714221429136128,42.59,1.09,42.8736,0.0114000002,23.3244
HIP 111983,Gaia DR3 6519227714961476352,Gaia DR2 6519227714961476352,Gaia DR1 6519227710665462912,43.65,1.3,42.878,0.0132999998,23.322
HIP 75798,Gaia DR3 6258382634409906560,Gaia DR2 6258382634409906560,Gaia DR1 6258382561387715072,39.78,2.0,42.8809,0.0211999994,23.3204
HIP 11072,Gaia DR3 5119953517683718400,Gaia DR2 5119953517683718400,\N,45.6,0.82,42.9117,0.4165999889,23.3037
HIP 90496,Gaia DR3 4076915349846977664,Gaia DR2 4076915349748285952,\N,42.2,0.9,42.9198,0.2127999961,23.2993
HIP 89474,Gaia DR3 2115351387048328832,Gaia DR2 2115351387048328832,Gaia DR1 2115351382751264512,44.08,0.51,42.9348,0.0157999992,23.2911
HIP 6917,Gaia DR3 288781167053300480,Gaia DR2 288781167053300480,Gaia DR1 288781162757755008,43.16,0.93,42.9461,0.0749000013,23.285
HIP 49366,Gaia DR3 3766401961693098368,Gaia DR2 3766401961693098368,Gaia DR1 3766401957398155136,43.14,1.11,42.9562,0.0243999995,23.2795
HIP 106400,Gaia DR3 2216158427021654528,Gaia DR2 2216158427021654528,Gaia DR1 2216158422717646336,43.2,0.95,42.9756,0.0127999997,23.269
HIP 27922,Gaia DR3 2966316109264052096,Gaia DR2 2966316109264052096,\N,43.86,1.19,42.9759,0.0154999997,23.2689
HIP 78913,Gaia DR3 1379416712336909440,Gaia DR2 1379416712336909440,Gaia DR1 1379416708040819328,42.57,0.86,43.0188,0.0164000001,23.2457
HIP 114954,Gaia DR3 2384877214983800448,Gaia DR2 2384877214983800448,Gaia DR1 2384877210688388736,47.58,1.99,43.0269,0.0175000001,23.2413
HIP 72622,Gaia DR3 6309703507861332736,\N,\N,42.25,1.05,43.03,0.1899999976,23.2396
HIP 108028,Gaia DR3 1781003885454165888,Gaia DR2 1781003885454165888,Gaia DR1 1781003881159720576,41.71,0.98,43.0319,0.0223999992,23.2386
HIP 56284,Gaia DR3 3547944531854903168,Gaia DR2 3547944531854903168,Gaia DR1 3547944527560319104,43.66,2.55,43.0899,0.0212999992,23.2073
HIP 89490,Gaia DR3 4526778333217510656,Gaia DR2 4526778333217510656,Gaia DR1 4526778328916444160,43.1,2.18,43.1216,0.1724999994,23.1902
HIP 102488,Gaia DR3 1869302503206674304,Gaia DR2 1869302503184405760,\N,45.26,0.53,43.1769,0.9383999705,23.1605
HIP 89348,Gaia DR3 2161275788716592256,Gaia DR2 2161275788716592256,\N,42.56,0.45,43.1837,0.0939999968,23.1569
HIP 73241,Gaia DR3 5901924435035073152,Gaia DR2 5901924435035073152,Gaia DR1 5901924430717349632,40.79,0.86,43.1904,0.1371999979,23.1533
HIP 10542,\N,\N,Gaia DR1 5143341362663177216,44.96,1.69,43.2,1.3200000525,23.1481
HIP 84212,Gaia DR3 4364702279101280256,Gaia DR2 4364702279101280256,\N,47.05,3.27,43.2586,0.3562000096,23.1168
HIP 15099,Gaia DR3 14163878724940672,Gaia DR2 14163878724940672,Gaia DR1 14163874429353728,44.96,1.09,43.2649,0.0252,23.1134
HIP 3813,Gaia DR3 4926529081393983104,Gaia DR2 4926529081393983104,Gaia DR1 4926529077097016192,46.32,2.06,43.2683,0.0144999996,23.1116
HIP 81520,Gaia DR3 5927236979422123264,Gaia DR2 5927236979422123264,Gaia DR1 5927236975095622656,46.13,0.91,43.2721,0.0222999994,23.1096
HIP 11852,Gaia DR3 4644127147661088256,Gaia DR2 4644127147661088256,Gaia DR1 4644127143365405184,44.31,0.8,43.3064,0.0133999996,23.0913
HIP 46417,Gaia DR3 1144584084028819072,Gaia DR2 1144584084028819072,Gaia DR1 1144584457689559296,43.54,1.05,43.3068,0.0160000008,23.0911
HIP 105905,Gaia DR3 6460163255986109056,Gaia DR2 6460163255986109056,Gaia DR1 6460163251690092416,43.12,1.17,43.3617,0.0183000006,23.0618
HIP 59000,Gaia DR3 3518916943846357376,Gaia DR2 3518916943846357376,Gaia DR1 3518916939550517248,44.41,1.51,43.3654,0.0917999968,23.0599
HIP 69357,Gaia DR3 6303961686341504512,Gaia DR2 6303961686341504512,Gaia DR1 6303961682045580416,43.35,1.4,43.3858,0.0258000009,23.049
HIP 54922,\N,\N,Gaia DR1 3538007416345998592,44.12,1.66,43.39,1.2000000477,23.0468
HIP 84379,Gaia DR3 4573412435280434560,Gaia DR2 4573412435276520320,\N,41.55,0.65,43.41,0.150000006,23.0362
HIP 51502,Gaia DR3 1146337324038514176,Gaia DR2 1146337324038514176,\N,46.54,0.55,43.4367,0.5982999802,23.022
HIP 111449,Gaia DR3 6628926642897745664,Gaia DR2 6628926642897745664,\N,43.97,0.75,43.4396,0.0828000009,23.0205
HIP 3008,Gaia DR3 416135846558362112,Gaia DR2 416135846558362112,Gaia DR1 416135842258661248,43.4,1.94,43.4445,0.0164999999,23.0179
HIP 69962,Gaia DR3 3639984066101401344,Gaia DR2 3639984066101401344,\N,46.46,1.73,44.3763,0.7670000196,22.5346
HIP 13772,Gaia DR3 5076269164798851712,\N,\N,44.49,2.55,44.51,2.0899999142,22.4669
HIP 59750,Gaia DR3 3581001280225616128,Gaia DR2 3581001280225616128,\N,44.34,1.01,44.74,0.8100000024,22.3514
HIP 78734,Gaia DR3 6036117973770712448,Gaia DR2 6036117973770712448,\N,43.0,1.95,45.4054,0.5332999825,22.0238
HIP 67808,Gaia DR3 3728535399707693696,Gaia DR2 3728535399707693696,\N,47.95,1.77,45.6154,0.1697999984,21.9224
HIP 15439,Gaia DR3 5046897017332803584,Gaia DR2 5046897017332803584,\N,48.81,2.61,45.8737,0.1706999987,21.799
HIP 1768,\N,Gaia DR2 2323302296085774464,\N,44.57,7.12,45.9535,0.3434999883,21.7611
HIP 63742,Gaia DR3 3677911582262521728,Gaia DR2 3677911582262521728,\N,45.2,1.27,46.1,0.8100000024,21.692
HIP 98416,Gaia DR3 4191794317470513664,Gaia DR2 4191794317470513664,\N,40.75,1.35,46.9328,0.92900002,21.3071
HIP 2762,Gaia DR3 2528433919872925312,Gaia DR2 2528433919872925312,\N,47.51,1.15,47.05,0.6700000167,21.254
HIP 106803,\N,\N,Gaia DR1 6403170375701631616,47.58,5.17,47.06,2.5499999523,21.2495
HIP 105712,\N,Gaia DR2 6399747669021004928,\N,48.86,0.81,48.0625,0.3420000076,20.8062
HIP 61495,Gaia DR3 6131930516518662144,Gaia DR2 6131930516518662144,\N,55.29,9.42,48.2102,0.5963000059,20.7425
HIP 106694,\N,Gaia DR2 1953952391581618432,\N,46.8,3.37,48.2934,0.1827999949,20.7068
HIP 101150,\N,Gaia DR2 1856712201709083136,\N,43.24,4.37,49.0286,0.9089000225,20.3963
HIP 45170,Gaia DR3 607464716759460480,Gaia DR2 607464716759460480,Gaia DR1 607464712464224384,48.83,0.92,49.1493,0.3467000127,20.3462
HIP 104887,Gaia DR3 1964791583368233088,Gaia DR2 1964791583368232832,\N,47.8,0.61,49.16,0.400000006,20.3417
HIP 95149,Gaia DR3 6742873637093574400,Gaia DR2 6742873637093574400,\N,47.95,1.28,50.2864,0.3959000111,19.8861
HIP 70857,Gaia DR3 1721626615421969408,Gaia DR2 1721626615421969408,\N,51.04,0.58,50.7601,0.4339999855,19.7005
HIP 75718,Gaia DR3 6317854874752594048,Gaia DR2 6317854874752594048,\N,50.34,1.11,51.1421,0.7369999886,19.5534
HIP 82396,Gaia DR3 6026152137856166912,\N,\N,49.85,0.81,51.19,0.2199999988,19.5351
HIP 8796,Gaia DR3 299464296907113984,Gaia DR2 299464296906886016,\N,50.87,0.82,51.331,0.5562999845,19.4814
HIP 38910,\N,Gaia DR2 5594041731633230720,\N,54.62,4.31,51.4977,0.554700017,19.4183
HIP 110778,\N,Gaia DR2 2595463996992115840,\N,49.8,2.54,51.5079,0.1296000034,19.4145
HIP 107089,Gaia DR3 6356375508718385024,Gaia DR2 6356375508717699584,\N,47.22,2.9,51.5172,0.6524999738,19.411
HIP 9236,Gaia DR3 4713424658275847168,Gaia DR2 4713424658274227456,\N,45.74,0.55,51.5547,0.8302999735,19.3969
HIP 17750,\N,Gaia DR2 493650660396520064,\N,57.53,2.68,52.3391,0.6474999785,19.1062
HIP 12709,Gaia DR3 84675937371332608,Gaia DR2 84675937371332608,\N,53.89,1.27,53.5579,0.181400001,18.6714
HIP 67620,Gaia DR3 6190970236474307200,Gaia DR2 6190970236474307200,\N,50.2,0.85,53.8785,0.3427000046,18.5603
HIP 42881,\N,Gaia DR2 5522248290957129088,\N,54.68,3.89,53.89,2.2000000477,18.5563
HIP 104858,Gaia DR3 1743871762876699776,Gaia DR2 1743871762876699776,\N,54.11,0.85,54.09,0.6600000262,18.4877
HIP 54872,Gaia DR3 3990320597065899776,\N,\N,56.52,0.83,55.82,0.25,17.9147
HIP 75312,Gaia DR3 1276781047094217216,\N,\N,53.7,1.24,55.98,0.7799999714,17.8635
HIP 65109,Gaia DR3 6165699748417797504,Gaia DR2 6165699748415726848,\N,55.64,0.74,56.0571,1.1146999598,17.839
HIP 64241,Gaia DR3 3937881211045638400,\N,\N,69.81,27.58,56.1,0.8899999857,17.8253
HIP 34052,Gaia DR3 5559266893257154176,Gaia DR2 5559266893257154176,\N,58.89,0.94,57.7938,0.3355000019,17.3029
HIP 45617,Gaia DR3 695614900422221440,\N,\N,57.05,1.08,57.92,0.7599999905,17.2652
HIP 67960,\N,\N,Gaia DR1 6176833914259261568,59.57,2.65,57.93,1.4800000191,17.2622
HIP 11452,Gaia DR3 2515752565074318720,Gaia DR2 2515752565074318720,\N,60.22,1.75,58.33,1.0800000429,17.1438
HIP 118212,Gaia DR3 1927184643563033856,Gaia DR2 1927184643563033856,\N,57.62,2.82,58.4067,0.8984000087,17.1213
HIP 94739,Gaia DR3 6664255566408783872,Gaia DR2 6664255566408783872,\N,63.43,2.16,59.2783,0.6441000104,16.8696
HIP 12351,Gaia DR3 4726387007013852672,Gaia DR2 4726387007013852672,\N,60.51,1.3,59.37,1.2200000286,16.8435
HIP 746,Gaia DR3 423018377034969216,\N,\N,59.89,0.56,59.58,0.3799999952,16.7842
HIP 101955,Gaia DR3 1735416587180214528,Gaia DR2 1735416587178908544,\N,53.82,2.21,59.8,3.4200000763,16.7224
HIP 38382,Gaia DR3 3035507276491946368,\N,\N,59.98,0.95,60.59,0.5899999738,16.5044
HIP 85667,Gaia DR3 4373199682919943808,\N,\N,60.8,1.42,61.19,0.6800000072,16.3425
HIP 108752,Gaia DR3 1775651840806925312,Gaia DR2 1775651840806925312,\N,60.94,2.14,61.79,2.2300000191,16.1838
HIP 77349,Gaia DR3 6268621389764361344,Gaia DR2 6268621389764361344,\N,64.16,2.49,62.5155,0.2773000002,15.996
HIP 34104,Gaia DR3 3046530292874936448,Gaia DR2 3046530292874936448,\N,64.96,2.74,63.5507,0.5142999887,15.7355
HIP 52296,\N,Gaia DR2 5443030196164951168,\N,61.3,2.42,63.9761,0.0544999987,15.6308
HIP 95501,Gaia DR3 4289041379340453376,Gaia DR2 4289041379334773888,\N,65.05,0.81,64.41,1.0,15.5255
HIP 42748,\N,\N,Gaia DR1 598180814236806656,74.95,13.82,64.8,2.3499999046,15.4321
HIP 105199,Gaia DR3 2193192137376175488,\N,\N,66.84,0.49,66.5,0.1099999994,15.0376
HIP 3937,\N,Gaia DR2 2805045756653326080,\N,83.2,9.08,66.8084,0.1229000017,14.9682
HIP 86032,Gaia DR3 4493746564376875520,\N,\N,69.84,0.88,67.13,1.0599999428,14.8965
HIP 35296,Gaia DR3 5510446584122149120,Gaia DR2 5510446511101630208,\N,67.69,0.86,68.52,0.5600000024,14.5943
HIP 67308,\N,\N,Gaia DR1 6171492074455952128,61.07,2.93,69.01,1.3500000238,14.4907
HIP 52190,\N,Gaia DR2 5442691069843124992,\N,68.38,3.76,71.51,2.4800000191,13.9841
HIP 52600,\N,Gaia DR2 776067089642433664,\N,70.87,2.36,72.9871,0.2603000104,13.7011
HIP 16134,Gaia DR3 5101578445000656128,Gaia DR2 5101578445000656128,\N,79.26,2.25,80.04,0.9900000095,12.4938
HIP 55691,Gaia DR3 5334356223546961536,Gaia DR2 5334356223546961536,\N,77.58,1.82,82.5253,1.5119999647,12.1175
HIP 49969,Gaia DR3 3828751074215823872,Gaia DR2 3828751074215823872,\N,81.23,2.37,86.6489,0.701399982,11.5408
HIP 67927,Gaia DR3 1244946371540479616,Gaia DR2 1244946371540223872,\N,88.17,0.75,87.75,1.2400000095,11.396
HIP 72896,\N,Gaia DR2 1266092694561970432,\N,97.83,5.99,87.935,0.1779000014,11.372
HIP 473,\N,\N,Gaia DR1 386653743629274880,85.1,2.74,88.44,1.5599999428,11.3071
HIP 86400,Gaia DR3 4377160604838377600,Gaia DR2 4377160604838377600,\N,93.36,1.25,90.91,0.6700000167,10.9999
HIP 29316,Gaia DR3 3329959136109041536,Gaia DR2 3329959337967090048,\N,92.77,4.56,91.65,3.5,10.9111
HIP 62556,\N,Gaia DR2 1677568527365572224,\N,98.14,1.67,97.91,1.8300000429,10.2135
HIP 84123,\N,Gaia DR2 4367834169251323136,\N,92.58,5.11,98.19,12.0900001526,10.1843
HIP 46706,\N,Gaia DR2 5690031948585514496,\N,94.95,4.31,99.88,3.5999999046,10.012
HIP 94349,Gaia DR3 4268226078065241600,Gaia DR2 4268226078065241600,\N,98.56,2.66,106.2794,1.0634000301,9.4092
HIP 65026,Gaia DR3 1552921051659352960,Gaia DR2 1552921051659352960,\N,96.41,2.02,109.9837,0.8292000294,9.0923
HIP 23452,\N,Gaia DR2 2974726131970829952,\N,117.38,1.81,119.3399,0.1538999975,8.3794
HIP 5496,Gaia DR3 4704272495284592512,Gaia DR2 4704272495284592512,\N,122.86,7.53,121.4487,1.192999959,8.2339
HIP 89937,Gaia DR3 2266693630693936512,Gaia DR2 2266693630693473024,\N,124.11,0.48,124.11,0.8700000048,8.0574
HIP 80346,Gaia DR3 1411178510887026048,Gaia DR2 1411178510887026048,\N,124.34,1.16,127.4785,0.4817999899,7.8445
HIP 106255,Gaia DR3 6894054664842632448,Gaia DR2 6894054664842632448,\N,124.82,28.85,134.0831,1.1124999523,7.4581
HIP 84709,Gaia DR3 5975663422846187008,\N,\N,143.45,17.12,146.29,9.029999733,6.8357
HIP 82817,Gaia DR3 4339465085630200960,Gaia DR2 4339465085630200960,\N,174.23,3.9,161.41,5.6399998665,6.1954
HIP 84140,\N,Gaia DR2 1364668825433454848,\N,158.17,3.26,167.29,5.0199999809,5.9776
HIP 73182,\N,Gaia DR2 6232511675556408320,\N,133.63,33.56,168.77,21.5400009155,5.9252
HIP 1242,Gaia DR3 2368293487261055488,Gaia DR2 2368293487260807040,\N,191.86,17.24,200.53,9.4099998474,4.9868
HIP 30920,\N,Gaia DR2 3117120863523946368,\N,242.89,2.64,242.9659,0.8833000064,4.1158
