HIP,designation_DR3,designation_DR2,designation_DR1,HD,Plx,simbad_parallax,e_Plx,simbad_parallax_error,B_minus_V,Vmag,SpType,simbad_distance_parallax
HIP 46651,\N,\N,\N,82434,53.89,53.15,0.7,0.3700000048,0.371000000000000000000000000000,3.6,F2IV,18.8147
HIP 63942,\N,\N,\N,\N,53.78,53.18,2.38,1.7300000191,1.290000000000000000000000000000,9.44,M0,18.8041
HIP 107522,\N,\N,\N,206804,52.56,53.68,1.88,1.3999999762,1.322000000000000000000000000000,8.77,K7V,18.6289
HIP 42881,\N,Gaia DR2 5522248290957129088,\N,\N,54.68,53.89,3.89,2.2000000477,1.432000000000000000000000000000,10.65,M2V:,18.5563
HIP 68933,\N,\N,\N,123139,53.52,55.45,0.79,0.200000003,1.011000000000000000000000000000,2.06,K0IIIb,18.0343
HIP 8903,\N,\N,\N,11636,54.74,55.6,0.75,0.5799999833,0.165000000000000000000000000000,2.64,A5V...,17.9856
HIP 38423,\N,\N,\N,64379,55.48,55.73,0.54,0.3400000036,0.470000000000000000000000000000,5.01,F3/F5V,17.9437
HIP 93825,\N,\N,\N,177474,55.89,57.79,1.94,0.75,0.523000000000000000000000000000,4.23,F7IV-V,17.304
HIP 67960,\N,\N,Gaia DR1 6176833914259261568,121271,59.57,57.93,2.65,1.4800000191,1.414000000000000000000000000000,9.53,K5/M0V,17.2622
HIP 54658,\N,\N,\N,\N,59.01,59.16,3.92,2.5399999619,1.632000000000000000000000000000,10.92,M4,16.9033
HIP 28442,\N,\N,\N,40887,66.82,61,24.41,21.3899993896,1.137000000000000000000000000000,7.85,K3/K4V,16.3934
HIP 4927,\N,\N,\N,\N,61.23,61.62,5.26,3.2999999523,1.590000000000000000000000000000,11.36,M,16.2285
HIP 3588,\N,\N,\N,4378,62.41,63.22,1.6,0.9700000286,1.251000000000000000000000000000,7.89,K5V comp SB,15.8178
HIP 82926,\N,\N,\N,\N,68.71,63.36,5.02,4.1100001335,1.510000000000000000000000000000,11.18,M3Ve+...,15.7828
HIP 52296,\N,Gaia DR2 5443030196164951168,\N,\N,61.3,63.9761,2.42,0.0544999987,1.464000000000000000000000000000,9.97,M0V,15.6308
HIP 36850,\N,\N,\N,60179,63.27,64.12,1.23,3.75,0.034000000000000000000000000000,1.58,A2Vm,15.5958
HIP 110526,\N,\N,\N,\N,62.18,64.47,10.01,6.4899997711,1.570000000000000000000000000000,10.7,M0...,15.5111
HIP 42748,\N,\N,Gaia DR1 598180814236806656,\N,74.95,64.8,13.82,2.3499999046,1.400000000000000000000000000000,9.62,M0,15.4321
HIP 2941,\N,\N,\N,3443,64.38,64.93,1.4,1.8500000238,0.715000000000000000000000000000,5.57,K1V+...,15.4012
HIP 31634,\N,\N,\N,\N,66.11,65.12,1.61,1.2200000286,1.456000000000000000000000000000,9.61,K0,15.3563
HIP 169,\N,\N,\N,224953,63.03,65.24,1.98,1.7599999905,1.390000000000000000000000000000,9.24,M0V,15.328
HIP 3937,\N,Gaia DR2 2805045756653326080,\N,\N,83.2,66.8084,9.08,0.1229000017,\N,12.01,\N,14.9682
HIP 93017,\N,\N,\N,176051,66.76,67.24,0.54,0.3700000048,0.594000000000000000000000000000,5.2,G0V,14.8721
HIP 44127,\N,\N,\N,76644,68.32,68.92,0.79,0.1599999964,0.223000000000000000000000000000,3.12,A7IV,14.5096
HIP 67308,\N,\N,Gaia DR1 6171492074455952128,120036,61.07,69.01,2.93,1.3500000238,1.322000000000000000000000000000,8.13,K5/M1V+K5,14.4907
HIP 15220,\N,\N,\N,\N,74.29,69.51,6.3,3.3699998856,1.430000000000000000000000000000,10.53,M2,14.3864
HIP 52190,\N,Gaia DR2 5442691069843124992,\N,\N,68.38,71.51,3.76,2.4800000191,1.529000000000000000000000000000,11.02,\N,13.9841
HIP 65714,\N,\N,\N,\N,70.62,72,2.4,2.8299999237,1.539000000000000000000000000000,11.23,M4+...,13.8889
HIP 52600,\N,Gaia DR2 776067089642433664,\N,\N,70.87,72.9871,2.36,0.2603000104,1.416000000000000000000000000000,9.16,M2,13.7011
HIP 97292,\N,\N,\N,331161,74.9,73.46,2.93,1.7899999619,1.517000000000000000000000000000,9.74,M1+...,13.6129
HIP 67422,\N,\N,\N,120476,73.25,74.58,1.33,0.7799999714,1.110000000000000000000000000000,7.05,K2,13.4084
HIP 106811,\N,\N,\N,\N,76.07,75.09,2.53,1.8899999857,1.495000000000000000000000000000,9.83,\N,13.3174
HIP 111766,\N,\N,\N,\N,67.44,75.87,6.47,5.8299999237,1.593000000000000000000000000000,11.5,\N,13.1804
HIP 55454,\N,\N,\N,98712,76.0,75.97,1.7,1.25,1.340000000000000000000000000000,8.57,K4/K5V,13.1631
HIP 24608,\N,\N,\N,34029,77.29,76.2,0.89,0.4600000083,0.795000000000000000000000000000,0.08,M1: comp,13.1234
HIP 60444,\N,\N,\N,\N,77.01,77.54,5.72,3.2300000191,\N,11.19,\N,12.8966
HIP 66077,\N,\N,\N,\N,72.66,78.37,40.63,19.8799991608,1.540000000000000000000000000000,11.38,M4Ve,12.76
HIP 73695,\N,\N,\N,133640,78.39,79.95,1.03,1.5599999428,0.647000000000000000000000000000,4.83,G2V + G2V,12.5078
HIP 93069,\N,\N,\N,175224,79.14,81.4,3.01,1.9500000477,1.433000000000000000000000000000,8.86,M2V,12.285
HIP 36626,\N,\N,\N,\N,87.61,84.26,3.87,3.4500000477,1.439000000000000000000000000000,10.52,M3.5Ve,11.868
HIP 72896,\N,Gaia DR2 1266092694561970432,\N,\N,97.83,87.935,5.99,0.1779000014,\N,11.53,\N,11.372
HIP 473,\N,\N,Gaia DR1 386653743629274880,38,85.1,88.44,2.74,1.5599999428,1.410000000000000000000000000000,8.2,K2,11.3071
HIP 69673,\N,\N,\N,124897,88.85,88.83,0.74,0.5400000215,1.239000000000000000000000000000,-0.05,K2IIIp,11.2575
HIP 22738,\N,\N,\N,\N,89.47,90.02,3.55,1.9800000191,1.580000000000000000000000000000,10.73,M2Ve,11.1086
HIP 57632,\N,\N,\N,102647,90.16,90.91,0.89,0.5199999809,0.090000000000000000000000000000,2.14,A3Vvar,10.9999
HIP 81693,\N,\N,\N,150680,92.63,93.32,0.6,0.4699999988,0.650000000000000000000000000000,2.81,F9IV,10.7158
HIP 102141,\N,\N,\N,196982,97.8,93.5,4.65,3.6700000763,1.550000000000000000000000000000,10.27,Mpe,10.6952
HIP 37826,\N,\N,\N,62509,96.74,96.54,0.87,0.2700000107,0.991000000000000000000000000000,1.16,K0IIIvar,10.3584
HIP 62556,\N,Gaia DR2 1677568527365572224,\N,\N,98.14,97.91,1.67,1.8300000429,1.626000000000000000000000000000,10.94,M4,10.2135
HIP 84123,\N,Gaia DR2 4367834169251323136,\N,\N,92.58,98.19,5.11,12.0900001526,1.600000000000000000000000000000,11.45,G,10.1843
HIP 2552,\N,\N,\N,\N,98.74,99.35,3.37,2.1700000763,1.520000000000000000000000000000,10.27,M2.5Ve,10.0654
HIP 46706,\N,Gaia DR2 5690031948585514496,\N,\N,94.95,99.88,4.31,3.5999999046,1.545000000000000000000000000000,10.06,M2,10.012
HIP 14101,\N,\N,\N,\N,92.97,106.16,38.04,16.5100002289,\N,10.4,\N,9.4197
HIP 23452,\N,Gaia DR2 2974726131970829952,\N,32450,117.38,119.3399,1.81,0.1538999975,1.430000000000000000000000000000,8.31,M0V,8.3794
HIP 33499,\N,\N,\N,\N,124.62,124.85,2.64,2.1300001144,1.636000000000000000000000000000,10.81,M4+...,8.0096
HIP 7751,\N,\N,\N,10360,122.75,127.84,1.41,2.1900000572,0.880000000000000000000000000000,5.76,K0V,7.8223
HIP 113368,\N,\N,\N,216956,130.08,129.81,0.92,0.4699999988,0.145000000000000000000000000000,1.17,A3V,7.7036
HIP 91262,\N,\N,\N,172167,128.93,130.23,0.55,0.3600000143,-0.001000000000000000000000000000,0.03,A0Vvar,7.6787
HIP 72659,\N,\N,\N,131156,149.26,148.98,0.76,0.4799999893,0.720000000000000000000000000000,4.54,G8V + K4V,6.7123
HIP 116132,\N,\N,\N,\N,160.06,161.76,2.81,1.6599999666,1.190000000000000000000000000000,10.05,M6Ve,6.182
HIP 84140,\N,Gaia DR2 1364668825433454848,\N,155876,158.17,167.29,3.26,5.0199999809,1.485000000000000000000000000000,9.31,K5,5.9776
HIP 84405,\N,\N,\N,155885,167.08,168.54,1.07,0.5400000215,0.855000000000000000000000000000,4.33,K2:III:,5.9333
HIP 73182,\N,Gaia DR2 6232511675556408320,\N,131976,133.63,168.77,33.56,21.5400009155,1.519000000000000000000000000000,8.01,K5V,5.9252
HIP 97649,\N,\N,\N,187642,194.44,194.95,0.94,0.5699999928,0.221000000000000000000000000000,0.76,A7IV-V,5.1295
HIP 88601,\N,\N,\N,165341,196.62,196.72,1.38,0.8299999833,0.860000000000000000000000000000,4.03,K0V SB,5.0834
HIP 30920,\N,Gaia DR2 3117120863523946368,\N,\N,242.89,242.9659,2.64,0.8833000064,1.690000000000000000000000000000,11.12,M4.5Ve,4.1158
HIP 110893,\N,\N,\N,239960,249.52,249.94,3.03,1.8700000048,1.613000000000000000000000000000,9.59,M2V,4.001
HIP 37279,\N,\N,\N,61421,285.93,284.56,0.88,1.2599999905,0.432000000000000000000000000000,0.4,F5IV-V,3.5142
HIP 32349,\N,\N,\N,48915,379.21,379.21,1.58,1.5800000429,0.009000000000000000000000000000,-1.44,A0m...,2.6371
HIP 71681,\N,\N,\N,128621,742.12,742.12,1.4,1.3999999762,0.900000000000000000000000000000,1.35,K1V,1.3475
HIP 71683,\N,\N,\N,128620,742.12,742.12,1.4,1.3999999762,0.710000000000000000000000000000,-0.01,G2V,1.3475
