designation,ra,dec,parallax,parallax_error,pm,pmra,pmdec,ruwe,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,teff_gspphot,teff_gspphot_lower,teff_gspphot_upper,logg_gspphot,logg_gspphot_lower,logg_gspphot_upper,mh_gspphot,mh_gspphot_lower,mh_gspphot_upper,distance_gspphot,distance_gspphot_lower,distance_gspphot_upper
"Gaia DR3 4586421272746553472",275.86767226420693,28.166943770663465,67.54648447599624,0.023121556,199.56145,-77.37415860047683,-183.95110152979424,1.2555726,11.363881,12.794128,10.087444,3154.896,3154.3435,3158.3652,4.2705,4.2692,4.2784,-1.0295,-1.0304,-1.0249,14.7954,14.7837,14.8116
"Gaia DR3 6465749496610128512",324.17482929020497,-50.84627224743216,67.50016953111843,0.01750705,468.16516,423.5383221832554,-199.48407847485748,0.8894558,6.8949704,7.352452,6.269393,4901.7725,4901.151,4902.483,4.5183,4.5177,4.519,-0.555,-0.5608,-0.5477,14.8082,14.804,14.8126
"Gaia DR3 2995725777563537792",89.10103276512667,-14.16708077541103,66.85733766272052,0.17594825,145.26779,-41.4740727699853,139.22152520681215,4.160437,3.635856,3.8544617,3.3150194,6887.405,6871.045,6897.947,4.1654,4.1473,4.219,0.0758,-0.0077,0.1354,14.8215,14.6756,14.9717
"Gaia DR3 4660766641264343552",82.18605720150947,-65.44556102984839,66.99194426467628,0.080812894,142.31241,66.14405506784301,126.00708534127685,3.5232005,11.354325,13.083956,10.077244,3134.456,3127.5942,3154.2727,4.6523,4.3992,4.6943,0.0181,-0.0973,0.0513,14.8217,14.5992,21.2813
"Gaia DR3 4701057557644479232",32.818601731133086,-63.22957355454984,67.523956706877,0.018371388,753.7047,-669.6024712835617,-345.9816589505816,1.214967,11.164163,12.485361,10.030111,3162.1353,3159.5706,3168.422,4.2808,4.2718,4.3027,-0.9273,-0.9374,-0.8903,14.8281,14.8141,14.9661
"Gaia DR3 6385548541499112448",340.4963344829453,-69.17220908339867,67.21234716183032,0.018697714,800.2155,334.41936695017966,-726.9859085966832,1.1623862,13.36496,15.425902,12.036604,2963.0146,2958.79,2966.5093,5.0452,5.0218,5.0706,-0.1548,-0.2082,-0.1099,14.8525,14.8019,14.8958
"Gaia DR3 746545172372256384",150.24996758591067,31.92176197567589,66.99581320003026,0.09214865,681.22504,-528.8706141097352,-429.37565915124185,0.9407839,5.2049575,5.544461,4.703913,5759.9775,5759.004,5761.2363,4.2297,4.2267,4.2345,-0.2052,-0.2075,-0.1987,14.861,14.7803,14.9137
"Gaia DR3 2043885295914531072",284.25768829000344,32.90072064481614,67.14120107780762,0.11846329,212.31667,164.15888580530518,-134.64853836580505,2.727981,5.1740646,5.388042,4.6085796,5844.264,5841.326,5847.075,4.2475,4.2462,4.2489,-2.0133,-2.0259,-2.0055,14.8872,14.8623,14.9127
"Gaia DR3 1923896725839633024",352.35024201314707,41.468345628358556,66.91362380080965,0.020794533,411.676,409.43314972049683,-42.914070236846214,1.1902289,10.711198,12.141203,9.530979,3097.0193,3090.5398,3115.5146,4.0901,4.0747,4.1733,-0.7551,-0.7711,-0.6634,14.8882,14.7063,14.9384
"Gaia DR3 2379962604166006016",347.56913828705433,-25.93119473911205,67.10138026989291,0.022839904,716.21765,715.7831790724741,24.942465882986564,1.4749031,10.325614,11.514855,9.245406,3302.5571,3302.2,3302.9795,4.0174,4.0164,4.0182,-1.3612,-1.3619,-1.3579,14.9106,14.8984,14.9499
"Gaia DR3 4315804351350378496",291.24577656808344,11.947271123353104,67.01526888035684,0.065657094,966.2665,721.2921943048541,642.9684532716341,0.71956986,4.9713717,5.349818,4.4456034,5465.647,5464.228,5470.8735,4.1026,4.1001,4.1097,0.1898,0.1817,0.2235,14.9156,14.8838,14.9429
"Gaia DR3 5663558453071724288",145.55812521272944,-23.914401382944526,66.8827127039656,0.11231256,477.92163,-399.4967505319404,262.3193092074325,0.8518801,4.772147,5.053922,4.3531423,6030.947,6029.126,6032.947,4.1541,4.1505,4.1572,-0.4561,-0.471,-0.4406,14.9462,14.9205,14.9728
"Gaia DR3 3489338019475637760",182.10387983595368,-24.72905347552688,66.76962847793135,0.18042505,104.90993,96.97570221883613,-40.02257455269839,2.2829719,3.946629,4.1181154,3.6199741,6900.1777,6896.5913,6906.9805,4.1915,4.1819,4.233,-0.5055,-0.5618,-0.3964,14.9495,14.4328,15.0544
