Gaia DR3 5977782181823334656|  20.0045| 1.2675|          |
Gaia DR3 2779159335925393792|  20.0045| 0.0210|          |
Gaia DR3 4302071829087671296|  20.0046| 2.3782|          |
Gaia DR3 4041030932410408192|  20.0050| 1.3793|          |
Gaia DR3 4520153157217541120|  20.0052| 2.0391|          |
Gaia DR3 283851094355036416 |  20.0053| 0.0231|          |
Gaia DR3 6632510707209616768|  20.0053| 0.0177|   49.9329|
Gaia DR3 278485615053923200 |  20.0054| 0.0198|   49.9063| 20690
Gaia DR3 6058540108242148864|  20.0054| 0.3253|          |
Gaia DR3 4040323396662890880|  20.0055| 0.9149|          |
Gaia DR3 445225247734316544 |  20.0056| 0.0368|          |
Gaia DR3 6298316106449937536|  20.0057| 0.0208|   50.1023|
Gaia DR3 1822653420285802752|  20.0058| 2.1041|          |
Gaia DR3 2833030797185869440|  20.0058| 0.0186|          |
Gaia DR3 2027324829723848960|  20.0061| 1.8780|          |
Gaia DR3 5531919771335439616|  20.0062| 0.0213|          |
Gaia DR3 2604586198291394176|  20.0062| 0.0258|   49.9877|
Gaia DR3 5658599213249509120|  20.0063| 1.1512|          |
Gaia DR3 2306776464521125120|  20.0064| 0.0790|          |
Gaia DR3 6029881028500178688|  20.0066| 2.6245|          |
Gaia DR3 4592219890913084288|  20.0066| 0.0103|          |
Gaia DR3 4117218292197864576|  20.0067| 1.3848|          |
Gaia DR3 1626676124141635072|  20.0068| 0.4252|          |
Gaia DR3 4040653387606631680|  20.0068| 1.3825|          |
Gaia DR3 5849047271603657472|  20.0068| 3.7578|          |
Gaia DR3 6183120410646841216|  20.0069| 0.0446|          |
Gaia DR3 4491251600692863360|  20.0070| 0.0186|          |
Gaia DR3 557011735935864576 |  20.0070| 0.0476|   49.5498|
Gaia DR3 2684315016236748544|  20.0073| 0.0226|          |
Gaia DR3 6104813772337501312|  20.0075| 0.0245|          |
Gaia DR3 4175158702242424064|  20.0077| 1.9694|          |
Gaia DR3 4068252435098761600|  20.0077| 1.6549|          |
Gaia DR3 2982753842458299392|  20.0078| 0.1093|          |
Gaia DR3 4943347756711486336|  20.0078| 0.1157|          |
Gaia DR3 4059490186409398656|  20.0082| 1.2971|          |
