designation,ra,dec,parallax,parallax_error,pm,pmra,pmdec,ruwe,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,teff_gspphot,teff_gspphot_lower,teff_gspphot_upper,logg_gspphot,logg_gspphot_lower,logg_gspphot_upper,mh_gspphot,mh_gspphot_lower,mh_gspphot_upper,distance_gspphot,distance_gspphot_lower,distance_gspphot_upper
Gaia DR3 2822328189657389824,359.43885069536316,19.76759725120098,48.8921310743834,0.035589814,503.2298,128.2591709830651,-486.610522287743,1.4332457,11.847763,13.326631,10.650193,3075.1238,3073.3567,3075.9678,4.2056,4.1983,4.2081,-0.7423,-0.7467,-0.7391,20.5254,20.5018,20.6547
Gaia DR3 3642413746280598784,214.89243910190206,-5.151728184565362,48.90154186736446,0.044456653,644.3578,-632.950788212022,-120.70741188637521,1.098261,7.3529096,7.78607,6.7509866,,,,,,,,,,,,
Gaia DR3 1320853355787534848,238.245271569575,29.813194431476067,48.90418285918098,0.15620874,173.3485,-159.61827733647425,-67.61439679331967,1.0894306,18.493132,21.411936,16.901249,,,,,,,,,,,,
Gaia DR3 43499295630701824,58.61691335079474,16.614799363351185,48.905722533483285,0.03526114,285.89728,209.73925764402873,-194.28509493501372,1.0812001,10.428123,11.35433,9.313018,,,,,,,,,,,,
Gaia DR3 6489909443564308224,349.2420354292303,-62.00131377033478,48.91744275954628,0.035612788,178.40996,176.49173473906038,-26.091789892367963,0.870209,5.519003,5.779829,5.0954976,6132.6636,6131.5767,6133.933,4.2194,4.2177,4.2223,-0.4294,-0.4381,-0.417,20.4408,20.4274,20.4556
Gaia DR3 2664156432614468864,349.39470773330686,6.390134312931412,48.91845965242298,0.026610427,302.14777,170.4393155277227,-249.48691420838892,1.0877856,11.428859,12.771559,10.281977,3152.7803,3148.821,3161.2986,4.1502,4.1402,4.1676,-0.8507,-0.8623,-0.83,20.4705,20.4366,20.7455
Gaia DR3 1809360187275432832,302.7733874124184,16.189769110792366,48.92621072992387,0.022975542,575.38556,-415.0623232904305,398.48693437446804,0.846754,7.1130667,7.5363607,6.521873,5079.116,5078.3687,5079.897,4.4659,4.4653,4.4665,-0.2726,-0.277,-0.2679,20.4179,20.408,20.4282
Gaia DR3 215395053733297024,84.5454985120725,51.4462230783122,48.927411766032876,0.021395674,560.39905,-549.977425435389,107.57279057042996,0.9098193,7.4859138,7.9213905,6.8759036,,,,,,,,,,,,
Gaia DR3 1809359465717142656,302.8033158829933,16.187328928219863,48.928187148304985,0.03154652,577.77466,-417.29754963718597,399.6076805682804,1.5875736,12.614017,14.246488,11.37126,,,,,,,,,,,,
Gaia DR3 5041018993810217984,17.30355982409004,-24.689034009094083,48.933223019345114,0.048162837,301.3157,300.3315340585737,24.333429040694007,1.5707564,11.140883,12.493198,9.988733,3219.91,3204.628,3296.308,4.0157,3.9741,4.3007,-1.1675,-1.1903,-0.7292,20.322,19.9717,21.5383
