designation,ra,dec,parallax,parallax_error,pm,pmra,pmdec,ruwe,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,teff_gspphot,teff_gspphot_lower,teff_gspphot_upper,logg_gspphot,logg_gspphot_lower,logg_gspphot_upper,mh_gspphot,mh_gspphot_lower,mh_gspphot_upper,distance_gspphot,distance_gspphot_lower,distance_gspphot_upper
Gaia DR3 3379399707241488640,101.53694903632281,22.295944781437488,33.41985216286532,0.037814092,61.270695,33.360215800421145,-51.392549951198994,1.156731,14.954102,17.08544,13.603948,2937.2363,2923.3953,2938.951,5.0566,4.9676,5.0595,-0.0285,-0.0532,-0.0118,30.1683,30.024,32.0634
Gaia DR3 954069986297059456,103.45752970038484,45.32686160123978,33.4233195731125,0.10597728,127.94542,-99.59733834861711,-80.3143891058159,0.93523204,16.616756,19.66007,15.13545,,,,,,,,,,,,
Gaia DR3 696360914764897920,143.4638635915659,29.721971266994274,33.42423808682071,0.034560006,71.79796,-64.07857033502165,32.38647874899978,1.1049888,14.254766,15.945909,13.012399,,,,,,,,,,,,
Gaia DR3 163302048236137600,61.06442366187646,26.573023212519704,33.42450632796409,0.016256448,242.50417,215.0176289089339,-112.14137676183447,0.97492003,10.553541,11.441157,9.625733,3999.5112,3989.6846,4095.5732,4.6976,4.6916,4.7011,-0.1899,-0.2107,-0.0805,29.8583,29.6608,31.452
Gaia DR3 3250289726147347968,56.55218036990892,-2.3111901924973357,33.424922673924165,0.13295455,828.6509,323.5372079071499,-762.8800711243799,1.2852845,16.975916,20.198368,15.483121,,,,,,,,,,,,
Gaia DR3 3101382419728401408,105.07462866477856,-5.3668029911914985,33.42503518696486,0.022295132,141.69342,-116.51346930235975,80.63272356753268,0.98579276,6.1631103,6.4374127,5.7201486,5981.8096,5980.145,5983.5635,4.1445,4.1419,4.147,-0.1399,-0.1507,-0.1292,29.8929,29.8732,29.9125
Gaia DR3 5909078751020702080,265.6962669848697,-65.08677867579543,33.42616162337801,0.03803779,241.84613,196.05311792198998,141.6076369335405,0.98375297,15.886575,15.959205,15.728179,,,,,,,,,,,,
Gaia DR3 4964643720690208768,32.07523577516971,-37.53915805221282,33.42870918036393,0.017672319,39.956142,-17.761321818494277,-35.79146087240068,1.267204,11.011144,12.06477,9.987571,3387.5466,3386.4348,3388.5305,4.0024,3.9982,4.0081,-1.1146,-1.119,-1.1081,29.9677,29.9346,29.9941
Gaia DR3 73019941593200000,34.653143885116606,12.315545876300732,33.42900976562225,0.03744627,185.61386,154.80512723534116,-102.41033964216119,1.4150017,11.356905,12.574956,10.261772,3373.6128,3260.3818,3448.3853,4.3746,4.042,4.4322,-0.4492,-0.8365,-0.2917,30.0727,29.5434,34.0554
Gaia DR3 4074347646496765824,286.0899742477277,-24.104054071466706,33.429507494130256,0.058137715,221.17505,-209.95171733696188,69.56060762186189,1.0653563,13.111835,14.788395,11.867526,,,,,,,,,,,,
Gaia DR3 1011466039454869632,137.20270554322002,46.93023271668641,33.42988903645941,0.022269385,292.15753,97.59672880743463,-275.37411619835314,1.1520246,14.175272,15.938234,12.911543,3102.778,3102.5908,3102.9858,5.0386,5.0382,5.039,-0.1533,-0.1544,-0.1521,29.6798,29.6568,29.7093
Gaia DR3 933055776469108352,121.25681395161354,48.237882960892755,33.43034291381289,0.02053553,238.75844,-131.7891548889739,-199.09096781818943,1.2163723,8.810733,9.377226,8.101021,4590.5703,4566.7017,4600.377,4.554,4.5278,4.5615,0.1162,-0.0288,0.1664,29.9632,29.8825,30.4203
Gaia DR3 4999214840166796416,11.570228144936696,-40.297919606122356,33.43249896198437,0.021734223,393.37784,380.53703104683683,99.68802027300154,1.3672863,12.284946,13.638086,11.136228,,,,,,,,,,,,
Gaia DR3 4160661607077241472,274.6691935777605,-6.701078679414066,33.43264191258815,0.021000523,67.95793,-67.14537066014576,-10.47758956865471,1.0585036,8.919499,9.481992,8.210092,4576.012,4573.566,4632.743,4.565,4.5626,4.6249,-0.0237,-0.0414,0.3048,29.7347,29.5536,29.857
Gaia DR3 6193280031230266752,201.6631734113942,-24.293678450411928,33.43269293180145,0.0226797,345.0118,-338.1132325185431,-68.64828129592165,1.1787175,8.515944,8.995175,7.871865,4855.3726,4845.717,4874.099,4.5564,4.5463,4.5777,-0.1371,-0.1813,-0.0111,29.6991,29.397,29.896
Gaia DR3 1350517492310907392,267.112959074912,45.05754695793945,33.432694862273635,0.028446442,170.21864,164.78325396598504,-42.671599864725344,0.98247105,15.544734,15.612034,15.389322,,,,,,,,,,,,
Gaia DR3 5020168989172195456,31.943945548961675,-29.92301322430994,33.4343489941311,0.036865156,85.38635,74.28324558582297,42.10496943413348,1.0697428,15.470403,17.581293,14.134903,,,,,,,,,,,,
Gaia DR3 6670073803984650240,298.7603852061408,-49.51462272069894,33.436918287016404,0.03179717,23.373075,-13.014147989611658,19.414753483288486,1.196649,14.62748,16.535006,13.327138,3037.405,3036.8813,3038.0137,5.0726,5.0716,5.0732,-0.1931,-0.1956,-0.1899,29.8743,29.8332,29.9436
