HR,Name,HD,HD_Suffix,V,B_V,SpType
HR 7264,41Pi  Sgr,HD 178524,\N,2.89,0.35,F2II
HR 1859,\N,HD 36584,\N,6.03,0.34,F0IV-V
HR 2482,\N,HD 48543,\N,6.29,0.34,A3V+F/G
HR 462,Tau Scl,HD 9906,\N,5.69,0.33,F2V
HR 1422,80    Tau,HD 28485,\N,5.58,0.32,F0V
HR 8595,\N,HD 213973,\N,6.60,0.32,A9III
HR 8739,52    Peg,HD 217232,\N,5.75,0.32,A8V+F6V
HR 206,\N,HD 4338,\N,6.47,0.31,F1IVn
HR 6236,\N,HD 151566,\N,6.47,0.31,A5III+F7III
HR 1959,\N,HD 37904,\N,6.42,0.30,A9IV-V
HR 8782,83    Aqr,HD 218060,\N,5.43,0.30,F2IV+F0V
HR 4937,48    Vir,HD 113459,\N,6.59,0.29,F0V
HR 526,\N,HD 11031,\N,5.82,0.29,A3V
HR 7723,\N,HD 192342,\N,6.56,0.29,A1m
HR 3890,Ups Car,HD 85123,\N,3.01,0.28,A6Ib
HR 8368,Del Ind,HD 208450,\N,4.40,0.28,F0IV
HR 9002,107    Aqr,HD 223024,\N,5.29,0.28,F2III+F2V
HR 4719,\N,HD 108007,\N,6.42,0.27,A7V+F4V
HR 6095,20Gam Her,HD 147547,\N,3.75,0.27,A9III
HR 289,\N,HD 6114,\N,6.45,0.25,A9IV
HR 5577,59    Hya,HD 132219,\N,5.65,0.24,A4V+A6V
HR 8966,The Phe,HD 222287,\N,6.09,0.24,A8V+F0V
HR 3267,\N,HD 70003,\N,6.70,0.23,A0IV+G:
HR 4465,\N,HD 100808,\N,5.80,0.23,F0V
HR 5127,25    CVn,HD 118623,\N,4.82,0.23,A7III
HR 4229,40    Sex,HD 93742,\N,6.61,0.22,A2IV
HR 4602,2    Com,HD 104827,\N,5.87,0.22,F0IV-V
HR 5120,\N,HD 118349,\N,5.78,0.22,A7III
HR 7557,53Alp Aql,HD 187642,\N,0.77,0.22,A7V
HR 1188,\N,HD 23985,\N,5.26,0.21,A2V+A5V
HR 1642,\N,HD 32642,\N,6.44,0.21,A5m
HR 1865,11Alp Lep,HD 36673,\N,2.58,0.21,F0Ib
HR 3221,\N,HD 68457,\N,6.45,0.20,A7Vm
HR 3455,\N,HD 74341,\N,6.34,0.20,A3V
HR 4043,\N,HD 89263,\N,6.22,0.20,A5V
HR 7787,Kap2Sgr,HD 193807,\N,5.64,0.20,A5V
HR 8890,97    Aqr,HD 220278,\N,5.20,0.20,A3Vp
HR 20,\N,HD 431,\N,6.01,0.19,A7IV
HR 3569,9Iot UMa,HD 76644,\N,3.14,0.19,A7IV
HR 4917,\N,HD 112486,\N,5.82,0.19,A5m
HR 4978,\N,HD 114576,\N,6.50,0.19,A5Vn
HR 5704,Gam Cir,HD 136415,\N,4.51,0.19,B5IV+F8
HR 1417,1    Cam,HD 28446,\N,5.77,0.18,B0III
HR 4454,\N,HD 100518,\N,6.55,0.18,A2m
HR 5038,\N,HD 116197,\N,6.16,0.18,A4V
HR 7278,\N,HD 179366,\N,5.53,0.18,A5V+A8V
HR 8724,\N,HD 216900,\N,6.51,0.18,A3V s
HR 2570,\N,HD 50700,\N,6.41,0.17,A6Vn
HR 8645,\N,HD 215114,\N,6.45,0.17,A5V
HR 6798,\N,HD 166393,\N,6.36,0.16,A4V
HR 2326,Alp Car,HD 45348,\N,-0.72,0.15,F0II
HR 3523,15    Hya,HD 75737,\N,5.54,0.15,A4m
HR 3840,\N,HD 83520,\N,5.45,0.15,A2-3V
HR 4020,\N,HD 88842,\N,5.78,0.14,A3IV-V
HR 1086,7    Tau,HD 22091,\N,5.92,0.13,A3V+A3V
HR 1359,\N,HD 27490,\N,6.37,0.13,A3V
HR 553,6Bet Ari,HD 11636,\N,2.64,0.13,A5V
HR 6026,14Nu  Sco,HD 145501,\N,6.30,0.13,B8V+B9VpSi
HR 7059,5    Aql,HD 173654,\N,5.90,0.13,A2Vm
HR 4453,\N,HD 100493,\N,5.39,0.12,A2IV-V
HR 707,Iot Cas,HD 15089,\N,4.52,0.12,A5pSr
HR 8119,\N,HD 202214,\N,5.64,0.11,B0II
HR 5031,\N,HD 115995,\N,6.26,0.10,A3V
HR 5898,\N,HD 141913,\N,6.15,0.10,B9II
HR 7767,\N,HD 193322,\N,5.84,0.10,O9V
HR 4534,94Bet Leo,HD 102647,\N,2.14,0.09,A3V
HR 6254,52    Her,HD 152107,\N,4.82,0.09,A2VpSrCrEu
HR 6329,\N,HD 153914,\N,6.33,0.09,A4V
HR 716,\N,HD 15253,\N,6.51,0.09,A2pShell
HR 7924,50Alp Cyg,HD 197345,\N,1.25,0.09,A2Ia
HR 804,86Gam Cet,HD 16970,\N,3.47,0.09,A3V
HR 8728,24Alp PsA,HD 216956,\N,1.16,0.09,A3V
HR 8766,2    And,HD 217782,\N,5.10,0.09,A3Vn
HR 1043,\N,HD 21427,\N,6.13,0.08,A2V
HR 2470,12    Lyn,HD 48250,\N,4.87,0.08,A3V
HR 4651,\N,HD 106257,\N,6.33,0.08,A0V
HR 4804,\N,HD 109857,\N,6.49,0.08,B8Vne
HR 6923,39    Dra,HD 170073,\N,4.98,0.08,A1V
HR 7184,\N,HD 176560,\N,6.46,0.08,A2IV
HR 1381,66    Tau,HD 27820,\N,5.12,0.07,A3V
HR 1442,\N,HD 28867,\N,6.25,0.07,B9IVn
HR 4073,\N,HD 89828,\N,6.51,0.07,A0
HR 5234,\N,HD 121336,\N,6.14,0.07,A1V
HR 5523,7Mu  Lib,HD 130559,\N,5.31,0.07,A1pSrCrEu
HR 846,\N,HD 17743,\N,6.36,0.07,B8III
HR 1199,31    Tau,HD 24263,\N,5.67,0.06,B5V
HR 6378,35Eta Oph,HD 155125,\N,2.43,0.06,A2V
HR 7784,\N,HD 193702,\N,6.23,0.06,A1V
HR 9017,\N,HD 223358,\N,6.41,0.06,A0pSrSi:Cr:
HR 3744,29    Hya,HD 81728,\N,6.54,0.05,A2V
HR 380,\N,HD 7916,\N,6.24,0.05,A0V
HR 4065,\N,HD 89715,\N,5.67,0.05,A1V
HR 4148,49    Leo,HD 91636,\N,5.67,0.05,A2V
HR 5478,30Zet Boo,HD 129247,\N,4.43,0.05,A2III
HR 6904,\N,HD 169718,\N,6.27,0.05,A0V+A4V
HR 2528,\N,HD 49891,\N,6.33,0.04,A1
HR 2890,66Alp Gem,HD 60178,\N,2.88,0.04,A2Vm
HR 3485,Del Vel,HD 74956,\N,1.96,0.04,A1V
